x,y,raw,cumulative,logistic
306767.22331753,4638102.5305323,7.37258E-5,9.229496986,0.218447179
310767.22331753,4688602.5305323,3.51786E-8,0.001246428,0.000133349
323267.22331753,4737102.5305323,3.1199E-8,0.00075182,0.000118265
352767.22331753,4763102.5305323,5.98085E-7,0.066172995,0.002262287
262767.22331753,4797602.5305323,2.99525E-7,0.037576567,0.001134248
293267.22331753,4629102.5305323,9.55288E-5,12.256522804,0.265872974
319767.22331753,4677102.5305323,9.78087E-7,0.098898453,0.003694354
247767.22331753,4736602.5305323,4.39995E-5,5.145838318,0.142960868
261267.22331753,4857602.5305323,2.00611E-7,0.024571411,0.000759963
341767.22331753,4667602.5305323,2.88369E-7,0.036283011,0.001092049
335267.22331753,4640602.5305323,2.68822E-7,0.034273182,0.001018099
232267.22331753,4761102.5305323,1.64564E-7,0.018660843,0.000623494
275267.22331753,4654602.5305323,4.46734E-5,5.274310002,0.144833124
280267.22331753,4650602.5305323,6.64958E-5,8.260748119,0.201338047
259767.22331753,4686602.5305323,7.06555E-6,0.385208601,0.026087628
292267.22331753,4721602.5305323,1.06663E-4,13.874270567,0.287937612
330767.22331753,4653102.5305323,5.48124E-7,0.061304322,0.002073698
314267.22331753,4766102.5305323,3.47963E-8,0.001183387,0.0001319
363767.22331753,4647102.5305323,2.87017E-8,0.000514771,0.0001088
282767.22331753,4716102.5305323,4.80543E-8,0.003467015,0.000182147
338267.22331753,4702102.5305323,9.40739E-8,0.009613066,0.000356519
261267.22331753,4857102.5305323,1.00494E-7,0.010180553,0.00038084
319267.22331753,4649102.5305323,1.82408E-7,0.021815996,0.000691054
262267.22331753,4857102.5305323,2.88401E-7,0.036311851,0.001092169
308767.22331753,4769602.5305323,2.39932E-8,0.000209261,0.000090953
301267.22331753,4756602.5305323,1.3005E-5,0.950286336,0.046986929
366267.22331753,4630602.5305323,5.30093E-8,0.004409027,0.000200925
294267.22331753,4710602.5305323,1.77085E-6,0.1323439,0.006668733
305767.22331753,4684602.5305323,2.09236E-5,1.859433581,0.073494091
309767.22331753,4636102.5305323,6.27602E-5,7.608157952,0.192201111
279267.22331753,4675602.5305323,7.00082E-5,8.793246972,0.209742386
343267.22331753,4696602.5305323,2.17689E-6,0.150103501,0.008185323
