Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.2735E-8,0.000001274,0.000048278,1,0,0
1.36729E-8,0.000002641,0.000051833,0.999914661,0,0
1.52875E-8,0.000010137,0.000057954,0.999487967,0,0
1.68254E-8,0.000026382,0.000063783,0.998634579,0,0
1.93688E-8,0.000050272,0.000073424,0.997525175,0,0
2.16261E-8,0.000101743,0.000081981,0.995391705,0,0
2.48381E-8,0.000250744,0.000094156,0.989930022,0,0
2.86152E-8,0.000500434,0.000108472,0.981993514,0,0
3.36297E-8,0.00100247,0.000127478,0.968253968,0,0
4.27828E-8,0.002504077,0.000162169,0.934715822,0,0
5.61553E-8,0.005003685,0.000212847,0.891363714,0,0
9.9134E-8,0.010000663,0.000375689,0.832735962,0,0
2.0254E-7,0.025014945,0.000767267,0.746287762,0,0
4.38006E-7,0.050003053,0.001657785,0.672981737,0,0
9.98398E-7,0.100084589,0.003770782,0.607612221,0,0
2.96698E-6,0.200048998,0.011123078,0.562638676,0,0
5.58609E-6,0.300469489,0.020738401,0.542072026,0.000582072,0
7.30795E-6,0.400275886,0.02695847,0.528929852,0.000582072,0
8.62557E-6,0.500469546,0.031665179,0.518262502,0.001164144,0
9.72609E-6,0.600589434,0.035561612,0.508875235,0.001164144,0
1.06459E-5,0.700158904,0.03879429,0.500512033,0.001164144,0
1.11029E-5,0.750215387,0.040392469,0.496586448,0.001164144,0
1.15475E-5,0.801120877,0.041942079,0.492746202,0.001164144,0
1.24528E-5,0.900593675,0.045081972,0.485663082,0.002328289,0
1.34737E-5,1.000575726,0.048598013,0.479091995,0.002910361,0
1.46332E-5,1.101168162,0.052560551,0.472947602,0.003492433,0
1.55576E-5,1.200756745,0.05569583,0.467315242,0.003492433,0
1.63532E-5,1.301191918,0.058377841,0.461938897,0.004656577,0
1.7399E-5,1.400938958,0.061880156,0.456903909,0.004656577,0
1.83409E-5,1.501128328,0.065012122,0.452124936,0.00523865,0
2.00516E-5,1.751026974,0.070647768,0.441030893,0.00523865,0
2.22388E-5,2.000120802,0.077754584,0.430960915,0.006402794,0
