variable,x,y
tev_acc500m,-6752.7,0.0
tev_acc500m,-6590.6352,232.046875
tev_acc500m,-6428.5704,464.09375
tev_acc500m,-6266.5055999999995,696.1416015625
tev_acc500m,-6104.4408,928.1875
tev_acc500m,-5942.376,1160.2353515625
tev_acc500m,-5780.3112,1392.2822265625
tev_acc500m,-5618.2464,1624.32861328125
tev_acc500m,-5456.1816,1856.3759765625
tev_acc500m,-5294.1168,2088.4228515625
tev_acc500m,-5132.052,2320.47021484375
tev_acc500m,-4969.9872,2552.5166015625
tev_acc500m,-4807.9223999999995,2784.56396484375
tev_acc500m,-4645.857599999999,3016.61083984375
tev_acc500m,-4483.7928,3248.65771484375
tev_acc500m,-4321.727999999999,3480.70458984375
tev_acc500m,-4159.6632,3712.751953125
tev_acc500m,-3997.5984000000003,3944.798828125
tev_acc500m,-3835.5335999999998,4176.845703125
tev_acc500m,-3673.4688,4408.892578125
tev_acc500m,-3511.404,4640.939453125
tev_acc500m,-3349.3392,4872.98681640625
tev_acc500m,-3187.2744000000002,5105.03369140625
tev_acc500m,-3025.2096,5337.08056640625
tev_acc500m,-2863.1448,5569.1279296875
tev_acc500m,-2701.0800000000004,5801.174560546875
tev_acc500m,-2539.0152,6033.2216796875
tev_acc500m,-2376.9504000000006,6265.2685546875
tev_acc500m,-2214.8856000000005,6497.315673828125
tev_acc500m,-2052.8208000000004,6729.362548828125
tev_acc500m,-1890.7559999999994,6961.40966796875
tev_acc500m,-1728.6912000000002,7193.45654296875
tev_acc500m,-1566.6264,7425.503662109375
tev_acc500m,-1404.5616,7657.5504150390625
tev_acc500m,-1242.4968000000008,7889.5975341796875
tev_acc500m,-1080.4319999999998,8121.64453125
tev_acc500m,-918.3671999999997,8353.691528320312
tev_acc500m,-756.3024000000005,8585.738403320312
tev_acc500m,-594.2376000000004,8817.785461425781
tev_acc500m,-432.1728000000003,9049.832458496094
tev_acc500m,-270.1080000000002,9281.879455566406
tev_acc500m,-108.04320000000007,9513.92643737793
tev_acc500m,54.021600000000035,9670.28490960598
