x,y,raw,cumulative,logistic
288267.22331753,4797102.5305323,5.68959E-5,10.108981966,0.243511593
261767.22331753,4858102.5305323,6.46548E-8,0.001123545,0.00036566
251767.22331753,4744102.5305323,4.21574E-5,6.372345238,0.192579423
297267.22331753,4785102.5305323,2.27974E-5,2.562626819,0.114244566
232767.22331753,4761102.5305323,1.46522E-5,1.313848501,0.076551101
345267.22331753,4725102.5305323,9.20715E-9,0.000088888,0.000052088
342267.22331753,4726602.5305323,6.83123E-8,0.001223534,0.000386338
260767.22331753,4857602.5305323,6.62236E-9,0.000067778,0.000037466
261267.22331753,4857602.5305323,2.50315E-8,0.000353727,0.000141599
256267.22331753,4769102.5305323,4.49962E-5,7.094142607,0.202915755
340767.22331753,4649102.5305323,9.16301E-8,0.001715904,0.000518142
353267.22331753,4700102.5305323,1.51751E-7,0.003126618,0.00085782
265767.22331753,4766102.5305323,4.57192E-5,7.23950641,0.205506461
275267.22331753,4763602.5305323,8.41187E-5,17.885064027,0.322453905
300767.22331753,4658102.5305323,1.05281E-4,24.888581258,0.373293946
258767.22331753,4705602.5305323,1.02651E-4,23.900701807,0.367393499
333267.22331753,4697602.5305323,3.27079E-7,0.008898393,0.001847082
285767.22331753,4658102.5305323,1.70838E-4,44.441673867,0.491492479
273267.22331753,4757602.5305323,2.47598E-5,2.883665034,0.122870376
263267.22331753,4723102.5305323,5.81434E-5,10.385874582,0.247529248
260767.22331753,4857102.5305323,3.09118E-9,0.000024351,0.000017489
273267.22331753,4715102.5305323,1.5461E-4,39.025189203,0.46658934
253267.22331753,4724102.5305323,9.31729E-5,20.815327915,0.345181153
372267.22331753,4671602.5305323,4.95707E-10,0.000002619,0.000002805
229767.22331753,4748602.5305323,7.36355E-6,0.527787794,0.039994203
352767.22331753,4711102.5305323,7.12206E-7,0.023944958,0.004013244
257267.22331753,4707102.5305323,9.24847E-5,20.573918297,0.34350721
290767.22331753,4765602.5305323,1.54257E-4,38.963401398,0.466020216
343267.22331753,4738602.5305323,2.11386E-5,2.28129473,0.106819519
372267.22331753,4651102.5305323,1.48976E-5,1.347866276,0.077733629
238267.22331753,4759102.5305323,2.25735E-5,2.508180103,0.113249375
349767.22331753,4635102.5305323,2.28602E-6,0.115331693,0.012768355
282267.22331753,4769102.5305323,1.1009E-4,26.116572663,0.383800182
251267.22331753,4753102.5305323,6.99968E-5,13.691855176,0.283676714
349267.22331753,4655602.5305323,2.35844E-10,0.00000143,0.000001334
368767.22331753,4671102.5305323,3.86741E-12,0.000000009,0.000000022
259767.22331753,4856602.5305323,4.19897E-8,0.000686347,0.000237507
291267.22331753,4738602.5305323,1.97007E-4,51.351272151,0.527096345
305767.22331753,4725602.5305323,2.15044E-5,2.345361846,0.108467912
281767.22331753,4776102.5305323,6.26025E-5,11.699564954,0.261547482
261767.22331753,4856602.5305323,4.2423E-8,0.000694825,0.000239957
367267.22331753,4634602.5305323,5.3308E-7,0.017045157,0.003006914
242767.22331753,4751602.5305323,2.45976E-5,2.858981994,0.12216382
