Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.95054E-13,0.000000001,0.000000004,0.995306366,0,0
1.65902E-12,0.000000003,0.000000009,0.994196962,0,0
4.32299E-12,0.00000001,0.000000024,0.991892814,0,0
8.94752E-12,0.000000025,0.000000051,0.990015361,0,0
2.87897E-11,0.000000101,0.000000163,0.986601809,0,0
6.11571E-11,0.00000025,0.000000346,0.983785629,0,0
1.78214E-10,0.000001001,0.000001008,0.978238607,0,0
4.70971E-10,0.000002522,0.000002665,0.973715651,0,0
1.38506E-9,0.000010061,0.000007836,0.966461854,0,0
3.36978E-9,0.000025019,0.000019065,0.960402799,0,0
5.55612E-9,0.000050471,0.000031434,0.955538488,0,0
9.92944E-9,0.000100405,0.000056174,0.949820789,0,0
2.01916E-8,0.00025152,0.000114224,0.941030893,0,0
3.34812E-8,0.000501099,0.000189389,0.932838368,0,0
5.80722E-8,0.001000697,0.000328444,0.923280423,0,0
1.2348E-7,0.002509355,0.00069812,0.908772828,0,0
2.1473E-7,0.005003954,0.001213394,0.896142686,0,0
3.60783E-7,0.010034613,0.002037026,0.881123059,0,0
7.34227E-7,0.025036251,0.004136817,0.856460147,0,0
1.17618E-6,0.050010314,0.006610455,0.83427206,0,0
2.06249E-6,0.100129337,0.011534272,0.807475678,0,0
3.51674E-6,0.200122153,0.019508326,0.776327018,0,0
4.7984E-6,0.300088087,0.026430164,0.75567503,0,0
6.07609E-6,0.400434012,0.033233931,0.739802014,0,0
7.06011E-6,0.500477364,0.038409447,0.726745178,0,0
8.04165E-6,0.600260356,0.04351697,0.715480457,0,0
9.0936E-6,0.700395161,0.048931002,0.705495818,0,0
9.63719E-6,0.750008293,0.051704717,0.700972862,0,0
1.00464E-5,0.800024211,0.053781862,0.696620584,0,0
1.11409E-5,0.900562297,0.05929394,0.688513398,0,0
1.18668E-5,1.000649506,0.062914349,0.681088923,0,0
1.2824E-5,1.100233717,0.067645999,0.674176481,0,0
1.36384E-5,1.201043914,0.071633878,0.667690732,0,0
1.44815E-5,1.300716811,0.075726662,0.661631678,0,0
1.51736E-5,1.400585678,0.079059675,0.655913978,0,0
1.60247E-5,1.500387181,0.083125602,0.650452296,0,0
1.7698E-5,1.750214079,0.091015831,0.637822154,0,0
1.93087E-5,2.000093359,0.098483249,0.626301417,0,0
2.09789E-5,2.251813609,0.106098328,0.615634067,0,0
2.25176E-5,2.50141334,0.11300099,0.605820106,0,0
2.39713E-5,2.752047221,0.119424572,0.596603516,0,0
2.5484E-5,3.001638459,0.126011203,0.587984298,0,0
2.68372E-5,3.250271464,0.13182056,0.579877112,0,0
2.82333E-5,3.501117897,0.137733536,0.572111282,0,0
2.9634E-5,3.752252418,0.143585501,0.564686807,0.000582072,0
3.10567E-5,4.001164176,0.149448717,0.557689025,0.000582072,0
3.21872E-5,4.250764808,0.154050816,0.550947261,0.000582072,0
3.3577E-5,4.500338836,0.159640406,0.544461512,0.001164144,0
3.48107E-5,4.750025764,0.164540922,0.53823178,0.001164144,0
3.5921E-5,5.001151829,0.168902674,0.532172726,0.001746217,0
3.7148E-5,5.252717195,0.173669925,0.526284349,0.001746217,0
3.8064E-5,5.500722433,0.177193663,0.520651988,0.001746217,0
3.92299E-5,5.752419011,0.181635396,0.515104967,0.001746217,0
4.05968E-5,6.003836649,0.186781955,0.509728623,0.002328289,0
4.16975E-5,6.250837571,0.190879613,0.504608295,0.004656577,0
4.2592E-5,6.503660483,0.194179162,0.499487967,0.004656577,0
4.3571E-5,6.75348931,0.197759814,0.494538317,0.005820722,0
4.4547E-5,7.000078974,0.201297802,0.489759345,0.006984866,0
4.57881E-5,7.253235587,0.205752464,0.484980372,0.006984866,0
4.66505E-5,7.503046477,0.208818483,0.480372077,0.007566938,0
4.76917E-5,7.752983679,0.212488577,0.475849121,0.009313155,0
4.88143E-5,8.003953834,0.216407858,0.471411504,0.009895227,0
4.9761E-5,8.250307701,0.219683017,0.467144564,0.011641444,0
5.06327E-5,8.501682316,0.222674378,0.462877624,0.012805588,0
5.16854E-5,8.752396418,0.226256477,0.458696023,0.01338766,0
5.27502E-5,9.003182701,0.229846279,0.454599761,0.01338766,0
5.36388E-5,9.253424359,0.232816825,0.450588838,0.013969732,0
5.45489E-5,9.502468044,0.235835573,0.446663253,0.014551804,0
5.54426E-5,9.755319367,0.238776571,0.442737669,0.017462165,0
5.64196E-5,10.001331166,0.241966246,0.438982762,0.017462165,0
5.77039E-5,10.252494342,0.246118702,0.435227855,0.01862631,0
5.86324E-5,10.50265997,0.249092205,0.431558286,0.019208382,0
5.92504E-5,10.75010887,0.251058815,0.427974057,0.019790454,0
6.00362E-5,11.000705799,0.253543968,0.424389828,0.019790454,0
6.10426E-5,11.25488927,0.256703236,0.420805598,0.020954598,0
6.17971E-5,11.500388147,0.25905411,0.417392046,0.021536671,0
6.27926E-5,11.756004634,0.262133561,0.413893156,0.022700815,0
6.37964E-5,12.0025895,0.265212582,0.410564943,0.022700815,0
6.46427E-5,12.253041244,0.267788478,0.40723673,0.023864959,0
6.54473E-5,12.500490662,0.270221004,0.403993856,0.025611176,0
6.6372E-5,12.751056629,0.272996581,0.400750981,0.026193248,0
6.73003E-5,13.005253674,0.275762129,0.397508107,0.027357392,0
6.8249E-5,13.256040459,0.278566319,0.394350572,0.029103609,0
6.93118E-5,13.50382026,0.28168256,0.391278375,0.030849825,0
7.03426E-5,13.755043589,0.28467892,0.388206179,0.032596042,0
7.1103E-5,14.002587017,0.286873517,0.385219321,0.034924331,0
7.18815E-5,14.252821313,0.289106556,0.382232463,0.035506403,0
7.27393E-5,14.505783756,0.291550581,0.379245605,0.036088475,0
7.36573E-5,14.754870518,0.294147729,0.376344086,0.037834692,0
7.45352E-5,15.006745266,0.296613727,0.373442567,0.038998836,0
7.55279E-5,15.254201763,0.299381642,0.370626387,0.041909197,0
