variable,x,y
tev_acc500m,-6750.0,0.0
tev_acc500m,-6588.0,0.0
tev_acc500m,-6426.0,0.0
tev_acc500m,-6264.0,0.0
tev_acc500m,-6102.0,0.0
tev_acc500m,-5940.0,0.0
tev_acc500m,-5778.0,0.0
tev_acc500m,-5616.0,0.0
tev_acc500m,-5454.0,0.0
tev_acc500m,-5292.0,0.0
tev_acc500m,-5130.0,0.0
tev_acc500m,-4968.0,0.0
tev_acc500m,-4806.0,0.0
tev_acc500m,-4644.0,0.0
tev_acc500m,-4482.0,0.0
tev_acc500m,-4320.0,0.0
tev_acc500m,-4158.0,0.0
tev_acc500m,-3996.0,0.0
tev_acc500m,-3834.0,0.0
tev_acc500m,-3672.0,0.0
tev_acc500m,-3510.0,0.0
tev_acc500m,-3348.0,0.0
tev_acc500m,-3186.0,0.0
tev_acc500m,-3024.0,0.0
tev_acc500m,-2862.0,0.0
tev_acc500m,-2700.0,0.0
tev_acc500m,-2538.0,0.0
tev_acc500m,-2376.0,0.0
tev_acc500m,-2214.0,0.0
tev_acc500m,-2052.0,0.0
tev_acc500m,-1890.0,0.0
tev_acc500m,-1728.0,0.0
tev_acc500m,-1566.0,0.0
tev_acc500m,-1404.0,0.0
tev_acc500m,-1242.0,0.0
tev_acc500m,-1080.0,0.0
tev_acc500m,-918.0,0.0
tev_acc500m,-756.0,0.0
tev_acc500m,-594.0,0.0
tev_acc500m,-432.0,0.0
tev_acc500m,-270.0,0.0
tev_acc500m,-108.0,0.0
tev_acc500m,54.0,0.0
tev_acc500m,216.0,0.0
tev_acc500m,378.0,0.0
tev_acc500m,540.0,0.0
tev_acc500m,702.0,0.0
tev_acc500m,864.0,0.0
tev_acc500m,1026.0,0.0
tev_acc500m,1188.0,0.0
tev_acc500m,1350.0,0.0
tev_acc500m,1512.0,0.0
tev_acc500m,1674.0,0.0
tev_acc500m,1836.0,0.0
tev_acc500m,1998.0,0.0
tev_acc500m,2160.0,0.0
tev_acc500m,2322.0,0.0
tev_acc500m,2484.0,0.0
tev_acc500m,2646.0,0.0
tev_acc500m,2808.0,0.0
tev_acc500m,2970.0,0.0
tev_acc500m,3132.0,0.0
tev_acc500m,3294.0,0.0
tev_acc500m,3456.0,0.0
tev_acc500m,3618.0,0.0
tev_acc500m,3780.0,0.0
tev_acc500m,3942.0,0.0
tev_acc500m,4104.0,0.0
tev_acc500m,4266.0,0.0
tev_acc500m,4428.0,0.0
tev_acc500m,4590.0,0.0
tev_acc500m,4752.0,0.0
tev_acc500m,4914.0,0.0
tev_acc500m,5076.0,0.0
tev_acc500m,5238.0,0.0
tev_acc500m,5400.0,0.0
tev_acc500m,5562.0,0.0
tev_acc500m,5724.0,0.0
tev_acc500m,5886.0,0.0
tev_acc500m,6048.0,0.0
tev_acc500m,6210.0,0.0
tev_acc500m,6372.0,0.0
tev_acc500m,6534.0,0.0
tev_acc500m,6696.0,0.0
tev_acc500m,6858.0,0.0
tev_acc500m,7020.0,0.0
tev_acc500m,7182.0,0.0
tev_acc500m,7344.0,0.0
tev_acc500m,7506.0,0.0
tev_acc500m,7668.0,0.0
tev_acc500m,7830.0,0.0
tev_acc500m,7992.0,0.0
tev_acc500m,8154.0,0.0
tev_acc500m,8316.0,0.0
tev_acc500m,8478.0,0.0
tev_acc500m,8640.0,0.0
tev_acc500m,8802.0,0.0
tev_acc500m,8964.0,0.0
tev_acc500m,9126.0,0.0
tev_acc500m,9288.0,0.0
tev_acc500m,9450.0,0.0
tev_acc500m,9612.0,0.0
tev_acc500m,9774.0,0.0
tev_acc500m,9936.0,0.0
tev_acc500m,10098.0,0.0
tev_acc500m,10260.0,0.0
tev_acc500m,10422.0,0.0
tev_acc500m,10584.0,0.0
tev_acc500m,10746.0,0.0
tev_acc500m,10908.0,0.0
tev_acc500m,11070.0,0.0
tev_acc500m,11232.0,0.0
tev_acc500m,11394.0,0.0
tev_acc500m,11556.0,0.0
tev_acc500m,11718.0,0.0
tev_acc500m,11880.0,0.0
tev_acc500m,12042.0,0.0
tev_acc500m,12204.0,0.0
tev_acc500m,12366.0,0.0
tev_acc500m,12528.0,0.0
tev_acc500m,12690.0,0.0
tev_acc500m,12852.0,0.0
tev_acc500m,13014.0,0.0
tev_acc500m,13176.0,0.0
tev_acc500m,13338.0,0.0
tev_acc500m,13500.0,0.0
tev_acc500m,13662.0,0.0
tev_acc500m,13824.0,0.0
tev_acc500m,13986.0,0.0
tev_acc500m,14148.0,0.0
tev_acc500m,14310.0,0.0
tev_acc500m,14472.0,0.0
tev_acc500m,14634.0,0.0
tev_acc500m,14796.0,0.0
tev_acc500m,14958.0,0.0
tev_acc500m,15120.0,0.0
tev_acc500m,15282.0,0.0
tev_acc500m,15444.0,0.0
tev_acc500m,15606.0,0.0
tev_acc500m,15768.0,0.0
tev_acc500m,15930.0,0.0
tev_acc500m,16092.0,0.0
tev_acc500m,16254.0,0.0
tev_acc500m,16416.0,0.0
tev_acc500m,16578.0,0.0
tev_acc500m,16740.0,0.0
tev_acc500m,16902.0,0.0
tev_acc500m,17064.0,0.0
tev_acc500m,17226.0,0.0
tev_acc500m,17388.0,0.0
tev_acc500m,17550.0,0.0
tev_acc500m,17712.0,0.0
tev_acc500m,17874.0,0.0
tev_acc500m,18036.0,0.0
tev_acc500m,18198.0,0.0
tev_acc500m,18360.0,0.0
tev_acc500m,18522.0,0.0
tev_acc500m,18684.0,0.0
tev_acc500m,18846.0,0.0
tev_acc500m,19008.0,0.0
tev_acc500m,19170.0,0.0
tev_acc500m,19332.0,0.0
tev_acc500m,19494.0,0.0
tev_acc500m,19656.0,0.0
tev_acc500m,19818.0,0.0
tev_acc500m,19980.0,0.0
tev_acc500m,20142.0,0.0
tev_acc500m,20304.0,0.0
tev_acc500m,20466.0,0.0
tev_acc500m,20628.0,0.0
tev_acc500m,20790.0,0.0
tev_acc500m,20952.0,0.0
tev_acc500m,21114.0,0.0
tev_acc500m,21276.0,0.0
tev_acc500m,21438.0,0.0
tev_acc500m,21600.0,0.0
tev_acc500m,21762.0,0.0
tev_acc500m,21924.0,0.0
tev_acc500m,22086.0,0.0
tev_acc500m,22248.0,0.0
tev_acc500m,22410.0,0.0
tev_acc500m,22572.0,0.0
tev_acc500m,22734.0,0.0
tev_acc500m,22896.0,0.0
tev_acc500m,23058.0,0.0
tev_acc500m,23220.0,0.0
tev_acc500m,23382.0,0.0
tev_acc500m,23544.0,0.0
tev_acc500m,23706.0,0.0
tev_acc500m,23868.0,0.0
tev_acc500m,24030.0,0.0
tev_acc500m,24192.0,0.0
tev_acc500m,24354.0,0.0
tev_acc500m,24516.0,0.0
tev_acc500m,24678.0,0.0
tev_acc500m,24840.0,0.0
tev_acc500m,25002.0,0.0
tev_acc500m,25164.0,0.0
tev_acc500m,25326.0,0.0
tev_acc500m,25488.0,0.0
tev_acc500m,25650.0,0.0
tev_acc500m,25812.0,0.0
tev_acc500m,25974.0,0.0
tev_acc500m,26136.0,0.0
tev_acc500m,26298.0,0.0
tev_acc500m,26460.0,0.0
tev_acc500m,26622.0,0.0
tev_acc500m,26784.0,0.0
tev_acc500m,26946.0,0.0
tev_acc500m,27108.0,0.0
tev_acc500m,27270.0,0.0
tev_acc500m,27432.0,0.0
tev_acc500m,27594.0,0.0
tev_acc500m,27756.0,0.0
tev_acc500m,27918.0,0.0
tev_acc500m,28080.0,0.0
tev_acc500m,28242.0,0.0
tev_acc500m,28404.0,0.0
tev_acc500m,28566.0,0.0
tev_acc500m,28728.0,0.0
tev_acc500m,28890.0,0.0
tev_acc500m,29052.0,0.0
tev_acc500m,29214.0,0.0
tev_acc500m,29376.0,0.0
tev_acc500m,29538.0,0.0
tev_acc500m,29700.0,0.0
tev_acc500m,29862.0,0.0
tev_acc500m,30024.0,0.0
tev_acc500m,30186.0,0.0
tev_acc500m,30348.0,0.0
tev_acc500m,30510.0,0.0
tev_acc500m,30672.0,0.0
tev_acc500m,30834.0,0.0
tev_acc500m,30996.0,0.0
tev_acc500m,31158.0,0.0
tev_acc500m,31320.0,0.0
tev_acc500m,31482.0,0.0
tev_acc500m,31644.0,0.0
tev_acc500m,31806.0,0.0
tev_acc500m,31968.0,0.0
tev_acc500m,32130.0,0.0
tev_acc500m,32292.0,0.0
tev_acc500m,32454.0,0.0
tev_acc500m,32616.0,0.0
tev_acc500m,32778.0,0.0
tev_acc500m,32940.0,0.0
tev_acc500m,33102.0,0.0
tev_acc500m,33264.0,0.0
tev_acc500m,33426.0,0.0
tev_acc500m,33588.0,0.0
tev_acc500m,33750.0,0.0
tev_acc500m,33912.0,0.0
tev_acc500m,34074.0,0.0
tev_acc500m,34236.0,0.0
tev_acc500m,34398.0,0.0
tev_acc500m,34560.0,0.0
tev_acc500m,34722.0,0.0
tev_acc500m,34884.0,0.0
tev_acc500m,35046.0,0.0
tev_acc500m,35208.0,0.0
tev_acc500m,35370.0,0.0
tev_acc500m,35532.0,0.0
tev_acc500m,35694.0,0.0
tev_acc500m,35856.0,0.0
tev_acc500m,36018.0,0.0
tev_acc500m,36180.0,0.0
tev_acc500m,36342.0,0.0
tev_acc500m,36504.0,0.0
tev_acc500m,36666.0,0.0
tev_acc500m,36828.0,0.0
tev_acc500m,36990.0,0.0
tev_acc500m,37152.0,0.0
tev_acc500m,37314.0,0.0
tev_acc500m,37476.0,0.0
tev_acc500m,37638.0,0.0
tev_acc500m,37800.0,0.0
tev_acc500m,37962.0,0.0
tev_acc500m,38124.0,0.0
tev_acc500m,38286.0,0.0
tev_acc500m,38448.0,0.0
tev_acc500m,38610.0,0.0
tev_acc500m,38772.0,0.0
tev_acc500m,38934.0,0.0
tev_acc500m,39096.0,0.0
tev_acc500m,39258.0,0.0
tev_acc500m,39420.0,0.0
tev_acc500m,39582.0,0.0
tev_acc500m,39744.0,0.0
tev_acc500m,39906.0,0.0
tev_acc500m,40068.0,0.0
tev_acc500m,40230.0,0.0
tev_acc500m,40392.0,0.0
tev_acc500m,40554.0,0.0
tev_acc500m,40716.0,0.0
tev_acc500m,40878.0,0.0
tev_acc500m,41040.0,0.0
tev_acc500m,41202.0,0.0
tev_acc500m,41364.0,0.0
tev_acc500m,41526.0,0.0
tev_acc500m,41688.0,0.0
tev_acc500m,41850.0,0.0
tev_acc500m,42012.0,0.0
tev_acc500m,42174.0,0.0
tev_acc500m,42336.0,0.0
tev_acc500m,42498.0,0.0
tev_acc500m,42660.0,0.0
tev_acc500m,42822.0,0.0
tev_acc500m,42984.0,0.0
tev_acc500m,43146.0,0.0
tev_acc500m,43308.0,0.0
tev_acc500m,43470.0,0.0
tev_acc500m,43632.0,0.0
tev_acc500m,43794.0,0.0
tev_acc500m,43956.0,0.0
tev_acc500m,44118.0,0.0
tev_acc500m,44280.0,0.0
tev_acc500m,44442.0,0.0
tev_acc500m,44604.0,0.0
tev_acc500m,44766.0,0.0
tev_acc500m,44928.0,0.0
tev_acc500m,45090.0,0.0
tev_acc500m,45252.0,0.0
tev_acc500m,45414.0,0.0
tev_acc500m,45576.0,0.0
tev_acc500m,45738.0,0.0
tev_acc500m,45900.0,0.0
tev_acc500m,46062.0,0.0
tev_acc500m,46224.0,0.0
tev_acc500m,46386.0,0.0
tev_acc500m,46548.0,0.0
tev_acc500m,46710.0,0.0
tev_acc500m,46872.0,0.0
tev_acc500m,47034.0,0.0
tev_acc500m,47196.0,0.0
tev_acc500m,47358.0,0.0
tev_acc500m,47520.0,0.0
tev_acc500m,47682.0,0.0
tev_acc500m,47844.0,0.0
tev_acc500m,48006.0,0.0
tev_acc500m,48168.0,0.0
tev_acc500m,48330.0,0.0
tev_acc500m,48492.0,0.0
tev_acc500m,48654.0,0.0
tev_acc500m,48816.0,0.0
tev_acc500m,48978.0,0.0
tev_acc500m,49140.0,0.0
tev_acc500m,49302.0,0.0
tev_acc500m,49464.0,0.0
tev_acc500m,49626.0,0.0
tev_acc500m,49788.0,0.0
tev_acc500m,49950.0,0.0
tev_acc500m,50112.0,0.0
tev_acc500m,50274.0,0.0
tev_acc500m,50436.0,0.0
tev_acc500m,50598.0,0.0
tev_acc500m,50760.0,0.0
tev_acc500m,50922.0,0.0
tev_acc500m,51084.0,0.0
tev_acc500m,51246.0,0.0
tev_acc500m,51408.0,0.0
tev_acc500m,51570.0,0.0
tev_acc500m,51732.0,0.0
tev_acc500m,51894.0,0.0
tev_acc500m,52056.0,0.0
tev_acc500m,52218.0,0.0
tev_acc500m,52380.0,0.0
tev_acc500m,52542.0,0.0
tev_acc500m,52704.0,0.0
tev_acc500m,52866.0,0.0
tev_acc500m,53028.0,0.0
tev_acc500m,53190.0,0.0
tev_acc500m,53352.0,0.0
tev_acc500m,53514.0,0.0
tev_acc500m,53676.0,0.0
tev_acc500m,53838.0,0.0
tev_acc500m,54000.0,0.0
tev_acc500m,54162.0,0.0
tev_acc500m,54324.0,0.0
tev_acc500m,54486.0,0.0
tev_acc500m,54648.0,0.0
tev_acc500m,54810.0,0.0
tev_acc500m,54972.0,0.0
tev_acc500m,55134.0,0.0
tev_acc500m,55296.0,0.0
tev_acc500m,55458.0,0.0
tev_acc500m,55620.0,0.0
tev_acc500m,55782.0,0.0
tev_acc500m,55944.0,0.0
tev_acc500m,56106.0,0.0
tev_acc500m,56268.0,0.0
tev_acc500m,56430.0,0.0
tev_acc500m,56592.0,0.0
tev_acc500m,56754.0,0.0
tev_acc500m,56916.0,0.0
tev_acc500m,57078.0,0.0
tev_acc500m,57240.0,0.0
tev_acc500m,57402.0,0.0
tev_acc500m,57564.0,0.0
tev_acc500m,57726.0,0.0
tev_acc500m,57888.0,0.0
tev_acc500m,58050.0,0.0
tev_acc500m,58212.0,0.0
tev_acc500m,58374.0,0.0
tev_acc500m,58536.0,0.0
tev_acc500m,58698.0,0.0
tev_acc500m,58860.0,0.0
tev_acc500m,59022.0,0.0
tev_acc500m,59184.0,0.0
tev_acc500m,59346.0,0.0
tev_acc500m,59508.0,0.0
tev_acc500m,59670.0,0.0
tev_acc500m,59832.0,0.0
tev_acc500m,59994.0,0.0
tev_acc500m,60156.0,0.0
tev_acc500m,60318.0,0.0
tev_acc500m,60480.0,0.0
tev_acc500m,60642.0,0.0
tev_acc500m,60804.0,0.0
tev_acc500m,60966.0,0.0
tev_acc500m,61128.0,0.0
tev_acc500m,61290.0,0.0
tev_acc500m,61452.0,0.0
tev_acc500m,61614.0,0.0
tev_acc500m,61776.0,0.0
tev_acc500m,61938.0,0.0
tev_acc500m,62100.0,0.0
tev_acc500m,62262.0,0.0
tev_acc500m,62424.0,0.0
tev_acc500m,62586.0,0.0
tev_acc500m,62748.0,0.0
tev_acc500m,62910.0,0.0
tev_acc500m,63072.0,0.0
tev_acc500m,63234.0,0.0
tev_acc500m,63396.0,0.0
tev_acc500m,63558.0,0.0
tev_acc500m,63720.0,0.0
tev_acc500m,63882.0,0.0
tev_acc500m,64044.0,0.0
tev_acc500m,64206.0,0.0
tev_acc500m,64368.0,0.0
tev_acc500m,64530.0,0.0
tev_acc500m,64692.0,0.0
tev_acc500m,64854.0,0.0
tev_acc500m,65016.0,0.0
tev_acc500m,65178.0,0.0
tev_acc500m,65340.0,0.0
tev_acc500m,65502.0,0.0
tev_acc500m,65664.0,0.0
tev_acc500m,65826.0,0.0
tev_acc500m,65988.0,0.0
tev_acc500m,66150.0,0.0
tev_acc500m,66312.0,0.0
