x,y,raw,cumulative,logistic
261267.22331753,4858102.5305323,6.62578E-8,0.001966517,0.0002943
298267.22331753,4619102.5305323,3.75534E-4,67.28776455,0.625259709
282767.22331753,4753602.5305323,7.82417E-5,11.075043206,0.257957546
272767.22331753,4671102.5305323,1.4478E-5,1.247736109,0.060438522
336267.22331753,4705102.5305323,1.81144E-8,0.000161042,0.000080477
263767.22331753,4858102.5305323,3.52488E-7,0.03222235,0.001563673
260267.22331753,4857602.5305323,5.39041E-8,0.001378054,0.000239441
322267.22331753,4642102.5305323,1.20469E-5,0.987431124,0.050805696
283267.22331753,4620602.5305323,7.9221E-5,11.169545498,0.260345727
278267.22331753,4784602.5305323,9.59787E-6,0.740384709,0.040899698
284267.22331753,4644102.5305323,3.15722E-4,58.880768844,0.583813183
333267.22331753,4670602.5305323,9.84874E-7,0.122597631,0.004356782
321267.22331753,4795102.5305323,2.59637E-7,0.019450215,0.00115225
239267.22331753,4776602.5305323,2.04106E-5,1.928319247,0.083145266
259267.22331753,4795602.5305323,4.11477E-7,0.040309722,0.001824878
274267.22331753,4636102.5305323,1.96223E-4,35.941104689,0.465763609
231767.22331753,4728602.5305323,1.9018E-5,1.772714734,0.077914152
259267.22331753,4857102.5305323,3.97356E-7,0.038248215,0.001762363
259767.22331753,4857102.5305323,5.23039E-8,0.001324891,0.000232335
344767.22331753,4742102.5305323,5.06663E-7,0.052741978,0.002246074
358267.22331753,4680602.5305323,1.05686E-8,0.000052698,0.000046955
298767.22331753,4743602.5305323,3.2183E-7,0.027553536,0.001427863
292267.22331753,4704602.5305323,2.62974E-5,2.603201073,0.104617023
302767.22331753,4736602.5305323,4.06731E-6,0.324844675,0.017750501
311767.22331753,4680602.5305323,8.52506E-6,0.624280378,0.036494967
263267.22331753,4857102.5305323,1.51491E-6,0.166444919,0.006685836
249767.22331753,4748102.5305323,2.48562E-6,0.230916834,0.010923093
321767.22331753,4759102.5305323,3.81041E-7,0.03598863,0.001690124
261267.22331753,4724102.5305323,1.06546E-6,0.130903039,0.004711588
269767.22331753,4748602.5305323,1.81505E-6,0.188229324,0.007999867
280267.22331753,4769602.5305323,1.40009E-4,23.004899364,0.383501949
266267.22331753,4857102.5305323,8.42003E-7,0.104053258,0.003727119
266767.22331753,4857102.5305323,3.36932E-7,0.029667826,0.00149477
272267.22331753,4793102.5305323,1.54686E-4,26.596015057,0.40732986
258767.22331753,4856602.5305323,1.90236E-7,0.01134308,0.000844515
289267.22331753,4637102.5305323,2.15381E-4,39.53533436,0.489000744
288267.22331753,4613602.5305323,2.79509E-4,52.243339723,0.553944593
308267.22331753,4778602.5305323,4.23911E-7,0.042317975,0.001879917
329267.22331753,4674602.5305323,2.01081E-7,0.012655309,0.000892618
313767.22331753,4789102.5305323,2.34902E-6,0.222929799,0.010329016
335767.22331753,4677102.5305323,4.36034E-8,0.000914556,0.000193695
279767.22331753,4653602.5305323,1.27538E-4,20.010739276,0.36169778
344267.22331753,4653602.5305323,1.96745E-6,0.199769392,0.008665708
296267.22331753,4663102.5305323,2.59478E-5,2.579670092,0.103369969
333767.22331753,4651102.5305323,1.03676E-6,0.127650859,0.004585274
264267.22331753,4856602.5305323,1.9685E-7,0.012077958,0.000873849
319267.22331753,4685102.5305323,6.93093E-7,0.082804974,0.003069993
265267.22331753,4856602.5305323,2.25979E-7,0.015554996,0.00100303
298267.22331753,4664602.5305323,1.42526E-4,23.598407884,0.387723478
270267.22331753,4753102.5305323,1.87207E-4,33.931555357,0.454079424
312767.22331753,4754602.5305323,2.60024E-4,48.430966899,0.53602711
302267.22331753,4667102.5305323,2.30815E-4,42.549569281,0.506299883
343267.22331753,4705602.5305323,1.80286E-7,0.010232537,0.000800379
304767.22331753,4688602.5305323,1.96605E-5,1.852002435,0.08033503
288267.22331753,4740102.5305323,6.32802E-6,0.452765245,0.027346823
298267.22331753,4789602.5305323,7.09474E-7,0.085051975,0.003142322
300767.22331753,4623602.5305323,1.13469E-4,17.002835798,0.335171632
315767.22331753,4677102.5305323,2.54917E-5,2.535887293,0.101738017
