Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.51168E-10,0.000000075,0.000003337,1,0,0
1.36696E-9,0.000000212,0.000006073,0.999914661,0,0
1.44141E-9,0.000000356,0.000006404,0.999829322,0,0
2.65985E-9,0.000001089,0.000011818,0.999573306,0,0
3.09137E-9,0.000002579,0.000013735,0.999146612,0,0
5.89338E-9,0.000010104,0.000026184,0.997695853,0,0
8.51389E-9,0.000025577,0.000037826,0.995903738,0,0
1.04268E-8,0.000050591,0.000046325,0.99359959,0,0
1.38504E-8,0.000100967,0.000061534,0.9901007,0,0
2.18061E-8,0.000251363,0.000096876,0.98301758,0,0
3.08321E-8,0.000501547,0.00013697,0.974910394,0,0
4.57519E-8,0.001003625,0.000203237,0.963645673,0,0
7.73548E-8,0.00250438,0.000343573,0.942481652,0,0
1.16817E-7,0.005007845,0.000518756,0.920464243,0,0
1.77666E-7,0.010017442,0.000788756,0.89161973,0,0
3.06717E-7,0.025005211,0.001360907,0.837856289,0,0
4.79563E-7,0.05003337,0.002126192,0.782386073,0,0
8.14169E-7,0.100002408,0.003604356,0.715224441,0,0
1.97441E-6,0.200164099,0.008696099,0.646185356,0,0
3.65462E-6,0.300165624,0.015978215,0.614780679,0,0
5.48762E-6,0.400545771,0.023801445,0.595750128,0.000582072,0
7.03589E-6,0.500370616,0.0303132,0.58218126,0.000582072,0
8.20779E-6,0.600045483,0.035184533,0.570916539,0.000582072,0
9.25915E-6,0.700770672,0.039513351,0.561102577,0.000582072,0
9.71311E-6,0.750050772,0.041370481,0.55666496,0.000582072,0
1.02442E-5,0.800770935,0.043534039,0.552312681,0.000582072,0
1.11262E-5,0.900184743,0.0471057,0.544376173,0.000582072,0
1.21787E-5,1.000741278,0.051332917,0.537037037,0.001746217,0
1.30241E-5,1.100334692,0.054701411,0.530295272,0.001746217,0
1.40544E-5,1.200609449,0.058774472,0.523980201,0.002328289,0
1.48902E-5,1.300571762,0.062052816,0.518091825,0.002328289,0
1.57393E-5,1.400077416,0.065359922,0.512544803,0.002328289,0
