variable,x,y
tev_acc500m,-6752.7,0.0
tev_acc500m,-6590.6352,154.47607421875
tev_acc500m,-6428.5704,308.9521484375
tev_acc500m,-6266.5055999999995,463.4287109375
tev_acc500m,-6104.4408,617.904296875
tev_acc500m,-5942.376,772.38037109375
tev_acc500m,-5780.3112,926.8564453125
tev_acc500m,-5618.2464,1081.33203125
tev_acc500m,-5456.1816,1235.80810546875
tev_acc500m,-5294.1168,1390.28466796875
tev_acc500m,-5132.052,1544.7607421875
tev_acc500m,-4969.9872,1699.236328125
tev_acc500m,-4807.9223999999995,1853.71240234375
tev_acc500m,-4645.857599999999,2008.1884765625
tev_acc500m,-4483.7928,2162.6640625
tev_acc500m,-4321.727999999999,2317.1396484375
tev_acc500m,-4159.6632,2471.615966796875
tev_acc500m,-3997.5984000000003,2626.091552734375
tev_acc500m,-3835.5335999999998,2780.5673828125
tev_acc500m,-3673.4688,2935.043212890625
tev_acc500m,-3511.404,3089.51904296875
tev_acc500m,-3349.3392,3243.994873046875
tev_acc500m,-3187.2744000000002,3398.470703125
tev_acc500m,-3025.2096,3552.9462890625
tev_acc500m,-2863.1448,3707.422119140625
tev_acc500m,-2701.0800000000004,3861.89794921875
tev_acc500m,-2539.0152,4016.373779296875
tev_acc500m,-2376.9504000000006,4170.849365234375
tev_acc500m,-2214.8856000000005,4325.3251953125
tev_acc500m,-2052.8208000000004,4479.80078125
tev_acc500m,-1890.7559999999994,4634.2764892578125
tev_acc500m,-1728.6912000000002,4788.752197265625
tev_acc500m,-1566.6264,4943.2279052734375
tev_acc500m,-1404.5616,5097.703369140625
tev_acc500m,-1242.4968000000008,5252.1790771484375
tev_acc500m,-1080.4319999999998,5406.6546630859375
tev_acc500m,-918.3671999999997,5561.1302490234375
tev_acc500m,-756.3024000000005,5715.605773925781
tev_acc500m,-594.2376000000004,5870.081359863281
tev_acc500m,-432.1728000000003,6024.556945800781
tev_acc500m,-270.1080000000002,6179.032470703125
tev_acc500m,-108.04320000000007,6333.508003234863
tev_acc500m,54.021600000000035,6437.910868048668
tev_acc500m,216.08639999999923,6438.107388973236
tev_acc500m,378.15119999999933,6438.303025841713
tev_acc500m,540.2159999999994,6438.364619612694
tev_acc500m,702.2807999999995,6438.424501419067
tev_acc500m,864.3455999999996,6438.4843692183495
tev_acc500m,1026.4103999999998,6438.544223070145
tev_acc500m,1188.4751999999999,6438.604062974453
tev_acc500m,1350.539999999999,6438.6416627168655
tev_acc500m,1512.6048,6438.645985066891
tev_acc500m,1674.6696000000002,6438.650293409824
tev_acc500m,1836.7343999999985,6438.6545877456665
tev_acc500m,1998.7991999999986,6438.658868193626
tev_acc500m,2160.8640000000005,6438.66313457489
tev_acc500m,2322.928799999999,6438.667387068272
tev_acc500m,2484.9936000000007,6438.671625554562
tev_acc500m,2647.058399999999,6438.675850093365
tev_acc500m,2809.123199999999,6438.680060684681
tev_acc500m,2971.188000000001,6438.684257268906
tev_acc500m,3133.2527999999993,6438.6884399056435
tev_acc500m,3295.3175999999994,6438.69260853529
tev_acc500m,3457.3823999999995,6438.696763217449
tev_acc500m,3619.4471999999996,6438.700903952122
tev_acc500m,3781.5119999999997,6438.705030739307
tev_acc500m,3943.5768,6438.709143519402
tev_acc500m,4105.6416,6438.713242352009
tev_acc500m,4267.706399999998,6438.717327177525
tev_acc500m,4429.7712,6438.721398055553
tev_acc500m,4591.836,6438.725454986095
tev_acc500m,4753.9007999999985,6438.7294979691505
tev_acc500m,4915.9656,6438.733526945114
tev_acc500m,5078.030399999999,6438.737541913986
tev_acc500m,5240.095199999999,6438.741542994976
tev_acc500m,5402.160000000001,6438.745530068874
tev_acc500m,5564.224799999999,6438.749503195286
tev_acc500m,5726.289599999999,6438.753462314606
tev_acc500m,5888.354399999999,6438.757407486439
tev_acc500m,6050.419199999999,6438.761338710785
tev_acc500m,6212.4839999999995,6438.76525592804
tev_acc500m,6374.5488,6438.769159197807
tev_acc500m,6536.6136,6438.773048520088
tev_acc500m,6698.678399999998,6438.776923835278
tev_acc500m,6860.7432,6438.78078520298
tev_acc500m,7022.807999999998,6438.784632623196
tev_acc500m,7184.872799999998,6438.78846603632
tev_acc500m,7346.9376,6438.792285501957
tev_acc500m,7509.0023999999985,6438.796090960503
tev_acc500m,7671.067199999999,6438.799882531166
tev_acc500m,7833.131999999999,6438.803660035133
tev_acc500m,7995.196799999999,6438.807423651218
tev_acc500m,8157.261599999999,6438.811173260212
tev_acc500m,8319.326399999998,6438.814908921719
tev_acc500m,8481.391199999998,6438.818630635738
tev_acc500m,8643.455999999998,6438.822338342667
tev_acc500m,8805.520799999998,6438.826032072306
tev_acc500m,8967.585599999999,6438.82971188426
tev_acc500m,9129.650399999999,6438.833377689123
tev_acc500m,9291.715199999999,6438.837029516697
tev_acc500m,9453.779999999999,6438.840667426586
tev_acc500m,9615.844799999999,6438.844291329384
tev_acc500m,9777.909599999999,6438.847901254892
tev_acc500m,9939.9744,6438.851497232914
tev_acc500m,10102.0392,6438.855079233646
tev_acc500m,10264.104,6438.858647286892
tev_acc500m,10426.168799999996,6438.862201362848
tev_acc500m,10588.233599999996,6438.865741461515
tev_acc500m,10750.298399999996,6438.869267612696
tev_acc500m,10912.3632,6438.872779756784
tev_acc500m,11074.428,6438.876277953386
