Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.27669E-5,0.001276691,0.080107624,1,0,0
1.29139E-5,0.00256808,0.080955178,0.999914661,0,0
1.29988E-5,0.005166066,0.081444254,0.999743984,0,0
1.3161E-5,0.010417684,0.082376434,0.999402628,0,0
1.38617E-5,0.025395278,0.086383883,0.998463902,0,0
1.42794E-5,0.050792999,0.088755741,0.996927803,0,0
1.48933E-5,0.100502137,0.092219772,0.994026284,0,0
1.55927E-5,0.201118132,0.096133643,0.988393924,0,0
1.62127E-5,0.301132913,0.09957577,0.98301758,0,0
1.6718E-5,0.40153774,0.102361434,0.977811913,0,0
1.70488E-5,0.501161961,0.1041758,0.972776924,0,0
1.73749E-5,0.601109256,0.105957441,0.967827274,0,0
1.76855E-5,0.701066347,0.107647889,0.962962963,0,0
1.78227E-5,0.750754119,0.108392287,0.960573477,0,0
1.79753E-5,0.800928671,0.109218792,0.95818399,0,0
1.81965E-5,0.900330496,0.110414585,0.953490357,0,0
1.84662E-5,1.001207841,0.111867932,0.948796723,0.000582072,0
1.86311E-5,1.101337636,0.112754093,0.944188428,0.000582072,0
1.88046E-5,1.200576167,0.113685096,0.939665472,0.000582072,0
1.89379E-5,1.300600062,0.114398951,0.935142516,0.000582072,0
1.90476E-5,1.401237722,0.114985189,0.93061956,0.000582072,0
1.91887E-5,1.50069181,0.115738125,0.926181942,0.000582072,0
1.94603E-5,1.751882356,0.117184812,0.915087899,0.000582072,0
1.97443E-5,2.000909784,0.118692001,0.904249872,0.000582072,0
1.99969E-5,2.251348219,0.120028185,0.893497184,0.000582072,0
2.02365E-5,2.500759466,0.121291768,0.882915173,0.002910361,0
2.04654E-5,2.751161491,0.122495451,0.872418501,0.003492433,0
2.07393E-5,3.000598038,0.123931715,0.862092507,0.004656577,0
2.09241E-5,3.250604521,0.12489828,0.851851852,0.004656577,0
2.11269E-5,3.5009529,0.125956296,0.841696535,0.004656577,0
2.13291E-5,3.751472531,0.127008939,0.831626557,0.004656577,0
2.15797E-5,4.000480154,0.128309292,0.821727257,0.00523865,0
2.17807E-5,4.251947953,0.129349823,0.811827957,0.005820722,0
2.19756E-5,4.501411846,0.130356753,0.802099334,0.006402794,0
2.21723E-5,4.750785322,0.131369863,0.792456051,0.006984866,0
2.2405E-5,5.000358253,0.132566146,0.782898105,0.006984866,0
2.26133E-5,5.250195269,0.133633666,0.773425499,0.007566938,0
2.28282E-5,5.500045377,0.134732429,0.764038232,0.00814901,0
2.30376E-5,5.750086402,0.135800729,0.754736303,0.00814901,0
2.32656E-5,6.000043515,0.136960774,0.745519713,0.008731083,0
2.34916E-5,6.250190716,0.138107344,0.736388462,0.009313155,0
2.37713E-5,6.500738129,0.139522212,0.72734255,0.009313155,0
2.40314E-5,6.751682433,0.140833887,0.718381976,0.009895227,0
2.42462E-5,7.000293986,0.141914228,0.709592081,0.009895227,0
2.44926E-5,7.251313885,0.14314995,0.700802185,0.010477299,0
2.47969E-5,7.500095312,0.144671084,0.692182966,0.011059371,0
2.51624E-5,7.7523071,0.146491148,0.683563748,0.011641444,0
2.544E-5,8.000262815,0.147868201,0.675200546,0.011641444,0
2.57568E-5,8.251231945,0.149434583,0.666837344,0.011641444,0
2.61383E-5,8.500182255,0.151312871,0.65864482,0.012223516,0
2.65698E-5,8.750527022,0.153427328,0.650537634,0.012223516,0
2.69497E-5,9.001998197,0.155280598,0.642515788,0.01338766,0
2.73067E-5,9.25150825,0.15701452,0.634664619,0.015715949,0
2.7786E-5,9.501924845,0.159331375,0.626898788,0.015715949,0
2.82823E-5,9.751575119,0.161717435,0.619303635,0.016880093,0
2.88416E-5,10.00006304,0.164389737,0.61187916,0.016880093,0
2.9455E-5,10.250615403,0.167300958,0.604540024,0.017462165,0
3.00205E-5,10.500021714,0.169966738,0.597371565,0.020954598,0
3.07283E-5,10.752050265,0.17328007,0.590288445,0.022700815,0
3.14692E-5,11.000839778,0.176719398,0.583461342,0.023864959,0
3.23426E-5,11.252657034,0.180737965,0.576719577,0.024447031,0
3.30669E-5,11.501294885,0.184040209,0.570233828,0.025611176,0
3.38253E-5,11.752121998,0.18747024,0.563833419,0.026193248,0
3.47414E-5,12.001994158,0.191574787,0.557603687,0.027357392,0
3.5464E-5,12.251209385,0.194783415,0.551544632,0.027939464,0
3.64412E-5,12.502667744,0.199082056,0.545570917,0.027939464,0
3.73297E-5,12.750020798,0.202950559,0.539853217,0.030267753,0
3.81616E-5,13.003108865,0.206539433,0.534135518,0.030849825,0
3.92538E-5,13.250659294,0.21120226,0.528673835,0.032596042,0
3.99992E-5,13.500263291,0.214353253,0.523297491,0.033178114,0
4.08588E-5,13.750836137,0.217955757,0.518006486,0.034342258,0
4.14866E-5,14.001897402,0.220565769,0.512800819,0.034924331,0
4.23414E-5,14.2529223,0.224092214,0.507680492,0.035506403,0
4.30179E-5,14.500480329,0.22685999,0.502730841,0.037252619,0
4.41346E-5,14.753474718,0.231386661,0.497781191,0.037252619,0
4.53407E-5,15.0043134,0.236216082,0.493002219,0.038998836,0
4.63681E-5,15.252180736,0.240282461,0.488393924,0.040745052,0
4.75335E-5,15.500589557,0.244843103,0.483870968,0.042491269,0
4.86171E-5,15.750842405,0.249034837,0.47943335,0.043073341,0
4.97189E-5,16.001295381,0.253249255,0.475081072,0.043655413,0
5.05333E-5,16.252198667,0.256333983,0.470814132,0.044237485,0
5.15139E-5,16.502487282,0.260014782,0.466632531,0.044237485,0
5.28596E-5,16.75265541,0.265007387,0.462536269,0.044819558,0
5.39166E-5,17.003518967,0.26888171,0.458525346,0.04540163,0
