Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
9.43546E-8,0.000009435,0.000433522,1,0,0
9.72063E-8,0.000019156,0.000446618,0.999914661,0,0
9.80175E-8,0.000028958,0.000450343,0.999829322,0,0
1.01894E-7,0.000059283,0.000468146,0.999573306,0,0
1.18546E-7,0.000105156,0.00054461,0.999231951,0,0
1.35149E-7,0.000257169,0.000620837,0.998207885,0,0
1.4986E-7,0.000503406,0.000688371,0.996757126,0,0
1.65464E-7,0.001010733,0.00075999,0.994026284,0,0
1.97373E-7,0.002508147,0.00090642,0.987028503,0,0
2.36267E-7,0.005004612,0.001084843,0.977214542,0,0
2.84563E-7,0.010001386,0.001306309,0.960914832,0,0
3.77384E-7,0.025017483,0.001731675,0.922256358,0,0
5.01119E-7,0.050015416,0.002298146,0.873698583,0,0
1.24298E-6,0.100057876,0.005681031,0.806280935,0,0
2.81414E-6,0.20023343,0.012770243,0.768475849,0,0
3.20948E-6,0.300137997,0.014538188,0.74005803,0.001164144,0
3.68582E-6,0.40018749,0.01665994,0.715224441,0.001746217,0
4.13662E-6,0.500277046,0.018659546,0.69337771,0.002328289,0
4.59613E-6,0.600432391,0.020689406,0.673749787,0.002910361,0
5.03123E-6,0.700485889,0.022603749,0.655999317,0.002910361,0
5.23811E-6,0.750232307,0.02351136,0.647721454,0.002910361,0
5.51918E-6,0.800086161,0.024741727,0.639784946,0.003492433,0
6.19646E-6,0.900248038,0.02769381,0.625106673,0.003492433,0
6.81327E-6,1.000396924,0.030366779,0.611964499,0.003492433,0
7.53522E-6,1.10026992,0.033476811,0.600017068,0.003492433,0
8.17927E-6,1.20071949,0.036234449,0.589093702,0.005820722,0
8.89024E-6,1.300322747,0.039260419,0.579109063,0.006402794,0
9.60847E-6,1.400693843,0.042298065,0.569807134,0.006984866,0
1.06699E-5,1.500301603,0.046752327,0.561273255,0.006984866,0
1.2875E-5,1.751238479,0.055874231,0.54318143,0.009313155,0
1.48023E-5,2.000773024,0.063705578,0.527735108,0.014551804,0
1.70023E-5,2.250311639,0.072487528,0.514336918,0.015715949,0
1.96517E-5,2.500486618,0.082847149,0.502645503,0.016298021,0
2.13013E-5,2.750817518,0.089181203,0.492148831,0.019208382,0
2.30082E-5,3.001238702,0.09564414,0.482505547,0.022700815,0
2.48251E-5,3.250178223,0.102423358,0.473630312,0.025029104,0
2.68448E-5,3.501549525,0.109840631,0.465352449,0.026193248,0
2.85234E-5,3.750964578,0.115912804,0.457671958,0.029103609,0
2.97017E-5,4.000938997,0.120126131,0.450332821,0.03201397,0
3.10854E-5,4.252490597,0.125022715,0.443249701,0.034342258,0
3.23034E-5,4.502599092,0.129288151,0.436507937,0.036088475,0
3.3879E-5,4.751051358,0.134744444,0.430107527,0.037834692,0
3.50509E-5,5.002797169,0.138758578,0.423877795,0.038998836,0
3.62346E-5,5.252143323,0.142775349,0.417904079,0.04016298,0
3.71696E-5,5.501952822,0.145922213,0.412101041,0.041327125,0
3.82889E-5,5.750923883,0.149658788,0.406468681,0.043073341,0
3.9104E-5,6.002535476,0.152359207,0.400921659,0.04540163,0
4.00296E-5,6.251892453,0.155405016,0.395545315,0.047729919,0
4.10562E-5,6.503593654,0.158758049,0.39025431,0.050058207,0
