X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
261881.35259455,4830248.7961362,train,3.420681260700959E-4,67.00659334840431,0.6112499035587899
261881.35259455,4829748.7961362,train,4.387652434790361E-5,7.310224609842125,0.16783333293034
261881.35259455,4829248.7961362,train,2.3649721940980219E-4,41.18555228308914,0.5208618079567309
262381.35259455,4829248.7961362,train,4.343426148104689E-5,7.186752421041502,0.16642316083246592
262881.35259455,4829248.7961362,train,6.991180610428357E-5,11.921500128312314,0.24320159348937312
262381.35259455,4828748.7961362,train,1.7371540119343165E-4,24.76830114189838,0.4439805772679947
262881.35259455,4828748.7961362,train,3.884777430617024E-5,5.923441677702816,0.15151214824713824
263381.35259455,4828248.7961362,train,2.3265687835097223E-4,38.67039437429609,0.5167747016536687
263881.35259455,4828248.7961362,train,3.447352350338551E-4,67.14567915240018,0.6130938681057728
264381.35259455,4828248.7961362,train,1.536147291019735E-4,21.573044559075544,0.41386918905224246
264881.35259455,4828248.7961362,train,1.73315040044695E-4,24.650514116055337,0.4434110531080623
265881.35259455,4828248.7961362,train,1.8867908978849747E-4,26.90579784789622,0.46446174928736483
266381.35259455,4828248.7961362,train,2.8606512768837437E-4,57.68832281439151,0.5680203486192082
266881.35259455,4827748.7961362,train,2.3609791843382693E-4,40.954026600101315,0.5204400728717098
267881.35259455,4827248.7961362,train,3.870479363396609E-4,71.54147332847411,0.6401713219132976
267881.35259455,4826748.7961362,train,2.4149933301859694E-4,43.76610252701702,0.5260827936505058
268381.35259455,4826748.7961362,train,4.0468765012557684E-4,73.80942595473022,0.6503720035707762
267881.35259455,4826248.7961362,train,1.884901539119806E-4,26.856787654004968,0.4642125578333774
268381.35259455,4826248.7961362,train,4.068804733574787E-4,74.01702383750653,0.651599793070159
268381.35259455,4825748.7961362,train,4.91786614523455E-4,84.15299374794176,0.6933024309336637
267381.35259455,4825248.7961362,train,2.5986701334034966E-4,50.39831646539258,0.5443157257860646
267881.35259455,4825248.7961362,train,2.143283682387976E-4,31.76409024491607,0.4962672006481461
268381.35259455,4825248.7961362,train,2.4193219846493092E-4,44.07837434497559,0.5265292553735803
267881.35259455,4824748.7961362,train,1.9175146005969806E-4,27.633987527865763,0.46848167453922723
268381.35259455,4824748.7961362,train,2.8685468793997784E-4,57.978554899609485,0.5686965362119797
268881.35259455,4824748.7961362,train,3.517606016853265E-4,67.78480251313064,0.6178683179876548
268381.35259455,4824248.7961362,train,2.417144720607192E-4,43.95312544859491,0.5263047953918523
268881.35259455,4824248.7961362,train,2.319274455693422E-4,38.067273585243434,0.5159905058643484
269381.35259455,4824248.7961362,train,2.312002217562437E-4,37.63113837946695,0.5152061470850252
269881.35259455,4824248.7961362,train,4.885560890927765E-4,83.72432808624941,0.6918992556351284
270381.35259455,4824248.7961362,train,2.6288779000581647E-4,51.260112356698876,0.5471808478664734
269381.35259455,4823748.7961362,train,4.303858500721606E-4,76.78378313362438,0.66423876808119
269881.35259455,4823748.7961362,train,2.180174806966516E-4,33.063481334588886,0.5005336251559109
270381.35259455,4823748.7961362,train,5.29042480701013E-4,87.19209466987223,0.7086069562436955
270881.35259455,4823748.7961362,train,3.0826235961749817E-4,63.00499358104433,0.586256330688441
269881.35259455,4823248.7961362,train,4.1905347292954184E-4,75.54723846775504,0.6582618021646507
270381.35259455,4823248.7961362,train,2.270746208604755E-4,35.96227370996725,0.5107078487862102
270881.35259455,4823248.7961362,train,5.251815733940958E-4,86.80618041810571,0.7070922265539966
271381.35259455,4823248.7961362,train,2.67377407452819E-4,52.792332321076195,0.551373173887728
269881.35259455,4822748.7961362,train,2.630558312259412E-4,51.35347490709645,0.5473391727625169
270381.35259455,4822748.7961362,train,2.714116544520286E-4,54.011055553099816,0.5550746128835735
270881.35259455,4822748.7961362,train,5.269068069886363E-4,87.03000047502019,0.7077710202043099
271381.35259455,4822748.7961362,train,3.1154521637744205E-4,63.590753304263174,0.5888234574322598
270381.35259455,4822248.7961362,train,2.2859250981258615E-4,36.252061970190134,0.5123725338937289
270881.35259455,4822248.7961362,train,2.2598519123966565E-4,35.48171418488613,0.5095060361082154
271381.35259455,4822248.7961362,train,5.414078391688916E-4,88.63615339525172,0.7133544755713358
271881.35259455,4822248.7961362,train,2.3034103243231945E-4,37.10078201251169,0.5142761725207954
270381.35259455,4821748.7961362,train,2.2004579520715342E-4,33.81651969184445,0.5028487041510941
270881.35259455,4821748.7961362,train,2.6032659980990174E-4,50.52873959846503,0.5447539669123744
271381.35259455,4821748.7961362,train,5.519504048848068E-4,90.54655374077444,0.717281658684496
271881.35259455,4821748.7961362,train,1.990313122929544E-4,28.835503184182095,0.47777001857698304
270381.35259455,4821248.7961362,train,2.2508613137193944E-4,35.26788029699215,0.5085097757524477
270881.35259455,4821248.7961362,train,2.9451153417734663E-4,60.00165629647742,0.5751457756040054
271381.35259455,4821248.7961362,train,5.792860462206372E-4,98.2943296226493,0.7269803436513036
271881.35259455,4821248.7961362,train,2.6317510772616586E-4,51.42322274003598,0.5474514854008993
269881.35259455,4820748.7961362,train,2.4283586032175286E-4,44.41318637965819,0.5274585954245158
270381.35259455,4820748.7961362,train,2.6516495834737945E-4,51.921459101662165,0.5493169736000718
270881.35259455,4820748.7961362,train,2.213948302857564E-4,34.13548902056539,0.5043766194847475
271381.35259455,4820748.7961362,train,5.331561777840992E-4,87.80011454208028,0.7102037174915572
271881.35259455,4820748.7961362,train,2.247969222180126E-4,35.182091284591195,0.5081884383057576
