x,y,raw,cumulative,logistic
293267.22331753,4720102.5305323,5.9722E-5,25.971937395,0.313309155
277267.22331753,4686602.5305323,6.93668E-5,32.989502782,0.346380887
297767.22331753,4706602.5305323,2.96778E-5,4.608225069,0.184824647
296267.22331753,4744102.5305323,5.83596E-5,24.897090132,0.308365777
307267.22331753,4733602.5305323,7.54493E-5,36.323700843,0.365647769
285267.22331753,4638102.5305323,1.08796E-4,49.250355632,0.453901031
259767.22331753,4857602.5305323,4.46144E-5,13.137010852,0.254199812
330767.22331753,4743102.5305323,2.85795E-4,72.956641755,0.685869985
267767.22331753,4692602.5305323,3.7326E-5,9.165972158,0.221886904
353267.22331753,4634602.5305323,2.91888E-5,4.284304195,0.182334515
271267.22331753,4673102.5305323,2.45257E-5,1.970331055,0.157802082
327767.22331753,4631602.5305323,1.98869E-4,65.787578438,0.603064407
288267.22331753,4630102.5305323,6.64594E-5,31.049343163,0.336751745
348767.22331753,4630102.5305323,3.59687E-5,8.333911423,0.2155573
263767.22331753,4857602.5305323,3.53983E-5,7.980866036,0.212866855
365767.22331753,4654102.5305323,7.18388E-5,34.400320882,0.354350643
340767.22331753,4727102.5305323,3.55327E-5,8.08014628,0.213502259
313267.22331753,4669602.5305323,4.69911E-5,14.360471576,0.264163967
265767.22331753,4857602.5305323,6.49017E-5,29.965930215,0.331475216
276767.22331753,4761602.5305323,1.24609E-4,53.161463238,0.487698421
335767.22331753,4706102.5305323,7.14043E-5,34.156797354,0.352963826
247267.22331753,4740102.5305323,2.748E-5,3.369857045,0.17351242
340767.22331753,4654602.5305323,7.67452E-5,36.985795603,0.369606961
286267.22331753,4791102.5305323,6.75637E-5,31.85377873,0.34044227
301767.22331753,4754602.5305323,5.0241E-5,16.727102291,0.277366204
261767.22331753,4857102.5305323,5.01489E-5,16.636743992,0.276998835
246767.22331753,4758102.5305323,3.44972E-5,7.439075815,0.208578272
322267.22331753,4633102.5305323,9.68994E-5,45.645709515,0.42538113
345267.22331753,4712602.5305323,2.50477E-5,2.205881134,0.160621159
277767.22331753,4790102.5305323,2.8274E-5,3.813319233,0.177635188
318267.22331753,4721602.5305323,7.98286E-5,38.65273252,0.378830979
244267.22331753,4742602.5305323,2.62864E-5,2.768239241,0.167236318
329267.22331753,4732102.5305323,1.92081E-5,0.396670237,0.127965836
