Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.38052E-5,0.001380516,0.095405349,1,0,0
1.39498E-5,0.002775496,0.096308683,0.999914712,0,0
1.42094E-5,0.005608546,0.097925201,0.999744136,0,0
1.47165E-5,0.011460379,0.101067212,0.999402985,0,0
1.5275E-5,0.025014123,0.104501704,0.998635394,0,0
1.60725E-5,0.050081805,0.109361002,0.997270789,0,0
1.67804E-5,0.101126939,0.113630452,0.994626866,0,0
1.78156E-5,0.201649561,0.11980047,0.989680171,0,0
1.86283E-5,0.300114993,0.124584406,0.985074627,0,0
1.92312E-5,0.400515575,0.12810008,0.980554371,0,0
1.97759E-5,0.500065215,0.131252146,0.976204691,0,0
2.01315E-5,0.601829905,0.133297918,0.971855011,0,0
2.05621E-5,0.701640309,0.135761915,0.967675906,0,0
2.0755E-5,0.751260702,0.13686148,0.965628998,0,0
2.09321E-5,0.801347484,0.137868005,0.96358209,0,0
2.12992E-5,0.90053558,0.139947873,0.959573561,0,0
2.16957E-5,1.001472862,0.142182157,0.955565032,0,0
2.19777E-5,1.102005825,0.143764529,0.951641791,0,0
2.23603E-5,1.20160127,0.145902429,0.947803838,0,0
2.26911E-5,1.300703532,0.147741954,0.944051173,0,0
2.29457E-5,1.401131314,0.149152606,0.940298507,0,0
2.31451E-5,1.500229965,0.150253851,0.93663113,0,0
2.39463E-5,1.752209564,0.154650844,0.92750533,0,0
2.45883E-5,2.002259286,0.158141003,0.918720682,0,0
2.51912E-5,2.251106754,0.161392844,0.910191898,0,0
2.56981E-5,2.500695783,0.164107327,0.901833689,0,0
2.62375E-5,2.75247802,0.166976849,0.893560768,0,0
2.67253E-5,3.001514747,0.16955501,0.88554371,0,0
2.72192E-5,3.252295483,0.172149076,0.87761194,0,0
2.77671E-5,3.502376759,0.175008084,0.869850746,0,0
2.81692E-5,3.751215238,0.177093337,0.862260128,0,0
2.8575E-5,4.00097512,0.179187367,0.854754797,0,0
2.91574E-5,4.252213805,0.18217438,0.847334755,0,0
2.95454E-5,4.501592713,0.184152024,0.840085288,0,0
2.99062E-5,4.751190716,0.18598234,0.832921109,0,0
3.03369E-5,5.001139694,0.188157092,0.825842217,0.00057971,0
3.07404E-5,5.251539555,0.190183655,0.818848614,0.00057971,0
3.11799E-5,5.502430273,0.192379767,0.811940299,0.00057971,0
3.16199E-5,5.750641476,0.19456603,0.805202559,0.00057971,0
3.21209E-5,6.002415592,0.197041477,0.798464819,0.00115942,0
3.25391E-5,6.25135721,0.19909626,0.791897655,0.00115942,0
3.29336E-5,6.500126401,0.201024925,0.785415778,0.00115942,0
3.35022E-5,6.752533055,0.203788365,0.778933902,0.00115942,0
3.3864E-5,7.001803387,0.205536485,0.772622601,0.00115942,0
3.4198E-5,7.250245915,0.207144163,0.766396588,0.00115942,0
3.45898E-5,7.501267486,0.209021304,0.760170576,0.002318841,0
3.50361E-5,7.752068566,0.211148378,0.754029851,0.002318841,0
3.54107E-5,8.002109358,0.212925322,0.747974414,0.002898551,0
3.58061E-5,8.251345352,0.214792328,0.742004264,0.002898551,0
3.62666E-5,8.500142982,0.216955348,0.736119403,0.003478261,0
3.6669E-5,8.751793114,0.218836094,0.730234542,0.004057971,0
3.70256E-5,9.002459267,0.220494856,0.724434968,0.004637681,0
3.74676E-5,9.251977779,0.22254138,0.718720682,0.004637681,0
