X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
261881.35259455,4830248.7961362,train,2.0090479545643562E-4,66.04327361551825,0.6055002168638801
261881.35259455,4829748.7961362,train,9.339210311195962E-5,44.42039648465773,0.41639549497699785
261881.35259455,4829248.7961362,train,9.11230836103197E-5,43.692610565683985,0.4104310685653678
262381.35259455,4829248.7961362,train,9.430646253485725E-5,44.744205674914376,0.418765037689718
262881.35259455,4829248.7961362,train,1.760574528342754E-4,63.085879848769665,0.5735660395602112
262381.35259455,4828748.7961362,train,7.031791982221587E-5,33.61038830232816,0.34947035344724836
262881.35259455,4828748.7961362,train,8.497904566914966E-5,40.94374618390996,0.39365121283311366
263381.35259455,4828248.7961362,train,8.70954363639263E-5,42.004983304794294,0.3995380373388552
263881.35259455,4828248.7961362,train,3.383644433876325E-4,76.2775983968863,0.7210606219038854
264381.35259455,4828248.7961362,train,7.938027148782798E-5,38.38147181374567,0.3775066071730775
264881.35259455,4828248.7961362,train,1.0091806422780855E-4,46.89278061035187,0.43534259993808316
265881.35259455,4828248.7961362,train,1.2379395471544396E-4,52.997125330890654,0.4860595431643196
266381.35259455,4828248.7961362,train,1.484956381305276E-4,58.10627340850196,0.5314984257796597
266881.35259455,4827748.7961362,train,9.070131790882737E-5,43.50053047554075,0.40930893777429833
267881.35259455,4827248.7961362,train,2.245243068977613E-4,68.4088456823362,0.6317168411160394
267881.35259455,4826748.7961362,train,9.646468337640911E-5,45.508659071118316,0.4242824358079843
268381.35259455,4826748.7961362,train,2.472417735255377E-4,70.4366807488726,0.6538423334803778
267881.35259455,4826248.7961362,train,7.264612038169884E-5,34.71721994000164,0.3569114254587427
268381.35259455,4826248.7961362,train,2.5011344310183197E-4,70.64560150596432,0.6564513325311688
268381.35259455,4825748.7961362,train,3.6951278651752505E-4,77.90696772390368,0.7384234631808555
267381.35259455,4825248.7961362,train,1.169719909530863E-4,51.44710163347974,0.47191451970249765
267881.35259455,4825248.7961362,train,7.712800926454369E-5,37.21371443416293,0.3707668770639909
268381.35259455,4825248.7961362,train,9.693194215194055E-5,45.65975391246862,0.4254631968901537
267881.35259455,4824748.7961362,train,7.31447120726375E-5,35.010760499621405,0.35848287815872715
268381.35259455,4824748.7961362,train,1.4948479214699684E-4,58.250353501723914,0.533151256584712
268881.35259455,4824748.7961362,train,1.978911625779894E-4,65.68367790674534,0.6018842561978889
268381.35259455,4824248.7961362,train,9.669681715450919E-5,45.58372286491049,0.4248696429669351
268881.35259455,4824248.7961362,train,8.63377216236175E-5,41.66312063049291,0.39744360580564997
269381.35259455,4824248.7961362,train,8.55846370150922E-5,41.29360566180559,0.3953474450084829
269881.35259455,4824248.7961362,train,3.6452695498321306E-4,77.5176380208638,0.7357910066219945
270381.35259455,4824248.7961362,train,1.2047433985516009E-4,52.24600114858013,0.4792723790299223
