Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
4.17804E-8,0.000004178,0.000069857,1,0,0
4.23316E-8,0.000012593,0.000070779,0.999803382,0,0
4.64591E-8,0.000026298,0.000077679,0.999508455,0,0
5.09095E-8,0.000050484,0.00008512,0.999016909,0,0
5.75417E-8,0.000104898,0.000096207,0.998033818,0,0
6.92454E-8,0.000252288,0.000115773,0.995772709,0,0
9.31134E-8,0.0005052,0.000155673,0.992725128,0,0
1.36796E-7,0.001001044,0.000228687,0.988497837,0,0
1.8742E-7,0.00251,0.00031329,0.979846638,0,0
2.05594E-7,0.005013532,0.00034366,0.967361384,0,0
2.31182E-7,0.010003278,0.000386415,0.944946913,0,0
2.82479E-7,0.025022386,0.000472116,0.887632717,0,0
3.62954E-7,0.050014472,0.000606536,0.810951632,0,0
6.69884E-7,0.100024104,0.001118875,0.706940621,0,0
1.73162E-6,0.200064843,0.00288712,0.620526937,0,0
2.60599E-6,0.300094076,0.004338632,0.574911522,0,0.000646831
3.3777E-6,0.400108499,0.005616212,0.542272906,0,0.000646831
4.0947E-6,0.500059979,0.006800288,0.516024381,0,0.000646831
4.75656E-6,0.600250457,0.007890789,0.493708219,0,0.001293661
5.61769E-6,0.700326983,0.009306053,0.474734565,0,0.001940492
6.02463E-6,0.750318068,0.009973454,0.466279984,0,0.002587322
6.51342E-6,0.800410482,0.010773892,0.458415258,0,0.002587322
7.5195E-6,0.900014486,0.012417397,0.444455368,0,0.002587322
8.77324E-6,1.000863578,0.014457843,0.432265041,0,0.003234153
9.99831E-6,1.100279461,0.016443496,0.421844278,0.005813953,0.003880983
1.12153E-5,1.20009163,0.018408098,0.412603225,0.005813953,0.004527814
1.21452E-5,1.300669087,0.019904017,0.404148643,0.005813953,0.005174644
1.33925E-5,1.401161808,0.021903321,0.396382226,0.005813953,0.005174644
1.4459E-5,1.500836476,0.023606515,0.389303972,0.005813953,0.007761966
1.68705E-5,1.751335479,0.027435585,0.373574518,0.005813953,0.009055627
1.91759E-5,2.001160381,0.031068206,0.359909556,0.005813953,0.010349288
2.16202E-5,2.251549075,0.034890261,0.347817538,0.005813953,0.01228978
2.3408E-5,2.501149497,0.037666715,0.33690523,0.005813953,0.014877102
2.55695E-5,2.750144258,0.041002295,0.326877703,0.011627907,0.015523933
2.78401E-5,3.002735254,0.044481423,0.317538341,0.01744186,0.018758085
3.02988E-5,3.250212958,0.048220274,0.309182068,0.01744186,0.021992238
3.26211E-5,3.502606949,0.051725133,0.301317342,0.01744186,0.02457956
3.5532E-5,3.750478867,0.0560818,0.294140779,0.01744186,0.026520052
3.79034E-5,4.000685822,0.059601691,0.287455761,0.01744186,0.029754204
4.08667E-5,4.253253177,0.063963202,0.28116398,0.01744186,0.030401035
4.38765E-5,4.503393413,0.06835215,0.275363744,0.01744186,0.032988357
4.59524E-5,4.750494742,0.071355307,0.269956744,0.01744186,0.034928849
4.80896E-5,5.004616828,0.074426856,0.264648053,0.023255814,0.035575679
5.03119E-5,5.250913942,0.077599403,0.259732599,0.023255814,0.037516171
5.22963E-5,5.502368002,0.080413988,0.254915454,0.023255814,0.038163001
