Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.4998E-8,0.0000015,0.000056654,1,0,0
1.53337E-8,0.000003033,0.000057922,0.999914661,0,0
1.70019E-8,0.000011247,0.000064223,0.999487967,0,0
1.8661E-8,0.000025498,0.00007049,0.998805257,0,0
2.02478E-8,0.000050763,0.000076483,0.997695853,0,0
2.29129E-8,0.000100951,0.000086549,0.99573306,0,0
2.63381E-8,0.000250915,0.000099486,0.990612733,0,0
2.95757E-8,0.000500757,0.000111714,0.98301758,0,0
3.30861E-8,0.001003287,0.000124972,0.969363373,0,0
4.06913E-8,0.002502133,0.000153694,0.934715822,0,0
5.15365E-8,0.005000055,0.000194649,0.888462195,0,0
1.04761E-7,0.010007677,0.000395594,0.827359618,0,0
1.9009E-7,0.025001571,0.000717579,0.740570063,0,0
4.5628E-7,0.05002116,0.001720699,0.665813279,0,0
1.11393E-6,0.100060302,0.004190386,0.60197986,0,0
3.03589E-6,0.200093838,0.01133847,0.559054446,0,0
5.56862E-6,0.300424467,0.02060285,0.538573135,0.000582072,0
7.27805E-6,0.40064514,0.026758193,0.525430961,0.000582072,0
8.51753E-6,0.500346464,0.031173178,0.514678273,0.000582072,0
9.50571E-6,0.600830768,0.034664435,0.505205666,0.001164144,0
1.04379E-5,0.700713363,0.037934817,0.496671787,0.001164144,0
1.09041E-5,0.750861737,0.03956228,0.492660864,0.001746217,0
1.13946E-5,0.800979743,0.041268275,0.488820618,0.001746217,0
1.22933E-5,0.900180945,0.044378615,0.481652159,0.002328289,0
1.33847E-5,1.000251149,0.048129134,0.474995733,0.002910361,0
1.43546E-5,1.101348322,0.051437192,0.468766001,0.002910361,0
1.53463E-5,1.200940637,0.054796214,0.463048302,0.003492433,0
1.62184E-5,1.30053314,0.057730441,0.457671958,0.004074505,0
1.70406E-5,1.400255137,0.060480093,0.45255163,0.004656577,0
1.80791E-5,1.50014671,0.063930271,0.447687319,0.00523865,0
2.06409E-5,1.751711273,0.07233374,0.436593275,0.00523865,0
2.32122E-5,2.001558277,0.080618164,0.426864653,0.007566938,0
2.51669E-5,2.250384766,0.086817793,0.418074757,0.00814901,0
2.74447E-5,2.501884745,0.09393734,0.409967571,0.009895227,0
2.95086E-5,2.752363136,0.100293038,0.402457757,0.009895227,0
3.09443E-5,3.000204299,0.104661978,0.395459976,0.011641444,0
3.24549E-5,3.251105596,0.109213122,0.388718211,0.011641444,0
3.40515E-5,3.501114539,0.113973436,0.382317802,0.01338766,0
3.53303E-5,3.751181937,0.117749877,0.376173408,0.013969732,0
3.68102E-5,4.003546508,0.122079848,0.370199693,0.014551804,0
3.81806E-5,4.250676097,0.126052083,0.364567332,0.015133877,0
3.97268E-5,4.500281376,0.130490591,0.359105649,0.016880093,0
4.13934E-5,4.751619285,0.135224467,0.353814644,0.018044237,0
4.317E-5,5.000568294,0.140214744,0.348779655,0.020372526,0
4.49252E-5,5.251575899,0.14508824,0.343915344,0.022118743,0
4.68334E-5,5.508003689,0.150324624,0.339136371,0.023864959,0
4.894E-5,5.752094149,0.156031149,0.334784093,0.02677532,0
5.07428E-5,6.001403242,0.160854518,0.330517153,0.029685681,0
5.25685E-5,6.254578339,0.165682921,0.326335552,0.033178114,0
5.45213E-5,6.500561953,0.170786604,0.322409968,0.036670547,0
5.65395E-5,6.755297325,0.175995885,0.318484383,0.037834692,0
5.85059E-5,7.003282767,0.181008864,0.314814815,0.038998836,0
6.03598E-5,7.252654968,0.18567969,0.311230585,0.04016298,0
6.24933E-5,7.504241669,0.190989327,0.307731695,0.041909197,0
6.41258E-5,7.751535052,0.195005467,0.304403482,0.042491269,0
6.6286E-5,8.005611358,0.200259226,0.301075269,0.043655413,0
6.80912E-5,8.254476117,0.204596992,0.297917733,0.045983702,0
6.97656E-5,8.503132915,0.208578708,0.294845537,0.046565774,0
7.16043E-5,8.750754721,0.212905592,0.291858679,0.047729919,0
7.39981E-5,9.006106701,0.218468296,0.288871821,0.050058207,0
7.62327E-5,9.253589019,0.223590534,0.286055641,0.050640279,0
