X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
261881.35259455,4830248.7961362,train,3.1398051355919284E-4,45.512312105102446,0.5425658455768753
261881.35259455,4829748.7961362,train,6.714582115425201E-5,8.124146248503008,0.2023311648294915
261881.35259455,4829248.7961362,train,2.6442955747968996E-4,38.02474838851342,0.4997301175340427
262381.35259455,4829248.7961362,train,4.9829374994861376E-5,5.875085758333132,0.15841754559102028
262881.35259455,4829248.7961362,train,7.774198102144466E-5,9.452903145710252,0.22701228608079999
262381.35259455,4828748.7961362,train,1.4182866110602928E-4,20.366661310457168,0.34886437775905943
262881.35259455,4828748.7961362,train,4.922516178470979E-5,5.7915291533844355,0.15679782622755623
263381.35259455,4828248.7961362,train,1.761687986322051E-4,25.702861347403918,0.3995808663218285
263881.35259455,4828248.7961362,train,3.0047041096132086E-4,43.20406688024647,0.531631415271934
264381.35259455,4828248.7961362,train,1.1337464246575775E-4,14.927017743284933,0.2998616687185903
264881.35259455,4828248.7961362,train,1.781466312577951E-4,25.930640434768485,0.40226235419207934
265881.35259455,4828248.7961362,train,1.7916492759675472E-4,26.06227357002519,0.40363361201140585
266381.35259455,4828248.7961362,train,1.5927422113383072E-4,23.151893374891625,0.37565614611021164
266881.35259455,4827748.7961362,train,1.78450569257421E-4,25.962066475999723,0.40267230281347016
267881.35259455,4827248.7961362,train,1.6561332977143393E-4,24.114166425691547,0.384853267629353
267881.35259455,4826748.7961362,train,1.6774253765681717E-4,24.450360016441163,0.3878819459168734
268381.35259455,4826748.7961362,train,1.7393632084113529E-4,25.29190008412833,0.3965250864933239
267881.35259455,4826248.7961362,train,9.191389409943117E-5,11.5216299239588,0.2577296777811573
268381.35259455,4826248.7961362,train,1.749387505623765E-4,25.480464953555312,0.3979010350731327
268381.35259455,4825748.7961362,train,3.5232828059981726E-4,55.458043100640104,0.5709942785141469
267381.35259455,4825248.7961362,train,1.0144116826678665E-4,13.000417637824162,0.27704332089720507
267881.35259455,4825248.7961362,train,1.0690757567946989E-4,13.86894749816325,0.2876776961672042
268381.35259455,4825248.7961362,train,1.7434455536931507E-4,25.368692191216386,0.3970861930618577
267881.35259455,4824748.7961362,train,9.751549888895676E-5,12.404472819991465,0.2692082888841039
268381.35259455,4824748.7961362,train,1.5961001983578145E-4,23.225007452517588,0.37615023380548024
268881.35259455,4824748.7961362,train,1.7466528216842207E-4,25.42902341016754,0.39752629141838014
268381.35259455,4824248.7961362,train,1.5825312707326783E-4,22.96106829639021,0.3741489083255222
268881.35259455,4824248.7961362,train,7.869201764023783E-5,9.57794121570356,0.22915075801109822
269381.35259455,4824248.7961362,train,1.2569859806116417E-4,17.156811133414763,0.32196251244809926
269881.35259455,4824248.7961362,train,3.5329346070994016E-4,55.60855440470654,0.5716642817602102
270381.35259455,4824248.7961362,train,1.6702273018973576E-4,24.3354819684794,0.38686140279430536
269381.35259455,4823748.7961362,train,1.9788265212039038E-4,28.72253744334147,0.42776390662507674
269881.35259455,4823748.7961362,train,1.1058198309038529E-4,14.5064097700752,0.29465180274356917
270381.35259455,4823748.7961362,train,3.4671640955567773E-4,54.083669140398335,0.5670567573559964
270881.35259455,4823748.7961362,train,1.4456900153810975E-4,20.834688790843575,0.353224021720485
269881.35259455,4823248.7961362,train,1.2658895259516224E-4,17.358249745303063,0.32350528625107666
270381.35259455,4823248.7961362,train,1.1975016178166707E-4,16.206676514655552,0.31147193646293014
270881.35259455,4823248.7961362,train,3.4786585236740066E-4,54.431392473598414,0.5678691290732982
271381.35259455,4823248.7961362,train,1.5974800347447866E-4,23.25505082230024,0.3763530336379891
269881.35259455,4822748.7961362,train,1.696161139132762E-4,24.701523648528628,0.3905224415280835
270381.35259455,4822748.7961362,train,1.7143265049087943E-4,24.994023279886633,0.393060888868662
270881.35259455,4822748.7961362,train,3.46652938707001E-4,54.06404038255965,0.567011810171817
271381.35259455,4822748.7961362,train,1.542877800744787E-4,22.394506859243478,0.3682259983788825
270381.35259455,4822248.7961362,train,1.6093122466166572E-4,23.490470628515798,0.3780866611537282
270881.35259455,4822248.7961362,train,1.1348832146337166E-4,14.944217381428805,0.30007211369127024
271381.35259455,4822248.7961362,train,3.4585738431978393E-4,53.84849509304099,0.566447641915498
271881.35259455,4822248.7961362,train,1.4610395151854676E-4,21.022362667127112,0.35564058102892554
270381.35259455,4821748.7961362,train,1.5661874031402487E-4,22.763673366912805,0.3717211836410838
270881.35259455,4821748.7961362,train,1.7328004095034914E-4,25.207807711143012,0.3956208564029072
271381.35259455,4821748.7961362,train,3.447487113212287E-4,53.595878429063994,0.5656589687773265
271881.35259455,4821748.7961362,train,8.490001324859903E-5,10.4518983442816,0.24283846072304935
270381.35259455,4821248.7961362,train,1.637155040415829E-4,23.897387317118266,0.3821283430063968
270881.35259455,4821248.7961362,train,1.5286672169785844E-4,22.145382975273204,0.366076030307229
271381.35259455,4821248.7961362,train,3.41344299074361E-4,52.29806594506384,0.5632191489272634
271881.35259455,4821248.7961362,train,1.486849733618183E-4,21.453764461642702,0.35966357365959123
269881.35259455,4820748.7961362,train,1.5425793592053482E-4,22.388860750151306,0.368180996061933
270381.35259455,4820748.7961362,train,1.0160331338020665E-4,13.025629602234412,0.277363326295922
270881.35259455,4820748.7961362,train,1.1396609251245279E-4,15.025093022013985,0.30095519218636646
271381.35259455,4820748.7961362,train,3.46588926998405E-4,54.04424436040039,0.5669664705218583
271881.35259455,4820748.7961362,train,1.119916074767335E-4,14.718027350863071,0.29729119251798447
270381.35259455,4820248.7961362,train,2.0850720135457903E-4,30.158140803060476,0.44061146181187566
270881.35259455,4820248.7961362,train,2.274509531403105E-4,33.084965919843974,0.46214264222862184
271381.35259455,4820248.7961362,train,3.434402690929729E-4,53.03008795117834,0.5647244870494361
271881.35259455,4820248.7961362,train,1.1759494259802608E-4,15.763012043883366,0.3075904569067621
272381.35259455,4820248.7961362,train,1.6453729641046475E-4,23.974247452087543,0.38331124176859926
271381.35259455,4819748.7961362,train,1.2167945753286877E-4,16.51974160354301,0.3149098058550484
271881.35259455,4819748.7961362,train,3.660069949827054E-4,57.62059209784361,0.5802982907195493
272381.35259455,4819748.7961362,train,3.4836769825099395E-4,54.7028209808838,0.5682228546616926
272381.35259455,4819248.7961362,train,1.5561116041600562E-4,22.615701716131124,0.37021511310011107
272881.35259455,4819248.7961362,train,1.2721021505654733E-4,17.530329098631423,0.32457763518703175
272381.35259455,4818748.7961362,train,1.0969733693946318E-4,14.369293042379516,0.29298523564413337
272881.35259455,4818748.7961362,train,1.0763125437510482E-4,14.004689195618347,0.2890621393637422
273381.35259455,4818748.7961362,train,1.6363356488711167E-4,23.889723757914748,0.3820101498687152
273881.35259455,4818748.7961362,train,3.4003744357766446E-4,51.77011642000188,0.5622752762724249
272881.35259455,4818248.7961362,train,7.990695555760555E-5,9.737506325089802,0.23186832574636526
273381.35259455,4818248.7961362,train,8.431474710521333E-5,10.359859254827315,0.24156882453798187
