Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.52687E-13,0.000000001,0.000000004,0.99359959,0,0
1.2053E-12,0.000000003,0.000000007,0.99223417,0,0
4.41389E-12,0.00000001,0.000000025,0.989759345,0,0
8.23019E-12,0.000000026,0.000000047,0.987711214,0,0
2.8589E-11,0.000000101,0.000000162,0.98370029,0,0
6.00987E-11,0.000000253,0.000000341,0.980628094,0,0
1.98835E-10,0.000001016,0.00000113,0.975081072,0,0
4.18495E-10,0.000002509,0.000002377,0.97098481,0,0
1.48058E-9,0.000010032,0.000008411,0.963731012,0,0
3.04624E-9,0.00002524,0.000017305,0.958013313,0,0
5.0294E-9,0.000050186,0.000028571,0.952807646,0,0
9.42176E-9,0.000100782,0.000053522,0.946577914,0,0
1.82506E-8,0.00025159,0.00010367,0.937105308,0,0
3.55951E-8,0.000501452,0.000202173,0.928827445,0,0
6.0895E-8,0.001002714,0.000345821,0.919696194,0,0
1.2186E-7,0.002507298,0.000691802,0.905188599,0,0
2.06438E-7,0.005003675,0.00117139,0.892131763,0,0
3.4938E-7,0.010017556,0.001980878,0.876344086,0,0
7.10127E-7,0.025008669,0.004017984,0.851595835,0,0
1.26575E-6,0.050090788,0.0071393,0.829749104,0,0
2.15375E-6,0.100044336,0.012087441,0.804574159,0,0
3.67747E-6,0.200210236,0.020464017,0.77479092,0,0
4.80978E-6,0.300355188,0.026597377,0.754309609,0,0
6.14008E-6,0.400567154,0.033705778,0.73869261,0,0
7.21378E-6,0.500314657,0.039367784,0.72589179,0,0
8.14123E-6,0.60036343,0.044205413,0.714797747,0,0
9.25264E-6,0.700336203,0.049938793,0.704983786,0,0
9.64952E-6,0.750439503,0.051969517,0.700460829,0,0
1.01387E-5,0.800895343,0.054460694,0.696108551,0,0
1.10878E-5,0.900232762,0.059256519,0.688086704,0,0
1.18458E-5,1.000974932,0.063052078,0.68057689,0,0
1.26203E-5,1.101137464,0.066898938,0.673579109,0,0
1.33936E-5,1.200052316,0.070708158,0.667093361,0,0
1.42454E-5,1.300875872,0.074868541,0.660863629,0,0
1.51133E-5,1.400977305,0.079069101,0.655060591,0,0
1.58986E-5,1.500099323,0.08283726,0.649598908,0,0
1.76326E-5,1.75029412,0.091049635,0.636883427,0,0
1.91809E-5,2.001020395,0.098258853,0.625277351,0,0
2.08199E-5,2.251316592,0.105766843,0.614610002,0,0
2.21607E-5,2.500207722,0.111816607,0.604710701,0,0
2.36921E-5,2.750271085,0.11862696,0.595408773,0,0
2.51419E-5,3.002086876,0.124979242,0.586618877,0,0
2.64586E-5,3.251897445,0.130669267,0.578341014,0,0
2.78532E-5,3.501552754,0.136615687,0.570489845,0,0
2.91966E-5,3.750003132,0.142267224,0.56306537,0,0
3.06913E-5,4.001576493,0.148469403,0.555896911,0.000582072,0
3.1949E-5,4.25251425,0.153618688,0.549069807,0.000582072,0
3.31646E-5,4.500240511,0.158536949,0.542584059,0.000582072,0
3.44136E-5,4.750516545,0.163531284,0.536268988,0.001164144,0
3.54086E-5,5.002107332,0.167467379,0.530124595,0.001164144,0
3.66903E-5,5.250633694,0.172483939,0.524236218,0.001746217,0
3.76602E-5,5.503059474,0.176239779,0.51843318,0.001746217,0
3.88927E-5,5.75179903,0.180963996,0.512886158,0.001746217,0
4.00722E-5,6.000027134,0.185434445,0.507509814,0.002328289,0
4.11398E-5,6.251842812,0.189438808,0.502218809,0.002328289,0
4.22059E-5,6.501827619,0.19339853,0.497098481,0.003492433,0
4.31593E-5,6.753451733,0.196906848,0.492063492,0.00523865,0
4.43765E-5,7.003322771,0.201342198,0.487199181,0.00523865,0
4.52556E-5,7.254160683,0.204514927,0.482420208,0.006984866,0
4.64672E-5,7.502049365,0.208846713,0.477811913,0.006984866,0
4.72644E-5,7.750508226,0.211671377,0.473288957,0.007566938,0
4.83208E-5,8.003477503,0.215383578,0.468766001,0.00814901,0
4.9215E-5,8.252612693,0.218498364,0.464413722,0.009895227,0
5.01478E-5,8.501088821,0.221721353,0.460146783,0.011059371,0
5.12024E-5,8.754763239,0.225333543,0.455879843,0.012805588,0
5.23896E-5,9.003587769,0.22935982,0.451783581,0.01338766,0
5.35785E-5,9.252251517,0.233350129,0.447772657,0.01338766,0
5.45892E-5,9.501473776,0.236710046,0.443847073,0.014551804,0
5.5602E-5,9.754560253,0.240047714,0.439921488,0.015715949,0
5.63501E-5,10.000827943,0.242494094,0.436166581,0.017462165,0
5.7404E-5,10.251174356,0.245914211,0.432411674,0.01862631,0
5.84521E-5,10.500584821,0.249284969,0.428742106,0.01862631,0
5.95756E-5,10.754332095,0.252864683,0.425072538,0.019208382,0
6.04215E-5,11.000226457,0.25553785,0.421573647,0.019790454,0
6.15249E-5,11.250167485,0.258995775,0.418074757,0.020372526,0
6.25362E-5,11.504771416,0.262136791,0.414575866,0.022118743,0
6.35194E-5,11.750828267,0.265165473,0.411247653,0.023864959,0
6.45579E-5,12.000631052,0.268337392,0.40791944,0.024447031,0
6.54861E-5,12.254249558,0.271149242,0.404591227,0.024447031,0
6.63941E-5,12.505000685,0.27387922,0.401348353,0.025611176,0
6.72718E-5,12.752352103,0.276498787,0.398190818,0.02677532,0
6.83079E-5,13.003197474,0.279566797,0.395033282,0.027939464,0
6.93141E-5,13.250978099,0.28252135,0.391961086,0.030267753,0
7.03338E-5,13.502475531,0.28549117,0.388888889,0.030849825,0
7.14106E-5,13.750810584,0.288600604,0.385902031,0.033178114,0
7.26377E-5,14.002829758,0.292111068,0.382915173,0.034342258,0
7.39923E-5,14.251845554,0.295946429,0.380013654,0.036088475,0
7.49656E-5,14.504843768,0.298676463,0.377112135,0.038998836,0
7.58123E-5,14.761162694,0.301034356,0.374210616,0.041327125,0
7.70297E-5,15.005974251,0.304396958,0.371479775,0.042491269,0
7.79553E-5,15.254187673,0.306932074,0.368748933,0.04540163,0
7.88493E-5,15.505004492,0.309363005,0.366018092,0.050058207,0
7.95668E-5,15.750756041,0.311301799,0.363372589,0.052968568,0
8.05367E-5,16.006854748,0.313905267,0.360641748,0.057043073,0
8.12284E-5,16.257564202,0.315750154,0.357996245,0.059371362,0
8.1829E-5,16.502237479,0.317343879,0.355436081,0.063445867,0
8.26708E-5,16.757294934,0.319565201,0.352790579,0.066356228,0
8.3345E-5,17.006370165,0.321333946,0.350230415,0.070430733,0
8.40009E-5,17.257323458,0.323045771,0.347670251,0.074505239,0
8.47398E-5,17.501851861,0.324963936,0.345195426,0.080908033,0
8.56922E-5,17.757823189,0.327420367,0.342635262,0.08556461,0
8.63946E-5,18.007459922,0.329220716,0.340160437,0.089057043,0
8.73027E-5,18.25074169,0.331533838,0.337770951,0.092549476,0
8.81459E-5,18.505203503,0.333667401,0.335296126,0.095459837,0
8.89025E-5,18.753228467,0.335570536,0.332906639,0.100116414,0
8.94776E-5,19.002897273,0.337009728,0.330517153,0.100698487,0
