X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
261881.35259455,4830248.7961362,train,1.7092390631622388E-4,44.565021495853784,0.49264584948696627
261881.35259455,4829748.7961362,train,6.131718263637393E-5,11.203115562398814,0.25834714470065967
261881.35259455,4829248.7961362,train,1.121490581117634E-4,25.683338693017582,0.3891685964275894
262381.35259455,4829248.7961362,train,6.629029154436225E-5,12.47633318803602,0.27356818379090575
262881.35259455,4829248.7961362,train,9.374824597970691E-5,20.089130599364257,0.3475050429244456
262381.35259455,4828748.7961362,train,9.916415102963974E-5,21.646689616468088,0.3603464848824833
262881.35259455,4828748.7961362,train,7.180978067293567E-5,13.832793457009545,0.28974630344346747
263381.35259455,4828248.7961362,train,1.1439007127380796E-4,26.35289042353702,0.39388209821356085
263881.35259455,4828248.7961362,train,2.2786439056409773E-4,59.31988047645568,0.5641724882165398
264381.35259455,4828248.7961362,train,1.0538835584859536E-4,23.64956210812609,0.3744940248640606
264881.35259455,4828248.7961362,train,1.210117975311312E-4,28.365839232988442,0.4073939604447273
265881.35259455,4828248.7961362,train,1.377397533642842E-4,32.9926819466311,0.43898777553876717
266381.35259455,4828248.7961362,train,1.6010840143481882E-4,40.799530178797774,0.4763212021778167
266881.35259455,4827748.7961362,train,1.2402286061218628E-4,29.13793969281137,0.4133408866549567
267881.35259455,4827248.7961362,train,2.0288692307386858E-4,53.413856990550165,0.5354433550977341
267881.35259455,4826748.7961362,train,1.307599728871578E-4,31.051387130556655,0.4262240568178619
268381.35259455,4826748.7961362,train,2.1714038793923417E-4,56.50602775520875,0.5522848903389608
267881.35259455,4826248.7961362,train,1.1208070489548904E-4,25.660636949323557,0.38902367737294435
268381.35259455,4826248.7961362,train,2.1919867632846842E-4,57.01360267639002,0.5546165376753027
268381.35259455,4825748.7961362,train,2.715349553739792E-4,67.7606680455961,0.6066980757800832
267381.35259455,4825248.7961362,train,1.4583839233881323E-4,35.383283333752175,0.4531037261201692
267881.35259455,4825248.7961362,train,1.1686336353012652E-4,27.155350532472976,0.3990004192066944
268381.35259455,4825248.7961362,train,1.3327269281755027E-4,31.774979625390483,0.43088535603202827
267881.35259455,4824748.7961362,train,1.1361366649255301E-4,26.123887153307574,0.3922573508986201
268381.35259455,4824748.7961362,train,1.68349241895273E-4,43.762443824487406,0.4888527108868613
268881.35259455,4824748.7961362,train,1.954360666933576E-4,51.44056761804232,0.526125214248501
268381.35259455,4824248.7961362,train,1.3266613832973634E-4,31.52068075747063,0.42976709637998317
268881.35259455,4824248.7961362,train,1.2531631257429643E-4,29.466493031486092,0.415858996199222
269381.35259455,4824248.7961362,train,1.2514089697594657E-4,29.42494165400218,0.41551876253911046
269881.35259455,4824248.7961362,train,2.730982829048421E-4,68.07239139940091,0.6080670919511669
270381.35259455,4824248.7961362,train,1.520504635939019E-4,37.791681483022344,0.46345908231074434
269381.35259455,4823748.7961362,train,2.3650395115260174E-4,61.40126134490394,0.5732999452250231
269881.35259455,4823748.7961362,train,1.2094046958923194E-4,28.348917625177968,0.4072516237291325
270381.35259455,4823748.7961362,train,3.004743749005099E-4,72.68774157108693,0.6305845341225137
270881.35259455,4823748.7961362,train,1.8783837352218954E-4,49.54947384959664,0.5162304678936475
269881.35259455,4823248.7961362,train,2.3181528655827544E-4,60.19187218099963,0.5683944862253857
270381.35259455,4823248.7961362,train,1.2468239050525426E-4,29.31633343659294,0.4146275750013234
270881.35259455,4823248.7961362,train,2.990932554371648E-4,72.5463562580144,0.6295106861384893
271381.35259455,4823248.7961362,train,1.565502812888879E-4,39.639859661323385,0.4707185576613209
269881.35259455,4822748.7961362,train,1.5169372817110867E-4,37.667990995121706,0.46287503877734393
270381.35259455,4822748.7961362,train,1.5970178165659277E-4,40.68102117280795,0.47568694562610575
270881.35259455,4822748.7961362,train,3.0109073421533426E-4,72.75083832484678,0.6310617594784559
271381.35259455,4822748.7961362,train,1.915026863196795E-4,50.47775926744418,0.521053705652063
270381.35259455,4822248.7961362,train,1.2563935538683794E-4,29.563889985187238,0.4164845302431677
270881.35259455,4822248.7961362,train,1.2547777902801517E-4,29.505816064187965,0.41617182436689193
271381.35259455,4822248.7961362,train,3.108375851723807E-4,73.9364767563602,0.6384477686829588
271881.35259455,4822248.7961362,train,1.2692575479610358E-4,30.001383289293805,0.4189622566625837
270381.35259455,4821748.7961362,train,1.2286920781340115E-4,28.81579552076457,0.4110765521083687
270881.35259455,4821748.7961362,train,1.5244779532712176E-4,37.99086953836611,0.4641080963570638
271381.35259455,4821748.7961362,train,3.181789098822996E-4,74.6790061794341,0.6438185513245761
271881.35259455,4821748.7961362,train,1.1866390585176382E-4,27.677463983859813,0.40267248811218775
270381.35259455,4821248.7961362,train,1.2474683257525338E-4,29.3315980812515,0.4147529935424222
270881.35259455,4821248.7961362,train,1.7916572757726876E-4,47.34662556399983,0.5044183952680191
271381.35259455,4821248.7961362,train,3.3775007542675956E-4,77.12010753489577,0.657386471957022
271881.35259455,4821248.7961362,train,1.5471466526042975E-4,39.075355729163384,0.46778104568006984
269881.35259455,4820748.7961362,train,1.3660817297042485E-4,32.70906586244762,0.43695719625154517
270381.35259455,4820748.7961362,train,1.553084924265217E-4,39.2649042208806,0.46873490095604836
270881.35259455,4820748.7961362,train,1.2415922489849858E-4,29.1779694534264,0.4136073857618966
271381.35259455,4820748.7961362,train,3.0776900677465495E-4,73.64015391890021,0.6361545470909629
271881.35259455,4820748.7961362,train,1.2622589148027303E-4,29.772833971580244,0.41761686986445795
270381.35259455,4820248.7961362,train,2.0073781704564806E-4,52.85520583541123,0.5327934750245136
270881.35259455,4820248.7961362,train,2.3951046226182316E-4,61.94997751841584,0.5763872205783691
271381.35259455,4820248.7961362,train,3.072094367725017E-4,73.57513312605565,0.6357332274211808
271881.35259455,4820248.7961362,train,1.286242544802496E-4,30.546582892590525,0.42220167394749997
272381.35259455,4820248.7961362,train,2.2092421965977442E-4,57.508916788145854,0.55655261569853
271381.35259455,4819748.7961362,train,1.1714463814899806E-4,27.238420597007728,0.3995770300608765
271881.35259455,4819748.7961362,train,2.761814078085221E-4,68.46552252063587,0.6107392629773591
272381.35259455,4819748.7961362,train,3.812310393675412E-4,80.88919704627745,0.6841194508718998
272381.35259455,4819248.7961362,train,1.3922042828299204E-4,33.41450999022005,0.4416227750653604
272881.35259455,4819248.7961362,train,1.4353655994165873E-4,34.61681300462049,0.4491644043072785
272381.35259455,4818748.7961362,train,1.1694879621876393E-4,27.180581742409228,0.39917567264742504
272881.35259455,4818748.7961362,train,1.2367512599763803E-4,29.035862134571172,0.412660205113688
273381.35259455,4818748.7961362,train,2.2532216607910877E-4,58.72205677792217,0.5614118708681818
273881.35259455,4818748.7961362,train,3.230466360833827E-4,75.39458700598347,0.6472925755350533
