Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
7.05388E-10,0.000000071,0.000003169,1,0,0
9.82323E-10,0.000000169,0.000004414,0.999914661,0,0
1.24054E-9,0.000000293,0.000005574,0.999829322,0,0
2.50724E-9,0.000001112,0.000011265,0.999487967,0,0
3.35851E-9,0.000002636,0.00001509,0.999061273,0,0
5.02477E-9,0.000010431,0.000022576,0.997525175,0,0
8.04359E-9,0.000025412,0.000036139,0.995562383,0,0
1.06005E-8,0.000050743,0.000047627,0.993258235,0,0
1.42695E-8,0.000100061,0.00006411,0.989844683,0,0
2.18048E-8,0.000250173,0.000097962,0.982761563,0,0
2.9784E-8,0.000502264,0.000133805,0.9744837,0,0
4.41406E-8,0.001000252,0.00019829,0.962962963,0,0
7.58717E-8,0.002501156,0.000340784,0.941628264,0,0
1.11557E-7,0.005002629,0.000500989,0.918416112,0,0
1.67068E-7,0.010003587,0.000750095,0.887779485,0,0
3.02624E-7,0.025014746,0.001357879,0.832735962,0,0
4.90741E-7,0.050028473,0.002200104,0.777777778,0,0
8.55385E-7,0.100050709,0.003828629,0.712152244,0,0
2.17555E-6,0.200166761,0.009680356,0.648660181,0,0
3.7128E-6,0.300321893,0.01640831,0.61896228,0,0
5.34029E-6,0.40014978,0.023432294,0.600017068,0.000582072,0
6.63127E-6,0.500496478,0.02893302,0.58568015,0.000582072,0
7.82454E-6,0.600738871,0.033962548,0.573818058,0.000582072,0
9.08887E-6,0.700754519,0.039235113,0.56374808,0.000582072,0
9.59023E-6,0.750202593,0.041309962,0.559225124,0.000582072,0
1.01838E-5,0.800700399,0.043754866,0.554872845,0.000582072,0
1.12879E-5,0.900417897,0.048269832,0.546936337,0.001164144,0
1.23077E-5,1.001128864,0.052402207,0.53968254,0.001746217,0
1.34632E-5,1.100493048,0.057041059,0.533111452,0.001746217,0
1.44344E-5,1.201349631,0.060905422,0.526967059,0.002328289,0
1.53263E-5,1.301133125,0.064426388,0.52124936,0.002328289,0
1.63397E-5,1.400646149,0.06839497,0.515873016,0.002910361,0
1.70411E-5,1.500739903,0.071122016,0.510752688,0.003492433,0
1.91731E-5,1.75185275,0.079314228,0.498890596,0.004074505,0
2.11734E-5,2.002023279,0.086870037,0.488308585,0.004656577,0
2.34144E-5,2.251959891,0.095189239,0.47875064,0.004656577,0
2.54888E-5,2.502075025,0.102755957,0.470046083,0.006402794,0
2.73977E-5,2.752648159,0.109608208,0.461938897,0.007566938,0
2.90341E-5,3.000709099,0.115399401,0.454429083,0.007566938,0
3.02503E-5,3.252329544,0.119655043,0.447175286,0.009313155,0
3.20012E-5,3.500868737,0.125710009,0.440348182,0.011641444,0
3.38919E-5,3.751632059,0.132155569,0.433862434,0.012223516,0
3.56392E-5,4.00191463,0.138028379,0.427718041,0.014551804,0
3.73139E-5,4.253331811,0.143583196,0.421829664,0.016298021,0
3.86875E-5,4.500078146,0.148085964,0.416282642,0.017462165,0
4.02633E-5,4.753116349,0.153193733,0.410820959,0.019208382,0
4.16798E-5,5.002729459,0.157733191,0.405615293,0.019208382,0
4.31334E-5,5.252769828,0.162341177,0.400580304,0.020372526,0
4.46027E-5,5.503037754,0.166948064,0.395715992,0.021536671,0
4.59795E-5,5.752178272,0.171219069,0.391022359,0.023864959,0
4.72471E-5,6.00414813,0.17511273,0.386414064,0.027357392,0
4.90279E-5,6.254467424,0.180521526,0.381976446,0.030267753,0
5.00048E-5,6.50199846,0.183458479,0.377709507,0.03201397,0
5.18553E-5,6.751769354,0.188964714,0.373527906,0.034342258,0
5.37819E-5,7.000074918,0.19461915,0.369516982,0.036088475,0
5.53862E-5,7.251700205,0.19926774,0.365591398,0.037252619,0
5.66945E-5,7.50387623,0.203019096,0.361751152,0.04016298,0
5.80758E-5,7.75044954,0.206941666,0.358081584,0.043073341,0
5.94153E-5,8.003210503,0.210709072,0.354412016,0.046565774,0
6.10385E-5,8.250201443,0.215226588,0.350913125,0.048311991,0
6.28186E-5,8.504266576,0.220121617,0.347414235,0.051222352,0
6.42112E-5,8.751898387,0.223908952,0.344086022,0.051804424,0
