X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
261881.35259455,4830248.7961362,train,2.657665568292168E-4,50.4869919098437,0.5442364696275505
261881.35259455,4829748.7961362,train,4.975233110988618E-5,6.438026829405627,0.18270141862995185
261881.35259455,4829248.7961362,train,1.5422300280428086E-4,25.977736119438966,0.4093123151163111
262381.35259455,4829248.7961362,train,5.5817453871808414E-5,7.334824784346102,0.2005080663745368
262881.35259455,4829248.7961362,train,8.520567751177218E-5,12.127798062037332,0.27685006321072825
262381.35259455,4828748.7961362,train,1.267941340257837E-4,19.391326118129122,0.3629359563035173
262881.35259455,4828748.7961362,train,6.600671006903264E-5,9.096291076800261,0.22873777338675988
263381.35259455,4828248.7961362,train,1.529650279936202E-4,25.72687933858312,0.4073335788033898
263881.35259455,4828248.7961362,train,3.3283566723181344E-4,62.70277164371853,0.5992738261811367
264381.35259455,4828248.7961362,train,1.3346057095138376E-4,20.91285071977932,0.37486480577751596
264881.35259455,4828248.7961362,train,1.556306389814815E-4,26.21617465322489,0.41151085593130243
265881.35259455,4828248.7961362,train,1.784100646956264E-4,31.534638286174115,0.44494316855975063
266381.35259455,4828248.7961362,train,2.179021251586902E-4,40.24090879758749,0.49470955124835003
266881.35259455,4827748.7961362,train,1.613195397929039E-4,27.758985951861543,0.42023190776900304
267881.35259455,4827248.7961362,train,2.844954228842562E-4,54.48964620302427,0.5610707037659863
267881.35259455,4826748.7961362,train,1.6951462565189325E-4,29.342806509713057,0.4323500531924454
268381.35259455,4826748.7961362,train,3.05253217718287E-4,58.35136410154527,0.5783327927784575
267881.35259455,4826248.7961362,train,1.3876820195101664E-4,22.25826471859807,0.38404748982218667
268381.35259455,4826248.7961362,train,3.078946112090378E-4,58.816494251145485,0.5804324700262959
268381.35259455,4825748.7961362,train,3.971291839062666E-4,71.27205807071726,0.6408494836956456
267381.35259455,4825248.7961362,train,1.4030856310616528E-4,22.78078499334549,0.38666216224058214
267881.35259455,4825248.7961362,train,1.4796688445196785E-4,24.674553417133428,0.39933898817398467
268381.35259455,4825248.7961362,train,1.7196191650912585E-4,29.801344408345805,0.435871265016202
267881.35259455,4824748.7961362,train,1.4033566282144186E-4,22.789161881431802,0.3867079637247699
