x,y,raw,cumulative,logistic
315267.22331753,4641602.5305323,1.41105E-4,25.454578331,0.399749974
289767.22331753,4673102.5305323,7.2664E-5,10.187920263,0.255371344
303767.22331753,4641102.5305323,3.05841E-4,61.100615855,0.59074639
338267.22331753,4736102.5305323,3.04155E-6,0.292173003,0.014151998
263267.22331753,4858102.5305323,5.00055E-6,0.400562101,0.023056873
267767.22331753,4760602.5305323,7.30708E-7,0.078934813,0.003436861
283767.22331753,4759602.5305323,3.27367E-5,3.491650439,0.133829245
260267.22331753,4857602.5305323,7.85721E-8,0.002201438,0.000370698
362267.22331753,4674102.5305323,9.72576E-9,0.000026132,0.0000459
261267.22331753,4857602.5305323,1.20124E-7,0.004564353,0.000566625
279267.22331753,4705102.5305323,1.24078E-5,0.934382081,0.055321236
290267.22331753,4709602.5305323,2.13842E-4,41.171610971,0.502306203
252267.22331753,4712602.5305323,1.61288E-5,1.308272509,0.07073817
322767.22331753,4792602.5305323,7.04618E-8,0.001784612,0.000332447
287767.22331753,4753602.5305323,4.18209E-5,4.990890332,0.164844227
276767.22331753,4659602.5305323,1.92124E-4,36.533276023,0.475551743
301267.22331753,4725102.5305323,4.5025E-7,0.038523402,0.002120532
349767.22331753,4697102.5305323,1.86464E-8,0.000127011,0.000087997
369767.22331753,4647102.5305323,6.64591E-7,0.068165392,0.003126853
266267.22331753,4857602.5305323,5.61937E-6,0.431633721,0.025836426
308767.22331753,4664102.5305323,1.46437E-4,26.518512171,0.408682304
320267.22331753,4704602.5305323,1.68598E-4,31.85912776,0.443123866
237267.22331753,4733102.5305323,2.77947E-5,2.754619913,0.115968994
326767.22331753,4694102.5305323,3.05357E-7,0.021490632,0.001439116
321767.22331753,4789602.5305323,1.77239E-7,0.009092313,0.000835814
287767.22331753,4801102.5305323,1.33482E-6,0.163103554,0.006260489
262267.22331753,4857102.5305323,5.84811E-7,0.056561755,0.002752527
307767.22331753,4713602.5305323,2.27086E-4,44.057510676,0.517321609
359267.22331753,4687102.5305323,6.54282E-6,0.49358482,0.029955058
320267.22331753,4668602.5305323,1.82146E-5,1.567132315,0.079161904
346267.22331753,4649602.5305323,8.89493E-7,0.103044463,0.004180578
318767.22331753,4641102.5305323,1.86413E-4,35.417399181,0.468031832
267267.22331753,4744602.5305323,8.61668E-7,0.099367811,0.004050331
334767.22331753,4648102.5305323,1.49507E-7,0.006594729,0.000705129
266267.22331753,4857102.5305323,1.64789E-6,0.196702913,0.007717515
355767.22331753,4691102.5305323,4.74437E-7,0.042505349,0.00223419
244267.22331753,4765102.5305323,2.54854E-6,0.26353854,0.011885368
262767.22331753,4675102.5305323,1.28799E-4,22.54399559,0.378068089
258267.22331753,4856602.5305323,5.56061E-7,0.052957454,0.002617561
288767.22331753,4715102.5305323,3.48993E-5,3.806972963,0.141419794
294767.22331753,4618102.5305323,2.35861E-4,45.931220784,0.526781469
271267.22331753,4643102.5305323,1.75808E-4,33.337738545,0.453479366
260267.22331753,4856602.5305323,4.82978E-8,0.000942007,0.000227899
284767.22331753,4692102.5305323,2.87442E-4,57.278666088,0.575666447
261267.22331753,4856602.5305323,2.03499E-7,0.011207879,0.000959529
261767.22331753,4856602.5305323,7.03066E-8,0.001770533,0.000331715
299767.22331753,4633102.5305323,2.03817E-4,38.747702044,0.490303772
352767.22331753,4758602.5305323,1.17982E-7,0.00439782,0.00055653
314767.22331753,4629102.5305323,1.27699E-6,0.158011646,0.005990864
295267.22331753,4657602.5305323,3.62963E-4,69.884485563,0.631414065
280267.22331753,4792602.5305323,7.20403E-7,0.077774384,0.003388556
314267.22331753,4694602.5305323,5.35456E-7,0.050499932,0.002520814
311767.22331753,4688602.5305323,9.23424E-7,0.107941502,0.004339358
357267.22331753,4631602.5305323,4.96132E-7,0.045331685,0.002336118
236767.22331753,4754102.5305323,5.88545E-7,0.057207733,0.002770055
342767.22331753,4642602.5305323,9.15118E-7,0.106561314,0.004300498
222267.22331753,4750602.5305323,1.30204E-7,0.005153749,0.000614146
267767.22331753,4856602.5305323,7.66973E-7,0.084714902,0.003606815
268267.22331753,4856602.5305323,6.75453E-7,0.070312739,0.003177795
279267.22331753,4692602.5305323,6.41975E-5,8.758793546,0.232535676
257767.22331753,4856102.5305323,2.09018E-6,0.233115442,0.009768616
351767.22331753,4651102.5305323,1.326E-7,0.005271886,0.000625438
323267.22331753,4659102.5305323,5.67389E-7,0.053968717,0.002670744
311267.22331753,4785102.5305323,1.98203E-6,0.22635227,0.00926786
259767.22331753,4856102.5305323,7.49667E-8,0.002040202,0.000353694
269767.22331753,4799602.5305323,3.0683E-5,3.155105889,0.126495776
310767.22331753,4799102.5305323,1.06716E-6,0.128247333,0.00501143
261267.22331753,4856102.5305323,9.28922E-8,0.002902097,0.00043823
286267.22331753,4768102.5305323,7.15924E-5,10.014758334,0.252556386
346767.22331753,4655602.5305323,1.5601E-6,0.188503514,0.007309361
336267.22331753,4718102.5305323,2.19694E-7,0.012758008,0.001035815
355767.22331753,4649102.5305323,3.76652E-8,0.000575339,0.000177736
269267.22331753,4763102.5305323,3.8256E-5,4.387043901,0.1529416
314267.22331753,4624102.5305323,1.34764E-6,0.165116319,0.006320225
236267.22331753,4736102.5305323,4.34687E-5,5.259760041,0.170233665
345267.22331753,4695102.5305323,1.20055E-7,0.00455234,0.000566302
366767.22331753,4670602.5305323,2.43165E-9,0.000001159,0.000011476
296267.22331753,4765602.5305323,3.13528E-5,3.248086223,0.128901164
310767.22331753,4748602.5305323,9.85212E-5,15.271056957,0.317401048
254267.22331753,4719602.5305323,1.18557E-5,0.889524902,0.052990017
314767.22331753,4714102.5305323,4.92906E-7,0.044540114,0.002320963
333267.22331753,4770602.5305323,6.83206E-7,0.071602385,0.003214154
303267.22331753,4621602.5305323,1.89587E-5,1.652717051,0.082130098
307267.22331753,4630102.5305323,2.15258E-5,1.933761588,0.092225309
352267.22331753,4634602.5305323,1.90617E-7,0.010142805,0.000898843
331267.22331753,4644602.5305323,8.78935E-5,12.770385902,0.293201186
262267.22331753,4715602.5305323,8.51185E-5,12.310896412,0.286597073
274767.22331753,4660102.5305323,8.17603E-5,11.641981993,0.278438407
259267.22331753,4855602.5305323,1.31452E-7,0.005245423,0.000620028
285267.22331753,4733602.5305323,7.12846E-7,0.076412729,0.003353128
316767.22331753,4631602.5305323,1.62079E-5,1.326058548,0.07106035
261267.22331753,4711102.5305323,1.29421E-4,22.673144119,0.379201151
251767.22331753,4800602.5305323,9.51915E-5,14.659402053,0.309999439
315767.22331753,4701102.5305323,1.00125E-6,0.118503241,0.004703382
300267.22331753,4616602.5305323,2.91938E-4,58.46568303,0.579453359
300267.22331753,4656602.5305323,9.20416E-5,13.826083613,0.302848032
289767.22331753,4676102.5305323,5.10846E-5,6.466356159,0.19426528
254267.22331753,4784602.5305323,9.22235E-5,13.872175485,0.303265096
301767.22331753,4698602.5305323,6.21572E-6,0.466143503,0.028500166
294767.22331753,4672102.5305323,1.11189E-4,18.197732796,0.344165995
294767.22331753,4707602.5305323,2.84643E-5,2.82224838,0.118432033
246267.22331753,4772102.5305323,1.20128E-4,20.442046535,0.361824655
234267.22331753,4749102.5305323,5.81411E-5,7.680561533,0.215321774
349767.22331753,4670102.5305323,6.82662E-8,0.001645903,0.000322091
332267.22331753,4697602.5305323,1.65766E-7,0.00807845,0.00078175
307267.22331753,4770602.5305323,3.75627E-7,0.030162697,0.001769705
360267.22331753,4673102.5305323,1.17974E-8,0.000047993,0.000055677
268767.22331753,4855602.5305323,5.88606E-6,0.445987346,0.027029448
309767.22331753,4670102.5305323,3.00404E-5,3.042634809,0.12417541
242767.22331753,4738102.5305323,1.85799E-5,1.607668311,0.080621358
273767.22331753,4761102.5305323,8.47139E-7,0.096887508,0.003982308
240267.22331753,4743602.5305323,2.47788E-5,2.338071526,0.104703384
257767.22331753,4855102.5305323,4.87346E-7,0.043707241,0.002294843
258267.22331753,4855102.5305323,2.5228E-7,0.016003597,0.001189268
281767.22331753,4748102.5305323,1.33286E-5,1.048991029,0.059183951
319767.22331753,4698102.5305323,1.0895E-4,17.591845838,0.339589014
336767.22331753,4730602.5305323,3.31074E-7,0.024672071,0.001560126
298767.22331753,4717102.5305323,6.82876E-5,9.468724968,0.243739744
277767.22331753,4756602.5305323,4.26875E-5,5.113462183,0.167687193
261267.22331753,4855102.5305323,4.2328E-7,0.034620419,0.001993764
335767.22331753,4761102.5305323,2.50219E-6,0.261766037,0.011671694
232267.22331753,4746602.5305323,4.68363E-5,5.774662523,0.181034528
246267.22331753,4753602.5305323,1.22339E-6,0.152024584,0.005740849
251267.22331753,4708102.5305323,1.17886E-4,19.859407976,0.357484694
263767.22331753,4855102.5305323,1.73811E-7,0.008758267,0.000819661
264267.22331753,4855102.5305323,1.01125E-7,0.003446337,0.00047705
262767.22331753,4758102.5305323,1.05549E-6,0.125277123,0.004956873
257267.22331753,4730602.5305323,6.26797E-6,0.468637797,0.028732841
284767.22331753,4799602.5305323,3.47287E-5,3.768648508,0.140825952
365767.22331753,4677102.5305323,3.02064E-8,0.000383808,0.000142545
345767.22331753,4686602.5305323,1.14522E-6,0.142514454,0.005376031
331767.22331753,4646102.5305323,7.4056E-5,10.422769764,0.258996336
328767.22331753,4711602.5305323,2.85453E-8,0.000327628,0.000134707
339267.22331753,4711602.5305323,1.06729E-6,0.128354061,0.005012013
268767.22331753,4855102.5305323,9.15638E-7,0.106744425,0.00430293
269267.22331753,4855102.5305323,7.60416E-7,0.083263705,0.003576092
281767.22331753,4676102.5305323,1.81137E-4,34.462021371,0.460890051
328267.22331753,4638102.5305323,3.84721E-7,0.030924972,0.00181247
274267.22331753,4647602.5305323,6.9375E-5,9.647841132,0.246663467
251267.22331753,4757102.5305323,1.25399E-4,21.743647043,0.371798265
280267.22331753,4736102.5305323,8.22004E-5,11.732224913,0.279518218
287267.22331753,4659602.5305323,5.05426E-5,6.354449427,0.192601048
341767.22331753,4749602.5305323,1.38435E-7,0.005717483,0.000652941
258767.22331753,4854602.5305323,4.14014E-7,0.033489526,0.001950206
265267.22331753,4674102.5305323,8.20279E-6,0.598104637,0.037271644
293767.22331753,4786102.5305323,8.95375E-5,13.07250785,0.297056285
267267.22331753,4760102.5305323,1.47639E-6,0.180902608,0.006919862
264767.22331753,4728602.5305323,2.57161E-5,2.449503002,0.108235023
261267.22331753,4854602.5305323,2.11206E-7,0.011915486,0.000995834
283267.22331753,4639602.5305323,3.12548E-4,62.339193277,0.595980846
326267.22331753,4795102.5305323,9.24995E-7,0.108218812,0.00434671
263767.22331753,4697102.5305323,5.50367E-6,0.428838929,0.025317941
276767.22331753,4678102.5305323,1.01465E-4,15.960433413,0.323814376
267267.22331753,4724602.5305323,4.37353E-5,5.303381395,0.171099129
280767.22331753,4726602.5305323,2.56916E-7,0.016410824,0.001211095
264767.22331753,4854602.5305323,1.05851E-7,0.003674572,0.000499335
336767.22331753,4674102.5305323,3.14069E-7,0.022668489,0.001480111
319267.22331753,4698102.5305323,1.07319E-4,17.202571202,0.336214972
278767.22331753,4677602.5305323,1.85982E-4,35.287037106,0.467455367
312767.22331753,4702102.5305323,1.08351E-7,0.003771237,0.000511119
332267.22331753,4735602.5305323,4.17359E-8,0.000750524,0.000196942
237767.22331753,4756602.5305323,7.89243E-7,0.088141823,0.003711157
278767.22331753,4717602.5305323,1.84865E-4,35.157186471,0.465956319
321767.22331753,4647102.5305323,1.99669E-5,1.751800164,0.086121568
349267.22331753,4764602.5305323,9.52244E-8,0.003043045,0.000449227
253267.22331753,4758602.5305323,2.42087E-5,2.276694235,0.102541364
270267.22331753,4854602.5305323,3.58486E-7,0.028438586,0.001689082
326267.22331753,4774102.5305323,2.17896E-7,0.012539108,0.001027343
291267.22331753,4626602.5305323,1.88994E-4,35.980665795,0.471456894
299767.22331753,4739602.5305323,3.75443E-7,0.030125134,0.00176884
236267.22331753,4743102.5305323,5.38658E-5,6.902322061,0.202697774
281767.22331753,4731102.5305323,8.99515E-7,0.104745047,0.004227483
257767.22331753,4854102.5305323,5.09781E-6,0.410168506,0.023494762
281767.22331753,4655602.5305323,8.51746E-5,12.327926398,0.286731788
322767.22331753,4798602.5305323,5.5043E-7,0.052237827,0.002591127
342267.22331753,4634102.5305323,2.19544E-7,0.012714081,0.001035108
254767.22331753,4777602.5305323,7.1985E-5,10.079400351,0.253590146
335767.22331753,4724602.5305323,1.74064E-6,0.206686091,0.00814834
275767.22331753,4680602.5305323,2.69669E-4,53.160786879,0.560004853
355767.22331753,4737602.5305323,5.38415E-7,0.050822178,0.002534709
314767.22331753,4723102.5305323,6.49238E-7,0.066000008,0.003054841
285767.22331753,4645602.5305323,6.16218E-5,8.279309281,0.225307893
337767.22331753,4648602.5305323,6.55318E-5,8.979475004,0.236227041
333267.22331753,4665602.5305323,1.85045E-7,0.009635316,0.000872593
307267.22331753,4662102.5305323,1.57291E-4,29.101246179,0.426067875
359267.22331753,4671602.5305323,2.52311E-7,0.016054056,0.001189413
326267.22331753,4654602.5305323,1.48748E-5,1.179680673,0.065599062
291767.22331753,4728602.5305323,8.13535E-5,11.576685083,0.277437383
265767.22331753,4854102.5305323,4.97898E-8,0.000991154,0.000234937
288767.22331753,4680602.5305323,3.9532E-5,4.612838615,0.157240708
352767.22331753,4643102.5305323,1.99117E-7,0.010804999,0.000938888
264767.22331753,4765602.5305323,6.52235E-5,8.927186976,0.235377095
283267.22331753,4781602.5305323,1.49814E-4,27.259618929,0.414203257
324267.22331753,4715102.5305323,1.29648E-7,0.005075768,0.000611522
307767.22331753,4761102.5305323,2.21732E-4,42.957877125,0.51136229
284767.22331753,4646102.5305323,1.08E-4,17.385522776,0.337627905
336767.22331753,4741102.5305323,1.37549E-7,0.005662257,0.000648767
253267.22331753,4742602.5305323,1.11653E-5,0.816185888,0.050058787
294767.22331753,4682102.5305323,4.80354E-5,5.936072735,0.184812698
255267.22331753,4853602.5305323,2.09737E-7,0.011662808,0.000988913
255767.22331753,4853602.5305323,5.65429E-7,0.053798856,0.002661543
297767.22331753,4631102.5305323,1.71007E-4,32.50517027,0.446627031
356267.22331753,4744602.5305323,7.82953E-9,0.000018166,0.000036952
257267.22331753,4853602.5305323,7.19395E-6,0.52803479,0.032838227
319767.22331753,4799602.5305323,2.64399E-7,0.017166833,0.001246325
286267.22331753,4740602.5305323,1.88742E-4,35.942882585,0.471123913
259767.22331753,4731602.5305323,2.23951E-5,2.030209434,0.095593732
306767.22331753,4791602.5305323,2.29846E-4,44.651531382,0.52033818
259767.22331753,4853602.5305323,1.84324E-7,0.009542938,0.000869195
260267.22331753,4853602.5305323,2.20746E-7,0.012890056,0.001040768
350767.22331753,4713102.5305323,2.51085E-7,0.015902789,0.001183638
294267.22331753,4613602.5305323,1.02629E-4,16.184742497,0.326316373
299267.22331753,4768602.5305323,9.05859E-5,13.369666048,0.299492758
295767.22331753,4616602.5305323,6.77375E-5,9.359783942,0.242251749
292267.22331753,4790602.5305323,6.30485E-6,0.471782444,0.028897004
344767.22331753,4748602.5305323,9.73505E-8,0.003197557,0.000459253
323767.22331753,4708102.5305323,8.88853E-6,0.647749982,0.04026203
267267.22331753,4759602.5305323,2.13413E-6,0.235863693,0.009971959
306267.22331753,4701602.5305323,1.31301E-5,1.019890161,0.058353676
347267.22331753,4641602.5305323,1.41084E-7,0.006025479,0.000665429
283767.22331753,4797602.5305323,1.41038E-4,25.426363602,0.399635426
354267.22331753,4743102.5305323,1.43736E-6,0.176392278,0.006738156
283767.22331753,4730602.5305323,1.5892E-6,0.190716426,0.007444689
317267.22331753,4653102.5305323,5.44592E-5,7.005150196,0.20447416
267767.22331753,4853602.5305323,4.51296E-7,0.038748774,0.00212545
268267.22331753,4853602.5305323,3.05311E-7,0.021460096,0.001438897
300767.22331753,4658102.5305323,4.34568E-5,5.255413172,0.170195172
254267.22331753,4707602.5305323,1.67397E-5,1.393745246,0.073221056
371767.22331753,4674102.5305323,3.29479E-8,0.000453755,0.00015548
270267.22331753,4853602.5305323,4.67878E-7,0.041280653,0.002203372
254767.22331753,4755102.5305323,1.77724E-4,33.779503012,0.456167057
360267.22331753,4660602.5305323,1.52327E-7,0.006821357,0.000718417
292267.22331753,4633602.5305323,2.68214E-4,52.784298427,0.558671192
288767.22331753,4624602.5305323,9.76432E-5,15.03537559,0.31546475
260767.22331753,4793102.5305323,3.18676E-5,3.339698165,0.130741065
284767.22331753,4669602.5305323,4.16399E-5,4.953291221,0.164248136
261267.22331753,4703602.5305323,4.98775E-5,6.25396061,0.190549561
311767.22331753,4697102.5305323,1.74207E-7,0.008793095,0.000821527
277767.22331753,4757602.5305323,2.97482E-5,2.982898798,0.123116465
292267.22331753,4620602.5305323,3.31711E-4,65.402476486,0.610223036
258267.22331753,4853102.5305323,6.20009E-6,0.463660182,0.028430536
