Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.89642E-10,0.000000089,0.000004199,1,0,0
9.83147E-10,0.000000187,0.00000464,0.999914698,0,0
1.24767E-9,0.000000312,0.000005889,0.999829395,0,0
2.43165E-9,0.000001159,0.000011476,0.999488186,0,0
4.2654E-9,0.00000255,0.000020131,0.999146976,0,0
5.7533E-9,0.000010206,0.000027153,0.99786744,0,0
9.7233E-9,0.00002516,0.000045889,0.996246695,0,0
1.20799E-8,0.0000504,0.00005701,0.994284739,0,0
1.62342E-8,0.000100722,0.000076614,0.991213853,0,0
2.5698E-8,0.000251404,0.000121272,0.985157383,0,0
3.55568E-8,0.000501867,0.000167789,0.978077284,0,0
4.99686E-8,0.001001141,0.000235781,0.968011601,0,0
8.45158E-8,0.00250259,0.000398729,0.949074469,0,0
1.27791E-7,0.005011321,0.000602769,0.928857801,0,0
1.89184E-7,0.010009816,0.000892092,0.901816941,0,0
3.34075E-7,0.025004416,0.001574249,0.852426853,0,0
5.30941E-7,0.050019795,0.002499612,0.802866161,0,0
8.70299E-7,0.100060125,0.004090736,0.741192528,0,0
1.67683E-6,0.200030818,0.007851975,0.669879724,0,0
3.17219E-6,0.300234931,0.014750901,0.632431971,0,0
4.99542E-6,0.400062045,0.02303373,0.611276977,0,0
6.70659E-6,0.500222064,0.030681807,0.596690267,0,0
8.24654E-6,0.600576231,0.037462964,0.585259746,0,0
9.61386E-6,0.700551377,0.043404925,0.575705877,0,0
1.0217E-5,0.750112796,0.046002725,0.571440757,0,0
1.08732E-5,0.800734713,0.048813193,0.567346242,0,0
1.19418E-5,0.900233387,0.053354322,0.559924934,0,0
1.29E-5,1.000385448,0.057389692,0.553100742,0.001160766,0
1.38552E-5,1.100692375,0.061378531,0.546703062,0.001741149,0
1.51379E-5,1.200661784,0.066681996,0.540817197,0.001741149,0
1.60524E-5,1.300229024,0.070426808,0.535357844,0.001741149,0
1.67717E-5,1.400449782,0.073351016,0.530154397,0.001741149,0
1.77605E-5,1.500565815,0.077340983,0.525206858,0.001741149,0
1.99669E-5,1.751800164,0.086121568,0.513776337,0.003482298,0
2.20713E-5,2.001317942,0.09434206,0.503625352,0.004062681,0
2.39018E-5,2.250270436,0.101373131,0.494412693,0.005223447,0
2.61557E-5,2.501430855,0.10988216,0.485882453,0.006964597,0
2.77836E-5,2.751840448,0.115928239,0.47794933,0.008125363,0
2.97769E-5,3.000756096,0.123220366,0.470613324,0.009286129,0
3.13543E-5,3.251221654,0.128906549,0.463618528,0.010446895,0
3.27744E-5,3.501480072,0.133962819,0.456964941,0.012188044,0
3.45563E-5,3.751302221,0.14022478,0.450652563,0.012768427,0
3.6047E-5,4.001529742,0.145394581,0.444596093,0.015089959,0
3.73506E-5,4.250944365,0.149864551,0.43879553,0.017411492,0
3.89364E-5,4.50292135,0.155239552,0.433165572,0.017411492,0
4.03448E-5,4.752639758,0.159956515,0.427791521,0.017991875,0
4.19823E-5,5.0034688,0.165375347,0.422588075,0.022054556,0
4.34374E-5,5.251067488,0.17013203,0.417640536,0.023215322,0
4.5008E-5,5.503187125,0.175205902,0.412778299,0.024956471,0
4.66383E-5,5.751297396,0.180407133,0.40817197,0.024956471,0
4.83226E-5,6.003564329,0.185712645,0.403650943,0.02669762,0
4.98775E-5,6.25396061,0.190549561,0.39930052,0.02843877,0
5.12317E-5,6.502184395,0.194715728,0.395120703,0.030760302,0
5.30852E-5,6.752622757,0.200348895,0.391026188,0.031921068,0
5.44592E-5,7.005150196,0.20447416,0.387016975,0.033081834,0
5.57102E-5,7.252861274,0.208193411,0.383178367,0.033662217,0
5.72282E-5,7.501708395,0.21265983,0.379425062,0.034822983,0
5.84604E-5,7.750544367,0.216248503,0.375757059,0.037144515,0
5.99573E-5,8.005342711,0.220564415,0.372089056,0.038885665,0
6.14349E-5,8.254695921,0.224778315,0.368591657,0.040046431,0
6.30909E-5,8.504391651,0.229447046,0.365179562,0.040626814,0
6.4152E-5,8.752373794,0.232408982,0.361852768,0.042948346,0
6.56672E-5,9.005723431,0.236599468,0.358525975,0.043528729,0
6.72493E-5,9.251829694,0.240926661,0.355369786,0.044689495,0
6.86621E-5,9.502980632,0.244749193,0.352213597,0.046430644,0
7.01781E-5,9.752636645,0.248808442,0.349142711,0.048171793,0
7.15006E-5,10.00043992,0.252314292,0.346157127,0.051073709,0
7.30387E-5,10.253506642,0.256350541,0.343171543,0.052814858,0
7.46829E-5,10.504730999,0.260617469,0.340271262,0.05513639,0
7.64684E-5,10.754159043,0.265195724,0.337456283,0.058038305,0
7.80812E-5,11.001613066,0.269282958,0.334726606,0.059199071,0
7.97472E-5,11.254200424,0.273457362,0.331996929,0.059779454,0
8.10484E-5,11.503598696,0.276684808,0.329352555,0.062100987,0
8.24726E-5,11.756952971,0.280184513,0.32670818,0.064422519,0
8.38659E-5,12.006693381,0.28357568,0.324149109,0.067904817,0
8.49749E-5,12.251358565,0.286252034,0.321675339,0.070806732,0
8.67434E-5,12.508620953,0.290479067,0.319116267,0.071967499,0
8.77374E-5,12.752816034,0.292832983,0.3167278,0.073708648,0
8.93634E-5,13.00094266,0.296650056,0.314339333,0.077190946,0
9.01696E-5,13.252220034,0.298527241,0.311950866,0.079512478,0
9.0929E-5,13.505783603,0.300286532,0.309562399,0.086477075,0
9.18626E-5,13.752512971,0.302437132,0.307259234,0.091120139,0
9.27151E-5,14.00171732,0.304389424,0.304956069,0.095182821,0
