X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
261881.35259455,4830248.7961362,train,1.8273341798196867E-4,34.73902682645536,0.46307120471031665
261881.35259455,4829748.7961362,train,1.208252030339517E-4,20.615202706935367,0.36316157763249585
261881.35259455,4829248.7961362,train,1.1903632419007534E-4,20.2104592596457,0.35971891902487696
262381.35259455,4829248.7961362,train,1.2372777855009277E-4,21.28410425477091,0.3686694352325459
262881.35259455,4829248.7961362,train,1.9873420408657975E-4,37.84341638164148,0.48399428537297157
262381.35259455,4828748.7961362,train,9.985380392441885E-5,15.621489049472107,0.320319073356688
262881.35259455,4828748.7961362,train,1.1638056514705202E-4,19.423196357284123,0.3545387658103021
263381.35259455,4828248.7961362,train,1.191080338964517E-4,20.232583894710125,0.35985763877053123
263881.35259455,4828248.7961362,train,3.209681455752061E-4,63.58897057552618,0.6023649505752616
264381.35259455,4828248.7961362,train,1.127438671347556E-4,18.534132642042977,0.34730775587986623
264881.35259455,4828248.7961362,train,1.348321661538134E-4,24.0055196150496,0.3888895781532307
265881.35259455,4828248.7961362,train,1.5825668149558337E-4,29.314465203932066,0.42756454347217016
266381.35259455,4828248.7961362,train,1.808150299370362E-4,34.388645654710416,0.4604481979797623
266881.35259455,4827748.7961362,train,1.284763969611054E-4,22.492322507313897,0.3774777348549956
267881.35259455,4827248.7961362,train,2.455258346445168E-4,47.939708055022784,0.5367807299664263
267881.35259455,4826748.7961362,train,1.3665245218209878E-4,24.429927795059115,0.3920812480572829
268381.35259455,4826748.7961362,train,2.6652264440750776E-4,52.41336642975628,0.5571112139739058
267881.35259455,4826248.7961362,train,1.117768358584994E-4,18.3195317272883,0.3453576140573055
268381.35259455,4826248.7961362,train,2.692259599716365E-4,53.026084236730796,0.5595997964726447
268381.35259455,4825748.7961362,train,3.5709665967711155E-4,68.94142509160201,0.6276137916748137
267381.35259455,4825248.7961362,train,1.1078606825358203E-4,18.040457875975736,0.3433474817864988
267881.35259455,4825248.7961362,train,1.1730372537169736E-4,19.720670045529207,0.35634890039616235
268381.35259455,4825248.7961362,train,1.39529092340718E-4,25.091718199644923,0.39705770136834134
267881.35259455,4824748.7961362,train,1.1304852000764295E-4,18.641270156131863,0.34791972273012345
268381.35259455,4824748.7961362,train,1.8785599900121317E-4,35.735687195229865,0.46995192487987414
268881.35259455,4824748.7961362,train,2.2823036962207264E-4,44.293310379772194,0.5185770690824754
268381.35259455,4824248.7961362,train,1.3572670197421174E-4,24.262493155053555,0.39046222480404036
268881.35259455,4824248.7961362,train,9.012688691257916E-5,13.238907168157105,0.2984280734846653
269381.35259455,4824248.7961362,train,1.275389236267843E-4,22.268075352687795,0.37575832395693753
269881.35259455,4824248.7961362,train,3.5673636668220486E-4,68.86510278684561,0.6273778355835472
270381.35259455,4824248.7961362,train,1.6435464600803916E-4,30.759886009409055,0.43684254330278965
269381.35259455,4823748.7961362,train,2.939146272456348E-4,58.78125171178572,0.5810965180102299
269881.35259455,4823748.7961362,train,1.214798557688846E-4,20.756104999831948,0.3644122077817899
270381.35259455,4823748.7961362,train,4.0228154384733624E-4,75.62442095274878,0.655010929857333
270881.35259455,4823748.7961362,train,2.156005156219431E-4,41.6036221227863,0.5043534439348211
269881.35259455,4823248.7961362,train,1.9892947428998232E-4,37.872184461121144,0.48423955943346286
270381.35259455,4823248.7961362,train,1.2621924888310256E-4,21.938915381800623,0.3733217624375208
270881.35259455,4823248.7961362,train,4.0064771765617647E-4,75.43602797479461,0.6540907207972476
271381.35259455,4823248.7961362,train,1.701460576456742E-4,32.20304909562376,0.44537989136428663
269881.35259455,4822748.7961362,train,1.6313969701513858E-4,30.405030028173382,0.43501807829417855
270381.35259455,4822748.7961362,train,1.73559440322776E-4,32.994580489506454,0.4502915268178829
270881.35259455,4822748.7961362,train,4.01554278519979E-4,75.52635101573274,0.6546019223893752
271381.35259455,4822748.7961362,train,2.2019039999643798E-4,42.50431293066006,0.5096187161247776
270381.35259455,4822248.7961362,train,1.2757333574333856E-4,22.276306860656547,0.37582160679949667
270881.35259455,4822248.7961362,train,1.2751646621010906E-4,22.262703453983793,0.37571701852619627
271381.35259455,4822248.7961362,train,1.9385468087172302E-4,36.93043033622154,0.4777885768949495
271881.35259455,4822248.7961362,train,6.09726412712896E-5,8.176687192078466,0.22346485395967425
270381.35259455,4821748.7961362,train,1.23515806766119E-4,21.220621308312506,0.3682704294596351
270881.35259455,4821748.7961362,train,1.6360235883556537E-4,30.534259356242877,0.4357142404437378
271381.35259455,4821748.7961362,train,4.3074011103959417E-4,79.16675679802962,0.6702888791845744
271881.35259455,4821748.7961362,train,5.5799892053443746E-5,7.267564573918349,0.20845870616243944
270381.35259455,4821248.7961362,train,1.2596925500666108E-4,21.87811094358907,0.37285804551817875
270881.35259455,4821248.7961362,train,2.0085110887959725E-4,38.202664185634816,0.48664089694901475
271381.35259455,4821248.7961362,train,4.6632211791854903E-4,84.05070254331456,0.6875872758453435
271881.35259455,4821248.7961362,train,1.6789372142146265E-4,31.623158156386047,0.44209057508833804
269881.35259455,4820748.7961362,train,1.4194155027704087E-4,25.653808451166164,0.4011687541958732
270381.35259455,4820748.7961362,train,1.1678359805816847E-4,19.535350817748462,0.35533028426895585
270881.35259455,4820748.7961362,train,1.2487841646482783E-4,21.64013813300566,0.37082657838531047
271381.35259455,4820748.7961362,train,4.1180848146328444E-4,76.8667566369158,0.6602807036820901
271881.35259455,4820748.7961362,train,1.275146556406939E-4,22.2622661543952,0.37571368814772094
270381.35259455,4820248.7961362,train,2.344905278498396E-4,45.65224776804395,0.5253288450991196
270881.35259455,4820248.7961362,train,2.934069502457001E-4,58.68270396868422,0.5806756318332701
271381.35259455,4820248.7961362,train,4.1047815589747823E-4,76.70371711134159,0.6595545328311875
271881.35259455,4820248.7961362,train,1.3098908170340048E-4,23.097552685526246,0.3820398523131809
