variable,x,y
tev_acc500m,-6749.0,0.0
tev_acc500m,-6587.024,134.49755859375
tev_acc500m,-6425.048,268.99462890625
tev_acc500m,-6263.072,403.49169921875
tev_acc500m,-6101.096,537.98828125
tev_acc500m,-5939.12,672.4853515625
tev_acc500m,-5777.144,806.98291015625
tev_acc500m,-5615.168,941.47998046875
tev_acc500m,-5453.192,1075.97705078125
tev_acc500m,-5291.216,1210.47412109375
tev_acc500m,-5129.24,1344.970703125
tev_acc500m,-4967.264,1479.4677734375
tev_acc500m,-4805.2880000000005,1613.96484375
tev_acc500m,-4643.312,1748.4619140625
tev_acc500m,-4481.335999999999,1882.958984375
tev_acc500m,-4319.360000000001,2017.4560546875
tev_acc500m,-4157.384,2151.953125
tev_acc500m,-3995.408,2286.449951171875
tev_acc500m,-3833.432,2420.947021484375
tev_acc500m,-3671.456,2555.44384765625
tev_acc500m,-3509.48,2689.94091796875
tev_acc500m,-3347.504,2824.43798828125
tev_acc500m,-3185.528,2958.934814453125
tev_acc500m,-3023.552,3093.431640625
tev_acc500m,-2861.576,3227.9287109375
tev_acc500m,-2699.6,3362.425537109375
tev_acc500m,-2537.624,3496.92236328125
tev_acc500m,-2375.648,3631.4193115234375
tev_acc500m,-2213.6719999999996,3765.9161376953125
tev_acc500m,-2051.696,3900.4130859375
tev_acc500m,-1889.7200000000003,4034.909912109375
tev_acc500m,-1727.7439999999997,4169.40673828125
tev_acc500m,-1565.768,4303.9036865234375
tev_acc500m,-1403.7920000000004,4438.4005126953125
tev_acc500m,-1241.8159999999998,4572.8973388671875
tev_acc500m,-1079.8400000000001,4707.3941650390625
tev_acc500m,-917.8639999999996,4841.8909912109375
tev_acc500m,-755.8879999999999,4976.3878173828125
tev_acc500m,-593.9120000000003,5110.884613037109
tev_acc500m,-431.9359999999997,5245.381378173828
tev_acc500m,-269.96000000000004,5379.878173828125
tev_acc500m,-107.98400000000038,5514.374946594238
tev_acc500m,53.99200000000019,5605.423295140266
tev_acc500m,215.96799999999985,5605.617328286171
tev_acc500m,377.9440000000004,5605.811352968216
tev_acc500m,539.9200000000001,5605.94846200943
tev_acc500m,701.8959999999997,5606.00540804863
tev_acc500m,863.8720000000003,5606.057285249233
tev_acc500m,1025.848,5606.108991384506
tev_acc500m,1187.8239999999996,5606.158423662186
tev_acc500m,1349.8000000000002,5606.1874032616615
tev_acc500m,1511.7759999999998,5606.1925984025
tev_acc500m,1673.7520000000004,5606.197369992733
tev_acc500m,1835.7279999999992,5606.202133119106
tev_acc500m,1997.7039999999997,5606.20688778162
tev_acc500m,2159.6800000000003,5606.211633980274
tev_acc500m,2321.656000000001,5606.216371715069
tev_acc500m,2483.6319999999996,5606.221100986004
tev_acc500m,2645.608,5606.225605845451
tev_acc500m,2807.5840000000007,5606.228899300098
tev_acc500m,2969.5599999999995,5606.232079267502
tev_acc500m,3131.536,5606.235250771046
tev_acc500m,3293.5120000000006,5606.238413870335
tev_acc500m,3455.4879999999994,5606.241568446159
tev_acc500m,3617.464,5606.2447145581245
tev_acc500m,3779.4400000000005,5606.247852265835
tev_acc500m,3941.4159999999993,5606.250981450081
tev_acc500m,4103.392,5606.254102170467
tev_acc500m,4265.368,5606.257214486599
tev_acc500m,4427.343999999999,5606.260318279266
tev_acc500m,4589.32,5606.263413608074
tev_acc500m,4751.296,5606.2665004730225
tev_acc500m,4913.272000000001,5606.269578933716
tev_acc500m,5075.248,5606.272648870945
tev_acc500m,5237.224,5606.275710344315
tev_acc500m,5399.200000000001,5606.278763353825
tev_acc500m,5561.1759999999995,5606.28180795908
tev_acc500m,5723.152,5606.284844040871
tev_acc500m,5885.128000000001,5606.287871658802
tev_acc500m,6047.103999999999,5606.290890812874
tev_acc500m,6209.08,5606.293901503086
tev_acc500m,6371.0560000000005,5606.296903789043
tev_acc500m,6533.031999999999,5606.299897551537
tev_acc500m,6695.008,5606.30288285017
tev_acc500m,6856.984,5606.305859684944
tev_acc500m,7018.959999999999,5606.308828055859
tev_acc500m,7180.936,5606.311788022518
tev_acc500m,7342.912,5606.3147394657135
tev_acc500m,7504.888000000001,5606.317682445049
tev_acc500m,7666.864,5606.3206169605255
tev_acc500m,7828.84,5606.323543012142
tev_acc500m,7990.816000000001,5606.326460599899
tev_acc500m,8152.7919999999995,5606.329369753599
tev_acc500m,8314.768,5606.332270413637
tev_acc500m,8476.744,5606.335162639618
tev_acc500m,8638.72,5606.338046371937
tev_acc500m,8800.696,5606.340921640396
tev_acc500m,8962.672,5606.343788444996
tev_acc500m,9124.648,5606.346646815538
tev_acc500m,9286.624,5606.349496692419
tev_acc500m,9448.6,5606.35233810544
tev_acc500m,9610.576,5606.355171054602
tev_acc500m,9772.552,5606.357995539904
tev_acc500m,9934.527999999998,5606.360811561346
tev_acc500m,10096.504,5606.363619118929
tev_acc500m,10258.48,5606.3664182424545
tev_acc500m,10420.455999999998,5606.369208872318
tev_acc500m,10582.432,5606.371991038322
tev_acc500m,10744.408,5606.374764740467
tev_acc500m,10906.383999999998,5606.377529978752
tev_acc500m,11068.36,5606.380286753178
tev_acc500m,11230.336,5606.383035063744
tev_acc500m,11392.312000000002,5606.38577491045
tev_acc500m,11554.288,5606.388506293297
tev_acc500m,11716.264,5606.391229212284
tev_acc500m,11878.240000000002,5606.393943667412
tev_acc500m,12040.216,5606.39664965868
tev_acc500m,12202.192,5606.399347186089
tev_acc500m,12364.168000000001,5606.402036249638
tev_acc500m,12526.144,5606.404716849327
tev_acc500m,12688.119999999999,5606.407388985157
tev_acc500m,12850.096000000001,5606.410052657127
tev_acc500m,13012.072,5606.412707865238
tev_acc500m,13174.047999999999,5606.415354609489
tev_acc500m,13336.024000000001,5606.417992889881
tev_acc500m,13498.0,5606.420622706413
tev_acc500m,13659.975999999999,5606.4232440292835
tev_acc500m,13821.952000000001,5606.4258569180965
tev_acc500m,13983.928,5606.42846134305
tev_acc500m,14145.903999999999,5606.431057304144
tev_acc500m,14307.880000000001,5606.433644801378
tev_acc500m,14469.856,5606.436223834753
tev_acc500m,14631.831999999999,5606.438794404268
tev_acc500m,14793.808,5606.441356480122
tev_acc500m,14955.784,5606.443910121918
tev_acc500m,15117.759999999998,5606.446455299854
tev_acc500m,15279.736,5606.448992013931
tev_acc500m,15441.712,5606.451520234346
tev_acc500m,15603.687999999998,5606.454040020704
tev_acc500m,15765.664,5606.456551343203
tev_acc500m,15927.64,5606.459054172039
tev_acc500m,16089.616000000002,5606.461548566818
tev_acc500m,16251.592,5606.464034497738
tev_acc500m,16413.568,5606.466511964798
tev_acc500m,16575.544,5606.4689809679985
tev_acc500m,16737.52,5606.471441477537
tev_acc500m,16899.496,5606.473893553019
tev_acc500m,17061.472,5606.47633716464
tev_acc500m,17223.448,5606.4787722826
tev_acc500m,17385.424,5606.481198936701
tev_acc500m,17547.4,5606.483617156744
tev_acc500m,17709.376,5606.486026912928
tev_acc500m,17871.352,5606.488428175449
tev_acc500m,18033.328,5606.490821003914
tev_acc500m,18195.304,5606.493205368519
tev_acc500m,18357.28,5606.495581239462
tev_acc500m,18519.256,5606.497948646545
tev_acc500m,18681.232,5606.500307619572
tev_acc500m,18843.208,5606.502658098936
tev_acc500m,19005.184,5606.505000144243
tev_acc500m,19167.16,5606.507333725691
tev_acc500m,19329.136,5606.509658813477
tev_acc500m,19491.112,5606.511975437403
tev_acc500m,19653.088,5606.514283627272
tev_acc500m,19815.064,5606.516583353281
tev_acc500m,19977.04,5606.518874555826
tev_acc500m,20139.016,5606.521157354116
tev_acc500m,20300.992,5606.523431688547
tev_acc500m,20462.968,5606.525697529316
tev_acc500m,20624.944,5606.527954906225
tev_acc500m,20786.92,5606.530203849077
tev_acc500m,20948.896,5606.532444298267
tev_acc500m,21110.872,5606.534676283598
tev_acc500m,21272.848,5606.536899834871
tev_acc500m,21434.824,5606.539114892483
tev_acc500m,21596.8,5606.541321516037
tev_acc500m,21758.776,5606.543519616127
tev_acc500m,21920.752,5606.545709311962
tev_acc500m,22082.728,5606.547890543938
tev_acc500m,22244.704,5606.550063252449
tev_acc500m,22406.68,5606.5522275567055
tev_acc500m,22568.656,5606.5543833673
tev_acc500m,22730.632,5606.556530743837
tev_acc500m,22892.608,5606.5586695969105
tev_acc500m,23054.584,5606.560800045729
tev_acc500m,23216.56,5606.562922000885
tev_acc500m,23378.536,5606.565035492182
tev_acc500m,23540.512,5606.567140519619
tev_acc500m,23702.488,5606.569237112999
tev_acc500m,23864.464,5606.571325212717
tev_acc500m,24026.44,5606.573404848576
tev_acc500m,24188.416,5606.575476020575
tev_acc500m,24350.392,5606.577538728714
tev_acc500m,24512.368,5606.579592958093
tev_acc500m,24674.344,5606.581638753414
tev_acc500m,24836.32,5606.583676084876
tev_acc500m,24998.296,5606.585704937577
tev_acc500m,25160.272,5606.587725311518
tev_acc500m,25322.248,5606.589737251401
tev_acc500m,25484.224,5606.5917407125235
tev_acc500m,25646.2,5606.593735694885
tev_acc500m,25808.176,5606.59572224319
tev_acc500m,25970.152,5606.597700312734
tev_acc500m,26132.127999999997,5606.599669933319
tev_acc500m,26294.104,5606.6016310453415
tev_acc500m,26456.08,5606.603583738208
tev_acc500m,26618.055999999997,5606.605527952313
tev_acc500m,26780.032,5606.607463687658
tev_acc500m,26942.008,5606.609390974045
tev_acc500m,27103.983999999997,5606.611309811473
tev_acc500m,27265.96,5606.61322017014
tev_acc500m,27427.936,5606.615122050047
tev_acc500m,27589.911999999997,5606.617015480995
tev_acc500m,27751.888,5606.618900448084
tev_acc500m,27913.864,5606.620776936412
tev_acc500m,28075.839999999997,5606.622644975781
tev_acc500m,28237.816,5606.6245045512915
tev_acc500m,28399.792,5606.626355662942
tev_acc500m,28561.767999999996,5606.6281982809305
tev_acc500m,28723.744,5606.630032464862
tev_acc500m,28885.72,5606.631858184934
tev_acc500m,29047.696000000004,5606.633675426245
tev_acc500m,29209.672,5606.635484218597
tev_acc500m,29371.648,5606.6372845470905
tev_acc500m,29533.624000000003,5606.639076381922
tev_acc500m,29695.6,5606.640859782696
tev_acc500m,29857.576,5606.64263471961
tev_acc500m,30019.552000000003,5606.644401192665
tev_acc500m,30181.528,5606.646159172058
tev_acc500m,30343.504,5606.647908717394
tev_acc500m,30505.480000000003,5606.64964979887
tev_acc500m,30667.456,5606.651382386684
tev_acc500m,30829.432,5606.6531065404415
tev_acc500m,30991.408000000003,5606.654822215438
