Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.36003E-11,0.000000003,0.00000012,0.999914661,0,0
5.76521E-11,0.000000013,0.000000293,0.999743984,0,0
7.50458E-11,0.000000027,0.000000382,0.999573306,0,0
2.34146E-10,0.000000123,0.000001191,0.999061273,0,0
3.79902E-10,0.000000279,0.000001932,0.998634579,0,0
7.86986E-10,0.000001067,0.000004002,0.997439836,0,0
1.35563E-9,0.000002507,0.000006894,0.996330432,0,0
2.97468E-9,0.000010289,0.000015128,0.993343574,0,0
6.327E-9,0.000025256,0.000032176,0.990527394,0,0
9.46728E-9,0.000050625,0.000048145,0.987796552,0,0
1.56835E-8,0.000100032,0.000079754,0.984383001,0,0
2.66456E-8,0.000252545,0.000135491,0.978323946,0,0
4.48479E-8,0.000503856,0.000228028,0.972264892,0,0
7.59926E-8,0.001001596,0.000386321,0.965181772,0,0
1.478E-7,0.00250623,0.000751089,0.953746373,0,0
2.31423E-7,0.005015032,0.001175549,0.942481652,0,0
3.75294E-7,0.010037472,0.001904967,0.928059396,0,0
7.00127E-7,0.02503915,0.003547952,0.903908517,0,0
1.13575E-6,0.050040491,0.005742828,0.880355009,0,0
1.76791E-6,0.100027821,0.008910815,0.850827786,0,0
2.84429E-6,0.200017342,0.014258751,0.813790749,0,0
3.87984E-6,0.300191546,0.019349646,0.788445127,0,0
4.62829E-6,0.400421696,0.022996472,0.76839051,0,0
5.31196E-6,0.500040627,0.026304052,0.751322751,0,0
6.02178E-6,0.600051612,0.029714557,0.736217785,0,0
6.7294E-6,0.700443942,0.033090744,0.722819594,0,0
7.06199E-6,0.750068769,0.034669495,0.716675201,0,0
7.32092E-6,0.800385935,0.035895033,0.710701485,0,0
7.90598E-6,0.900090478,0.038652745,0.699522103,0,0
8.4553E-6,1.000300102,0.041227683,0.68911077,0,0
9.05127E-6,1.100736268,0.044005757,0.679296808,0,0
9.66712E-6,1.200101188,0.046859583,0.670250896,0,0
1.02222E-5,1.300399729,0.049417174,0.661631678,0,0
1.07803E-5,1.40024414,0.051975079,0.653524492,0,0
1.15324E-5,1.500455543,0.055400294,0.645844001,0,0
1.36306E-5,1.751321736,0.064826217,0.628690903,0,0
1.60189E-5,2.000957296,0.075329212,0.614439324,0,0
1.795E-5,2.250247879,0.083650973,0.601894521,0,0
1.93377E-5,2.500139146,0.089538544,0.590459123,0,0
2.04825E-5,2.751183849,0.094339364,0.579706435,0.000582072,0
2.15947E-5,3.001407354,0.098954971,0.569551118,0.000582072,0
2.29911E-5,3.250866463,0.104684127,0.559993173,0.001746217,0
2.42241E-5,3.500765183,0.109682314,0.550947261,0.001746217,0
2.53601E-5,3.751022909,0.114238295,0.542328042,0.001746217,0
2.63249E-5,4.001488545,0.118071473,0.534050179,0.001746217,0
2.73968E-5,4.253683772,0.122290955,0.526028332,0.003492433,0
2.85414E-5,4.502374597,0.126752695,0.51843318,0.003492433,0
2.97225E-5,4.752691763,0.131309032,0.511094043,0.004074505,0
3.07797E-5,5.000815053,0.135347494,0.504096262,0.00523865,0
3.18103E-5,5.251819665,0.13924833,0.497269159,0.00523865,0
3.28681E-5,5.500468073,0.143215553,0.490698071,0.005820722,0
3.39707E-5,5.751557227,0.147312209,0.484297662,0.006402794,0
3.49757E-5,6.0031333,0.151012343,0.47806793,0.00814901,0
3.60459E-5,6.251694849,0.154917351,0.472094214,0.008731083,0
3.72313E-5,6.500797501,0.159200838,0.466291176,0.009313155,0
3.84094E-5,6.753826409,0.16341519,0.460573477,0.010477299,0
3.96125E-5,7.000011357,0.167675602,0.455197133,0.011641444,0
4.05515E-5,7.252984813,0.170970684,0.449820789,0.012223516,0
4.1683E-5,7.503244225,0.174906626,0.444615122,0.01338766,0
4.31147E-5,7.753349349,0.179833787,0.439580133,0.01338766,0
4.40572E-5,8.001741083,0.18304557,0.434715822,0.013969732,0
4.48933E-5,8.250504476,0.185873728,0.429936849,0.015715949,0
4.59368E-5,8.504562226,0.189375825,0.425157877,0.015715949,0
4.7172E-5,8.751607125,0.193482937,0.420634921,0.018044237,0
4.83643E-5,9.004798964,0.197407852,0.416111964,0.020372526,0
4.94823E-5,9.2542806,0.20105366,0.411759686,0.020372526,0
5.07142E-5,9.504428263,0.205032644,0.407492746,0.022118743,0
5.18728E-5,9.750931288,0.208739275,0.403396484,0.023864959,0
5.31731E-5,10.002811988,0.212857713,0.399300222,0.026193248,0
5.4256E-5,10.250100151,0.216255256,0.395374637,0.02677532,0
5.55874E-5,10.502821073,0.220392517,0.391449053,0.027939464,0
5.67352E-5,10.750318183,0.223924397,0.387694146,0.031431898,0
5.79858E-5,11.002989268,0.227736052,0.383939239,0.034342258,0
5.93493E-5,11.255210246,0.231849648,0.380269671,0.037252619,0
6.05657E-5,11.500875283,0.235482433,0.37677078,0.039580908,0
6.18667E-5,11.752409969,0.23933017,0.373271889,0.039580908,0
6.28673E-5,12.001746648,0.242263245,0.369858338,0.041327125,0
6.39046E-5,12.255359973,0.245280064,0.366444786,0.043655413,0
6.51136E-5,12.500305821,0.24876628,0.363201912,0.044819558,0
6.627E-5,12.756569326,0.252070567,0.359873699,0.047147846,0
6.70631E-5,13.003248502,0.254320138,0.356716163,0.049476135,0
6.8164E-5,13.253329533,0.257420174,0.353558628,0.052968568,0
6.92749E-5,13.500736519,0.260522716,0.350486431,0.054132712,0
7.04759E-5,13.752312188,0.263847371,0.347414235,0.056461001,0
7.14748E-5,14.000744226,0.266590161,0.344427377,0.05878929,0
7.23965E-5,14.252514659,0.26910295,0.341440519,0.059371362,0
7.35548E-5,14.500687762,0.272236196,0.338539,0.063445867,0
7.46447E-5,14.752333945,0.275160292,0.335637481,0.065774156,0
7.56924E-5,15.000369581,0.277948691,0.332821301,0.068102445,0
7.66076E-5,15.2517577,0.280367301,0.33000512,0.073341094,0
7.76205E-5,15.506606665,0.283025097,0.32718894,0.076833527,0
7.828E-5,15.756047214,0.284745143,0.324458099,0.079743888,0
7.93036E-5,16.000385023,0.287398293,0.321812596,0.083818393,0
8.0318E-5,16.255739373,0.290008316,0.319081755,0.086728754,0
8.11379E-5,16.505955776,0.292104157,0.316436252,0.093131548,0
8.20112E-5,16.750654368,0.294322692,0.313876088,0.097206054,0
8.29103E-5,17.006439073,0.29659241,0.311230585,0.099534342,0
8.41485E-5,17.256915665,0.299694354,0.308670422,0.103026775,0
8.50019E-5,17.502371549,0.301816326,0.306195597,0.105937136,0
8.58585E-5,17.750356353,0.303933455,0.303720771,0.110011641,0
8.69002E-5,18.000784658,0.306490738,0.301245946,0.111757858,0
8.77981E-5,18.254197505,0.308680149,0.298771121,0.114668219,0
8.85369E-5,18.501034779,0.310471086,0.296381635,0.115832363,0
8.93983E-5,18.750265549,0.312547692,0.293992149,0.119906868,0
9.03247E-5,19.011136355,0.31476715,0.291517324,0.125145518,0
9.11903E-5,19.256258198,0.316827935,0.289213176,0.128055879,0
9.21114E-5,19.503921241,0.319007296,0.286909029,0.130384168,0
9.29426E-5,19.753649029,0.320961867,0.284604881,0.135040745,0
9.35821E-5,20.005576903,0.322458117,0.282300734,0.136786962,0
9.44819E-5,20.25005208,0.32455242,0.280081925,0.141443539,0
9.5487E-5,20.506385668,0.326876487,0.277777778,0.146100116,0
9.66485E-5,20.756107393,0.329542309,0.275558969,0.150174622,0
9.78567E-5,21.009063423,0.332292885,0.27334016,0.153084983,0
9.87078E-5,21.254818038,0.334217161,0.271206691,0.154831199,0
9.9846E-5,21.503009805,0.336772981,0.269073221,0.156577416,0
1.00858E-4,21.75385691,0.339029091,0.266939751,0.159487776,0
1.01743E-4,22.007208291,0.340989758,0.264806281,0.160651921,0
1.02837E-4,22.252661725,0.343398239,0.26275815,0.164726426,0
1.03705E-4,22.50065114,0.345294975,0.260710019,0.167054715,0
1.04607E-4,22.750549056,0.347255587,0.258661888,0.170547148,0
1.05546E-4,23.002639194,0.349282857,0.256613757,0.173457509,0
1.06648E-4,23.257273087,0.351646921,0.254565626,0.175785797,0
1.07649E-4,23.503867579,0.353781659,0.252602833,0.178114086,0
1.08443E-4,23.752232216,0.355462592,0.250640041,0.180442375,0
1.09598E-4,24.003008576,0.357894301,0.248677249,0.183934808,0
1.10836E-4,24.256494597,0.360480102,0.246714456,0.185681024,0
1.11712E-4,24.501326681,0.362296855,0.244837003,0.189173458,0
1.12621E-4,24.759334226,0.364170947,0.242874211,0.192083818,0
1.1353E-4,25.008227404,0.366033712,0.240996757,0.194994179,0
1.14949E-4,25.259727313,0.368921669,0.239119304,0.198486612,0
1.15757E-4,25.502028924,0.370553184,0.237327189,0.201979045,0
1.16692E-4,25.757742966,0.372431595,0.235449735,0.204889406,0
1.17511E-4,26.003817399,0.374068735,0.233657621,0.207799767,0
1.18865E-4,26.252185921,0.376754851,0.231865506,0.208963912,0
1.19726E-4,26.50278577,0.378451011,0.230073391,0.210710128,0
1.20881E-4,26.755567289,0.380710563,0.228281277,0.213620489,0
1.2204E-4,27.010867736,0.382963064,0.226489162,0.215948778,0
1.23204E-4,27.256368951,0.385208852,0.224782386,0.219441211,0
