Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.29042E-4,0.012904168,0.001368292,1,0,0
1.32579E-4,0.026162061,0.001405746,0.95,0,0
5.78828E-4,0.084044859,0.006108462,0.9,0,0
7.38329E-4,0.157877768,0.007778608,0.85,0,0
9.8077E-4,0.25595477,0.010306501,0.8,0,0
1.23423E-3,0.379377571,0.012935531,0.75,0,0
2.26802E-3,0.6061794,0.023515554,0.7,0,0
3.09534E-3,0.915713323,0.031820533,0.65,0,0
5.92347E-3,1.508060264,0.059173727,0.6,0,0
1.44592E-2,2.953981078,0.133094366,0.55,0,0
3.57755E-2,6.531526171,0.275291043,0.5,0,0
7.03392E-2,13.565447551,0.427545207,0.45,0,0
7.83746E-2,21.402910354,0.454202985,0.4,0,0
7.83746E-2,29.240373158,0.454202985,0.3,0,0
1.0411E-1,39.651379185,0.52504039,0.3,0.25,0
1.0411E-1,50.062385211,0.52504039,0.2,0.25,0
1.11392E-1,61.201583559,0.541864797,0.2,0.5,0
1.11392E-1,72.340781908,0.541864797,0.1,0.5,0
1.38296E-1,86.170390954,0.594884192,0.1,0.75,0
