x,y,raw,cumulative,logistic
261267.22331753,4858102.5305323,1.21033E-7,0.018554886,0.000430017
353767.22331753,4666602.5305323,6.67812E-8,0.000942178,0.000237312
275267.22331753,4689102.5305323,2.61971E-5,2.83338057,0.085183464
360267.22331753,4632102.5305323,1.94339E-7,0.034602982,0.000690283
311767.22331753,4621102.5305323,4.32428E-7,0.058183796,0.001534671
294267.22331753,4649602.5305323,7.67606E-5,10.100342817,0.214354714
264267.22331753,4724102.5305323,5.99935E-5,7.653932482,0.175762061
260767.22331753,4857602.5305323,1.22982E-7,0.018811047,0.000436938
261267.22331753,4857602.5305323,2.23734E-7,0.045490325,0.000794612
289267.22331753,4712102.5305323,3.173E-5,3.790499592,0.101351189
295767.22331753,4647602.5305323,9.50607E-5,12.838487189,0.252551763
324767.22331753,4760102.5305323,9.1016E-8,0.005723687,0.000323404
263267.22331753,4857602.5305323,2.02397E-7,0.03849736,0.000718885
259767.22331753,4746102.5305323,2.50707E-5,2.554431193,0.081820645
359767.22331753,4659102.5305323,2.10933E-7,0.041636044,0.00074918
325767.22331753,4750602.5305323,3.21162E-7,0.053067891,0.00114024
303767.22331753,4683102.5305323,7.21792E-5,9.640539028,0.204173244
292267.22331753,4701602.5305323,1.24198E-5,0.770474777,0.042278775
259767.22331753,4857102.5305323,1.00438E-7,0.011018666,0.000356869
326767.22331753,4734102.5305323,1.00232E-7,0.010908285,0.00035614
276767.22331753,4758602.5305323,6.33075E-5,8.184533805,0.183687628
288767.22331753,4748102.5305323,1.20189E-4,18.249804347,0.299328455
291767.22331753,4676102.5305323,1.15589E-5,0.684601456,0.039463729
318267.22331753,4715602.5305323,2.49102E-5,2.526929059,0.081339328
270267.22331753,4772602.5305323,1.97663E-5,1.530906182,0.065645527
278267.22331753,4649102.5305323,9.45494E-5,12.724764281,0.251535048
322767.22331753,4692602.5305323,1.0834E-7,0.014998885,0.000384938
318767.22331753,4645102.5305323,9.32576E-6,0.414127594,0.032084108
351767.22331753,4660102.5305323,2.19648E-7,0.044447533,0.000780111
337767.22331753,4665102.5305323,1.25175E-6,0.113004016,0.004429525
344767.22331753,4745102.5305323,1.25087E-6,0.112878841,0.00442643
277267.22331753,4665102.5305323,1.12152E-5,0.629892138,0.038335295
299267.22331753,4725102.5305323,2.26718E-4,33.232855206,0.446244581
356267.22331753,4753102.5305323,2.11284E-7,0.041826008,0.000750427
291267.22331753,4712102.5305323,1.35976E-5,0.961917336,0.046103382
314267.22331753,4780602.5305323,2.00104E-7,0.037832492,0.000710748
287767.22331753,4791602.5305323,6.10789E-5,7.848046359,0.178374762
266767.22331753,4687102.5305323,9.30744E-7,0.087968649,0.003297344
259767.22331753,4763602.5305323,9.91089E-5,13.771333349,0.260505083
299267.22331753,4796602.5305323,2.14278E-7,0.042932148,0.000761054
320267.22331753,4758102.5305323,9.08135E-8,0.005623659,0.000322685
356767.22331753,4647602.5305323,2.19288E-7,0.044359734,0.000778833
353267.22331753,4672602.5305323,1.04141E-7,0.012707366,0.000370024
355267.22331753,4719602.5305323,2.09112E-7,0.040963855,0.00074272
329767.22331753,4669102.5305323,1.50619E-7,0.021283342,0.000535076
264267.22331753,4856602.5305323,7.19885E-8,0.001177987,0.000255811
264767.22331753,4856602.5305323,1.02136E-7,0.011767712,0.000362903
289767.22331753,4764102.5305323,2.41885E-4,35.351487821,0.462296109
363767.22331753,4679602.5305323,1.17567E-7,0.017899255,0.000417708
327767.22331753,4758102.5305323,1.6353E-7,0.024044222,0.000580915
314267.22331753,4698602.5305323,8.77962E-8,0.003830644,0.000311967
317767.22331753,4629602.5305323,1.05307E-5,0.534199682,0.036079884
341767.22331753,4634602.5305323,1.68361E-7,0.025423252,0.000598067
317267.22331753,4747602.5305323,5.48887E-6,0.258519775,0.019136367
309767.22331753,4682602.5305323,2.31896E-5,2.063836108,0.07614898
314767.22331753,4701102.5305323,1.14616E-7,0.017098118,0.000407229
325767.22331753,4757602.5305323,2.14422E-7,0.043060777,0.000761564
279267.22331753,4800102.5305323,1.18974E-4,17.855354481,0.297201805
250267.22331753,4770102.5305323,1.49621E-5,1.087237107,0.050496075
335767.22331753,4714602.5305323,3.6296E-7,0.055581885,0.001288447
302267.22331753,4673602.5305323,5.37131E-4,70.043959725,0.656261337
365267.22331753,4662602.5305323,1.80768E-7,0.029237976,0.000642113
343767.22331753,4742102.5305323,8.22271E-7,0.080769351,0.002914175
321767.22331753,4767102.5305323,2.03436E-7,0.03902509,0.000722574
306767.22331753,4631102.5305323,7.0565E-5,9.333038495,0.200522766
349267.22331753,4704102.5305323,1.57749E-6,0.135343849,0.005575808
338267.22331753,4685602.5305323,1.98687E-7,0.037174263,0.000705717
256267.22331753,4709102.5305323,7.53512E-5,9.978513682,0.211250313
313767.22331753,4788102.5305323,3.95263E-5,4.484307989,0.123186046
275267.22331753,4666102.5305323,1.73643E-4,26.755531259,0.381647158
305267.22331753,4689102.5305323,4.7684E-5,5.299584341,0.14492563
285767.22331753,4648602.5305323,2.45283E-5,2.420616272,0.080192375
283767.22331753,4662602.5305323,6.6719E-5,8.774328801,0.191688713
348767.22331753,4725102.5305323,1.82221E-6,0.14683886,0.006435228
267767.22331753,4856102.5305323,8.86453E-8,0.004386478,0.000314983
301267.22331753,4764602.5305323,8.27692E-5,10.891581075,0.227319579
273767.22331753,4796602.5305323,7.09863E-5,9.382632156,0.201478811
315767.22331753,4778602.5305323,1.50509E-7,0.021253228,0.000534687
270767.22331753,4709102.5305323,5.76531E-5,7.348319942,0.170071577
338267.22331753,4692102.5305323,9.92847E-8,0.010409352,0.000352775
258767.22331753,4855602.5305323,1.51315E-7,0.021524909,0.000537546
271767.22331753,4674102.5305323,1.97049E-5,1.517085749,0.065454875
276267.22331753,4753602.5305323,1.56398E-5,1.168206964,0.052662899
331767.22331753,4637102.5305323,1.97215E-7,0.036362578,0.000700494
235767.22331753,4771602.5305323,8.98424E-8,0.005162628,0.000319235
261267.22331753,4855602.5305323,3.40441E-7,0.054100231,0.001208607
320767.22331753,4643102.5305323,9.74662E-6,0.440653353,0.03348355
277767.22331753,4720102.5305323,5.79247E-5,7.400315225,0.170735877
262767.22331753,4855602.5305323,1.05367E-7,0.013471925,0.000374379
309267.22331753,4725602.5305323,1.03357E-7,0.012240353,0.000367238
263767.22331753,4855602.5305323,1.51406E-7,0.021555185,0.00053787
300767.22331753,4726602.5305323,1.74679E-7,0.027002035,0.000620497
350767.22331753,4639602.5305323,1.16271E-7,0.017559937,0.000413106
265267.22331753,4855602.5305323,1.18348E-7,0.018099844,0.00042048
365267.22331753,4628602.5305323,2.44968E-7,0.049700075,0.000869959
367267.22331753,4645102.5305323,2.95552E-7,0.052447572,0.001049411
318267.22331753,4766602.5305323,3.13989E-5,3.755783148,0.100399759
310267.22331753,4766602.5305323,1.97374E-7,0.036421777,0.000701057
255267.22331753,4702602.5305323,2.058E-5,1.617486072,0.0681638
306267.22331753,4757602.5305323,4.56986E-5,5.010283263,0.139734416
268767.22331753,4855602.5305323,2.36775E-7,0.048326914,0.000840891
266767.22331753,4768102.5305323,2.81082E-5,3.224500321,0.090833355
251767.22331753,4783102.5305323,1.3886E-5,0.997645122,0.047035003
257267.22331753,4855102.5305323,2.02923E-7,0.038740591,0.000720754
347267.22331753,4641602.5305323,1.39781E-6,0.123355168,0.004943847
302767.22331753,4674602.5305323,6.67369E-4,83.460616668,0.703449539
258767.22331753,4855102.5305323,1.07104E-7,0.014417152,0.000380548
317267.22331753,4718102.5305323,1.07968E-4,15.349497834,0.277332558
372267.22331753,4669102.5305323,9.31759E-8,0.006910737,0.000331076
302267.22331753,4631102.5305323,7.06531E-5,9.340103807,0.20072291
317267.22331753,4740602.5305323,1.00257E-4,14.030533789,0.262729322
261267.22331753,4855102.5305323,3.54388E-7,0.054899151,0.001258056
355267.22331753,4670102.5305323,8.81657E-8,0.004077062,0.000313279
336767.22331753,4674602.5305323,2.10085E-7,0.041383225,0.000746171
290767.22331753,4696602.5305323,2.15733E-4,31.478145747,0.4340062
319267.22331753,4733602.5305323,1.65882E-7,0.024686827,0.000589266
239767.22331753,4744102.5305323,2.75508E-5,3.10202743,0.089192639
283767.22331753,4733102.5305323,3.45764E-4,47.977627524,0.55136623
347767.22331753,4673602.5305323,2.66354E-7,0.051680965,0.000945836
325767.22331753,4707102.5305323,3.67631E-7,0.055837598,0.001305007
347767.22331753,4698602.5305323,6.82746E-8,0.001003075,0.000242618
349267.22331753,4684602.5305323,2.61114E-7,0.051364246,0.000927247
348767.22331753,4724602.5305323,1.15657E-6,0.103747442,0.004094112
309767.22331753,4694102.5305323,9.84483E-8,0.00984565,0.000349804
313267.22331753,4689102.5305323,2.2877E-7,0.046281508,0.000812482
346267.22331753,4697602.5305323,8.22271E-7,0.080769351,0.002914175
268767.22331753,4855102.5305323,1.91051E-7,0.033000959,0.000678615
328267.22331753,4761602.5305323,1.04477E-7,0.012936812,0.000371217
301267.22331753,4757602.5305323,2.58307E-5,2.763080623,0.084092314
260267.22331753,4694102.5305323,1.16514E-5,0.69619294,0.039767126
256267.22331753,4755102.5305323,1.30256E-4,20.137159729,0.316466056
267267.22331753,4695102.5305323,9.31849E-8,0.006929374,0.000331108
257267.22331753,4854602.5305323,9.14644E-8,0.005997401,0.000324997
279767.22331753,4659102.5305323,2.61636E-4,37.750507728,0.481855806
329767.22331753,4713102.5305323,1.96039E-7,0.035949728,0.00069632
300267.22331753,4643102.5305323,2.54891E-4,36.820245215,0.475338296
268267.22331753,4781602.5305323,9.08683E-5,12.066707468,0.244132818
261767.22331753,4787602.5305323,5.74619E-5,7.30228446,0.169603058
270767.22331753,4734102.5305323,2.81613E-5,3.227316446,0.0909891
351767.22331753,4719102.5305323,1.01098E-7,0.011350955,0.000359215
336767.22331753,4692602.5305323,1.67214E-7,0.025003577,0.000593994
278267.22331753,4625102.5305323,4.45462E-4,58.727482245,0.612906612
296767.22331753,4741602.5305323,4.4151E-5,4.875142722,0.135644135
