Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
5.07651E-8,0.000005077,0.000180408,1,0,0
5.31165E-8,0.000010388,0.000188763,0.999912748,0,0
5.33709E-8,0.000026375,0.000189667,0.99965099,0,0
5.65622E-8,0.000053797,0.000201005,0.999214728,0,0
5.69808E-8,0.000104889,0.000202492,0.998429456,0,0
5.78982E-8,0.000254302,0.000205752,0.996160893,0,0
6.0554E-8,0.000502869,0.000215188,0.992496292,0,0
6.82746E-8,0.001003075,0.000242618,0.985690603,0,0
8.34487E-8,0.002506293,0.000296523,0.969112643,0,0
8.95487E-8,0.005001183,0.000318192,0.94415845,0,0
9.86915E-8,0.010003356,0.000350668,0.897827415,0,0
1.67223E-7,0.025020299,0.000594026,0.790332432,0,0
2.48133E-7,0.050021007,0.00088119,0.68144141,0,0
1.1173E-6,0.100105913,0.003955655,0.609981677,0.000582072,0
3.50658E-6,0.200253926,0.012310399,0.562080098,0.000582072,0
6.83545E-6,0.300037603,0.023719735,0.544891371,0.000582072,0
9.15202E-6,0.400226286,0.031505231,0.533897566,0.000582072,0
1.03975E-5,0.500643436,0.035639754,0.524910566,0.000582072,0
1.11017E-5,0.600892313,0.037962034,0.516708839,0.000582072,0
1.16931E-5,0.700864221,0.03990372,0.509030626,0.000582072,0
1.21921E-5,0.750755945,0.04153594,0.505366024,0.000582072,0
1.25832E-5,0.800507904,0.04281102,0.501875927,0.000582072,0
1.33455E-5,0.901254005,0.045287145,0.495070238,0.000582072,0
1.39228E-5,1.000428526,0.047153776,0.488700811,0.000582072,0
1.50745E-5,1.100771847,0.05085596,0.482680394,0.001164144,0
1.59194E-5,1.201349969,0.053553755,0.477008987,0.001164144,0
1.69808E-5,1.301481199,0.056921087,0.471686589,0.001746217,0
1.85796E-5,1.401251345,0.061948499,0.466800454,0.001746217,0
1.96422E-5,1.501333858,0.065260284,0.462263328,0.001746217,0
2.14569E-5,1.75189544,0.070862173,0.451618532,0.001746217,0
2.27575E-5,2.001768218,0.074836132,0.441759009,0.003492433,0
2.37674E-5,2.251747777,0.077898495,0.432423,0.003492433,0
2.48004E-5,2.5020696,0.081009956,0.423436,0.003492433,0
2.57859E-5,2.750170906,0.08395866,0.414885263,0.004074505,0
2.70603E-5,3.00096772,0.087743958,0.406596283,0.005820722,0
2.83715E-5,3.252774607,0.09160618,0.398656313,0.006984866,0
3.02468E-5,3.502535565,0.097073294,0.391239857,0.009313155,0
3.13837E-5,3.752643254,0.100355914,0.384172411,0.011641444,0
3.35302E-5,4.002592945,0.106488792,0.377453974,0.012805588,0
3.61749E-5,4.253117005,0.113931181,0.3711718,0.015133877,0
3.9913E-5,4.50020803,0.124241597,0.365500393,0.017462165,0
4.29957E-5,4.753398683,0.132565279,0.360177995,0.01862631,0
4.56622E-5,5.001147141,0.139638711,0.355291859,0.019208382,0
4.72359E-5,5.252047518,0.143759522,0.350580229,0.021536671,0
4.94021E-5,5.502904642,0.149367346,0.346043103,0.022118743,0
5.06237E-5,5.753312502,0.152497659,0.341680482,0.022118743,0
5.16564E-5,6.003888837,0.15512579,0.337405113,0.023282887,0
5.25627E-5,6.254288513,0.157419122,0.333216997,0.026193248,0
5.35936E-5,6.508978764,0.160012421,0.329028881,0.026193248,0
5.46752E-5,6.75257535,0.162716336,0.325102522,0.02677532,0
5.60137E-5,7.00127538,0.166038294,0.321176163,0.027939464,0
5.72366E-5,7.250644351,0.169050574,0.317337056,0.029103609,0
5.87079E-5,7.50542797,0.172645849,0.31349795,0.032596042,0
6.07191E-5,7.750567457,0.177510442,0.3099206,0.034342258,0
6.22576E-5,8.002170225,0.181193174,0.306343251,0.037252619,0
6.36033E-5,8.254390292,0.184387631,0.302853154,0.038998836,0
6.50254E-5,8.505379874,0.187736383,0.29945031,0.043655413,0
6.61386E-5,8.754393149,0.190338529,0.296134718,0.045983702,0
6.89986E-5,9.00523497,0.196948104,0.292906378,0.046565774,0
6.99948E-5,9.255668241,0.199225154,0.289765291,0.047147846,0
7.15591E-5,9.503958722,0.20277481,0.286711456,0.048311991,0
7.28239E-5,9.756452203,0.205621862,0.283657621,0.050640279,0
7.56459E-5,10.001187388,0.211901427,0.280778292,0.051804424,0
7.77483E-5,10.255013139,0.216515617,0.277898962,0.052968568,0
8.0167E-5,10.501247116,0.22175769,0.275194137,0.054132712,0
8.15163E-5,10.751538272,0.224651619,0.272489312,0.054714785,0
8.37381E-5,11.016643621,0.229370225,0.269697234,0.055296857,0
