x,y,raw,cumulative,logistic
262267.22331753,4830602.5305323,5.72384E-4,0.155984027,0.003383359
259267.22331753,4828102.5305323,2.91748E-4,0.056405493,0.001727389
273267.22331753,4731602.5305323,4.73702E-2,7.102829431,0.21933288
305267.22331753,4731102.5305323,2.12017E-4,0.027230653,0.001255908
274767.22331753,4718602.5305323,1.14977E-1,18.600487218,0.40544607
312767.22331753,4713102.5305323,4.23401E-4,0.098745621,0.002504929
293767.22331753,4708102.5305323,1.44366E-2,2.365807567,0.07887127
289267.22331753,4704602.5305323,1.32503E-1,31.850796531,0.440053236
289767.22331753,4695602.5305323,1.92296E-1,51.080371799,0.532823369
337267.22331753,4682602.5305323,3.06792E-5,0.006028935,0.000181927
330267.22331753,4677602.5305323,2.96101E-5,0.002961012,0.000175589
302767.22331753,4674602.5305323,2.10126E-1,72.092986193,0.554817777
326767.22331753,4653602.5305323,1.2714E-3,0.283123707,0.007484296
292767.22331753,4651602.5305323,2.7907E-1,100,0.623378024
321267.22331753,4650102.5305323,1.91174E-3,0.47429776,0.011211528
317767.22331753,4648102.5305323,4.47846E-3,0.922143842,0.025874743
