Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.36815E-7,0.000013681,0.000603478,1,0,0
1.78258E-7,0.003397153,0.000786138,0.978933902,0,0
1.93687E-7,0.007052994,0.00085412,0.961449893,0,0
2.03628E-7,0.022122823,0.000897918,0.895095949,0,0
2.11362E-7,0.030003985,0.000931994,0.862089552,0,0
2.5348E-7,0.052758494,0.0011175,0.7754371,0,0
4.78024E-7,0.100029182,0.002105353,0.671471215,0,0
5.63051E-6,0.208162083,0.024248093,0.575778252,0.00057971,0
8.45156E-6,0.305198948,0.035960184,0.563837953,0.00115942,0
1.2468E-5,0.400607245,0.052158171,0.556076759,0.00173913,0
1.47007E-5,0.500267293,0.060929492,0.549765458,0.00173913,0
1.75974E-5,0.600048499,0.072069878,0.544307036,0.00173913,0
1.99525E-5,0.714012559,0.080934395,0.539189765,0.002318841,0
2.09157E-5,0.868170311,0.084511613,0.532878465,0.002898551,0
2.14926E-5,0.960375379,0.08664041,0.529211087,0.002898551,0
2.25727E-5,1.000149906,0.090600132,0.527675906,0.002898551,0
2.40605E-5,1.112087953,0.095998398,0.523496802,0.003478261,0
2.54472E-5,1.201071373,0.100972493,0.520426439,0.003478261,0
2.77791E-5,1.386500401,0.109214934,0.51445629,0.003478261,0
2.95986E-5,1.427038149,0.115541582,0.51326226,0.003478261,0
3.02422E-5,1.971716195,0.117758046,0.497569296,0.004637681,0
3.13488E-5,2.266902141,0.121543539,0.489466951,0.006376812,0
3.2807E-5,2.612690243,0.126482,0.480255864,0.009275362,0
3.43057E-5,2.767016875,0.131500154,0.476332623,0.009275362,0
3.45695E-5,3.195864577,0.132377601,0.465671642,0.010434783,0
3.52279E-5,3.756602507,0.134559566,0.452025586,0.017971014,0
3.71706E-5,4.015668049,0.14093403,0.445970149,0.018550725,0
3.87355E-5,4.250833472,0.146001248,0.440682303,0.020289855,0
4.14577E-5,4.525338827,0.154674736,0.434797441,0.022608696,0
4.41228E-5,4.78216913,0.162997123,0.429680171,0.024347826,0
4.71463E-5,5.016765105,0.1722427,0.42533049,0.024927536,0
5.0469E-5,5.257293704,0.182170491,0.421151386,0.027246377,0
5.31658E-5,5.505208011,0.190054652,0.417057569,0.031304348,0
5.46004E-5,5.753390376,0.194187093,0.413134328,0.034202899,0
5.48372E-5,6.000018175,0.194865092,0.409296375,0.036521739,0
5.50039E-5,6.263355916,0.195341882,0.405202559,0.037681159,0
5.65023E-5,6.632388915,0.199600923,0.399573561,0.042318841,0
5.76516E-5,6.75850698,0.202837639,0.397697228,0.042318841,0
5.86911E-5,7.008058564,0.205742357,0.394029851,0.043478261,0
5.98085E-5,7.262723962,0.208841325,0.390362473,0.044057971,0
6.13926E-5,7.878065035,0.213193458,0.381748401,0.045217391,0
6.22143E-5,8.014363205,0.215432202,0.379872068,0.045217391,0
6.3558E-5,8.254793866,0.219065977,0.37663113,0.046376812,0
6.38055E-5,8.502779194,0.219731607,0.373304904,0.046956522,0
6.40472E-5,8.752423057,0.22038042,0.369978678,0.047536232,0
6.46752E-5,9.074598356,0.222061602,0.365714286,0.049275362,0
6.49932E-5,9.256415653,0.222909836,0.363326226,0.050434783,0
6.51214E-5,9.503492439,0.223251363,0.360085288,0.053913043,0
6.72214E-5,9.854150977,0.228803495,0.355565032,0.054492754,0
6.73115E-5,10.002208912,0.229039967,0.353688699,0.056231884,0
6.8692E-5,10.295626716,0.232644473,0.349936034,0.056811594,0
6.97827E-5,10.503902233,0.23546871,0.347462687,0.059710145,0
7.06214E-5,10.925832398,0.237626362,0.342345416,0.063768116,0
7.07571E-5,11.00365324,0.237974089,0.341407249,0.063768116,0
7.12373E-5,11.46529038,0.239202833,0.335863539,0.064347826,0
7.15641E-5,11.501024437,0.240036729,0.3354371,0.064927536,0
7.28475E-5,11.898850035,0.24329435,0.330746269,0.068985507,0
7.30406E-5,12.00110558,0.243781898,0.329552239,0.069565217,0
7.42067E-5,12.325586729,0.246713814,0.325799574,0.071304348,0
7.42289E-5,12.503689102,0.246769347,0.323752665,0.071884058,0
7.49046E-5,12.757032153,0.2484576,0.320852878,0.073043478,0
7.58211E-5,13.005738188,0.250735387,0.31803838,0.073623188,0
7.58831E-5,13.256087057,0.250888906,0.315223881,0.074782609,0
7.64688E-5,13.507415482,0.252336803,0.312409382,0.074782609,0
7.69934E-5,13.829886246,0.253628753,0.308827292,0.075942029,0
7.74532E-5,14.007513589,0.254757572,0.306865672,0.076521739,0
7.88072E-5,14.257319144,0.258061826,0.304136461,0.07884058,0
7.97058E-5,14.503288786,0.260238567,0.301492537,0.08,0
8.06712E-5,14.751705473,0.262563085,0.298848614,0.08,0
8.14299E-5,15.003224711,0.264379551,0.296204691,0.084637681,0
8.17459E-5,15.338144427,0.265133375,0.292707889,0.089855072,0
8.20097E-5,15.502036772,0.265761758,0.291002132,0.089855072,0
8.28812E-5,15.757803902,0.267829587,0.288358209,0.090434783,0
8.36354E-5,16.057676678,0.269609535,0.285287846,0.095072464,0
8.40561E-5,16.250572354,0.270598739,0.283326226,0.097391304,0
8.46551E-5,16.51224953,0.272002576,0.280682303,0.102028986,0
8.59034E-5,16.767864269,0.274910886,0.278123667,0.104347826,0
8.66006E-5,17.000882739,0.276525035,0.275820896,0.107246377,0
8.7288E-5,17.253093831,0.278109576,0.273347548,0.109565217,0
8.79537E-5,17.516212343,0.279637412,0.270788913,0.111884058,0
8.82538E-5,17.753968495,0.280324203,0.268486141,0.113043478,0
8.87832E-5,18.001959551,0.281532325,0.266098081,0.114202899,0
8.92056E-5,18.251106475,0.282493295,0.263710021,0.116521739,0
8.99168E-5,18.501786718,0.284105651,0.261321962,0.117101449,0
9.03254E-5,18.754003072,0.285028635,0.258933902,0.12057971,0
9.0963E-5,19.007792126,0.286464376,0.256545842,0.122898551,0
9.16494E-5,19.254258805,0.288003364,0.25424307,0.126956522,0
9.28838E-5,19.502962435,0.290754706,0.251940299,0.131014493,0
9.41607E-5,19.755104809,0.293578255,0.249637527,0.132753623,0
9.57275E-5,20.001349948,0.297012336,0.247420043,0.134492754,0
9.69893E-5,20.252192686,0.299753923,0.245202559,0.136231884,0
9.79992E-5,20.505603432,0.301932517,0.242985075,0.139130435,0
1.00001E-4,20.75264145,0.306212168,0.240852878,0.142028986,0
1.01369E-4,21.035942032,0.309106477,0.238464819,0.146666667,0
1.02814E-4,21.259942468,0.3121364,0.236588486,0.148985507,0
1.04577E-4,21.509199441,0.315799513,0.234541578,0.151304348,0
1.06158E-4,21.750738372,0.319049965,0.232579957,0.153043478,0
1.08281E-4,22.00821516,0.323367039,0.230533049,0.154202899,0
1.10112E-4,22.380898495,0.327046909,0.227633262,0.15884058,0
1.11621E-4,22.502620462,0.330049016,0.226695096,0.15942029,0
1.13629E-4,22.761340653,0.33400311,0.224733475,0.162898551,0
1.15169E-4,23.000732716,0.337005212,0.222942431,0.164057971,0
1.17778E-4,23.257859048,0.342027795,0.221066098,0.167536232,0
1.192E-4,23.674483521,0.344733598,0.217995736,0.168115942,0
1.19461E-4,23.758095146,0.345227433,0.217484009,0.176231884,0
1.20238E-4,24.009789472,0.34669518,0.215692964,0.177971014,0
1.22274E-4,24.252070424,0.350507212,0.213987207,0.179130435,0
1.24347E-4,24.511347026,0.35434437,0.212196162,0.181449275,0
1.25632E-4,24.761995269,0.356700595,0.210405117,0.187826087,0
1.29647E-4,25.004032965,0.363950329,0.208869936,0.193043478,0
1.30645E-4,25.251676421,0.365727759,0.207249467,0.195942029,0
1.31885E-4,25.51480036,0.367921631,0.20554371,0.20057971,0
1.32666E-4,25.753388128,0.369296906,0.204008529,0.20115942,0
1.34673E-4,26.007665283,0.3728004,0.20238806,0.204057971,0
1.38064E-4,26.253363595,0.37863387,0.200852878,0.206376812,0
1.39475E-4,26.502598827,0.381028841,0.199317697,0.207536232,0
1.41276E-4,26.925063154,0.384058792,0.196673774,0.211014493,0
1.41556E-4,27.009977342,0.384527147,0.196247335,0.216811594,0
1.43283E-4,27.251825399,0.387401947,0.194797441,0.219130435,0
1.45383E-4,27.51160718,0.390859089,0.19326226,0.222608696,0
1.46614E-4,27.759743646,0.39286935,0.191812367,0.226666667,0
1.48318E-4,28.01102773,0.395628903,0.190362473,0.230724638,0
1.50351E-4,28.264667521,0.398888056,0.18891258,0.235362319,0
1.51422E-4,28.50649068,0.400590902,0.187547974,0.23884058,0
1.53395E-4,28.75054239,0.403704606,0.186183369,0.242898551,0
1.53986E-4,29.011897752,0.404629446,0.184733475,0.244057971,0
1.55341E-4,29.25972023,0.406742315,0.183283582,0.247536232,0
1.56518E-4,29.509169203,0.408565077,0.182004264,0.249855072,0
1.57242E-4,29.760320775,0.409680907,0.180639659,0.251594203,0
1.57743E-4,30.012382952,0.410450448,0.179275053,0.253913043,0
