variable,x,y
tev_acc500m,-6750.0,0.0
tev_acc500m,-6588.0,174.69677734375
tev_acc500m,-6426.0,349.3935546875
tev_acc500m,-6264.0,524.09033203125
tev_acc500m,-6102.0,698.787109375
tev_acc500m,-5940.0,873.4833984375
tev_acc500m,-5778.0,1048.18017578125
tev_acc500m,-5616.0,1222.876953125
tev_acc500m,-5454.0,1397.57373046875
tev_acc500m,-5292.0,1572.2705078125
tev_acc500m,-5130.0,1746.96728515625
tev_acc500m,-4968.0,1921.66357421875
tev_acc500m,-4806.0,2096.3603515625
tev_acc500m,-4644.0,2271.05712890625
tev_acc500m,-4482.0,2445.75390625
tev_acc500m,-4320.0,2620.4501953125
tev_acc500m,-4158.0,2795.14697265625
tev_acc500m,-3996.0,2969.84375
tev_acc500m,-3834.0,3144.54052734375
tev_acc500m,-3672.0,3319.237060546875
tev_acc500m,-3510.0,3493.93359375
tev_acc500m,-3348.0,3668.630126953125
tev_acc500m,-3186.0,3843.326904296875
tev_acc500m,-3024.0,4018.0234375
tev_acc500m,-2862.0,4192.719970703125
tev_acc500m,-2700.0,4367.416748046875
tev_acc500m,-2538.0,4542.11328125
tev_acc500m,-2376.0,4716.809814453125
tev_acc500m,-2214.0,4891.50634765625
tev_acc500m,-2052.0,5066.203125
tev_acc500m,-1890.0,5240.899658203125
tev_acc500m,-1728.0,5415.59619140625
tev_acc500m,-1566.0,5590.292724609375
tev_acc500m,-1404.0,5764.9892578125
tev_acc500m,-1242.0,5939.6859130859375
tev_acc500m,-1080.0,6114.3824462890625
tev_acc500m,-918.0,6289.0789794921875
tev_acc500m,-756.0,6463.7755126953125
tev_acc500m,-594.0,6638.4720458984375
tev_acc500m,-432.0,6813.168548583984
tev_acc500m,-270.0,6987.865081787109
tev_acc500m,-108.0,7162.561592102051
tev_acc500m,54.0,7279.960469722748
tev_acc500m,216.0,7280.097390651703
tev_acc500m,378.0,7280.234306335449
tev_acc500m,540.0,7280.371216535568
tev_acc500m,702.0,7280.5081214904785
tev_acc500m,864.0,7280.6450209617615
tev_acc500m,1026.0,7280.781915068626
tev_acc500m,1188.0,7280.918803870678
tev_acc500m,1350.0,7281.008587419987
tev_acc500m,1512.0,7281.008443892002
tev_acc500m,1674.0,7281.008295059204
tev_acc500m,1836.0,7281.008140802383
tev_acc500m,1998.0,7281.007981181145
tev_acc500m,2160.0,7281.007816195488
tev_acc500m,2322.0,7281.007645785809
tev_acc500m,2484.0,7281.007470071316
tev_acc500m,2646.0,7281.007288992405
tev_acc500m,2808.0,7281.007102489471
tev_acc500m,2970.0,7281.006910681725
tev_acc500m,3132.0,7281.006713449955
tev_acc500m,3294.0,7281.006510853767
tev_acc500m,3456.0,7281.006302893162
tev_acc500m,3618.0,7281.006089568138
