variable,x,y
tev_acc500m,-6750.0,0.0
tev_acc500m,-6588.0,210.080078125
tev_acc500m,-6426.0,420.1611328125
tev_acc500m,-6264.0,630.24169921875
tev_acc500m,-6102.0,840.322265625
tev_acc500m,-5940.0,1050.40234375
tev_acc500m,-5778.0,1260.48291015625
tev_acc500m,-5616.0,1470.5634765625
tev_acc500m,-5454.0,1680.64404296875
tev_acc500m,-5292.0,1890.724609375
tev_acc500m,-5130.0,2100.80517578125
tev_acc500m,-4968.0,2310.8857421875
tev_acc500m,-4806.0,2520.96630859375
tev_acc500m,-4644.0,2731.046875
tev_acc500m,-4482.0,2941.12744140625
tev_acc500m,-4320.0,3151.2080078125
tev_acc500m,-4158.0,3361.28857421875
tev_acc500m,-3996.0,3571.36865234375
tev_acc500m,-3834.0,3781.44921875
tev_acc500m,-3672.0,3991.52978515625
tev_acc500m,-3510.0,4201.6103515625
tev_acc500m,-3348.0,4411.69091796875
tev_acc500m,-3186.0,4621.771484375
tev_acc500m,-3024.0,4831.85205078125
tev_acc500m,-2862.0,5041.9326171875
tev_acc500m,-2700.0,5252.01318359375
tev_acc500m,-2538.0,5462.093505859375
tev_acc500m,-2376.0,5672.174072265625
tev_acc500m,-2214.0,5882.254638671875
tev_acc500m,-2052.0,6092.335205078125
tev_acc500m,-1890.0,6302.415771484375
tev_acc500m,-1728.0,6512.496337890625
tev_acc500m,-1566.0,6722.5767822265625
tev_acc500m,-1404.0,6932.6572265625
tev_acc500m,-1242.0,7142.73779296875
tev_acc500m,-1080.0,7352.818359375
tev_acc500m,-918.0,7562.8988037109375
tev_acc500m,-756.0,7772.9793701171875
tev_acc500m,-594.0,7983.0599365234375
tev_acc500m,-432.0,8193.140441894531
tev_acc500m,-270.0,8403.220977783203
tev_acc500m,-108.0,8613.301498413086
tev_acc500m,54.0,8754.973470687866
tev_acc500m,216.0,8755.214619517326
tev_acc500m,378.0,8755.45422655344
tev_acc500m,540.0,8755.541918158531
tev_acc500m,702.0,8755.599965155125
tev_acc500m,864.0,8755.658012211323
tev_acc500m,1026.0,8755.71605926752
tev_acc500m,1188.0,8755.774106264114
tev_acc500m,1350.0,8755.832153320312
tev_acc500m,1512.0,8755.89020037651
tev_acc500m,1674.0,8755.944159597158
tev_acc500m,1836.0,8755.969959765673
tev_acc500m,1998.0,8755.993671357632
tev_acc500m,2160.0,8756.017382979393
tev_acc500m,2322.0,8756.041094571352
tev_acc500m,2484.0,8756.064806193113
tev_acc500m,2646.0,8756.088517814875
tev_acc500m,2808.0,8756.112229406834
tev_acc500m,2970.0,8756.135941028595
tev_acc500m,3132.0,8756.159652635455
tev_acc500m,3294.0,8756.183364242315
tev_acc500m,3456.0,8756.207075849175
tev_acc500m,3618.0,8756.230787470937
tev_acc500m,3780.0,8756.251560389996
tev_acc500m,3942.0,8756.26332950592
tev_acc500m,4104.0,8756.268275797367
tev_acc500m,4266.0,8756.272827371955
tev_acc500m,4428.0,8756.277378931642
tev_acc500m,4590.0,8756.280496105552
tev_acc500m,4752.0,8756.281605131924
tev_acc500m,4914.0,8756.282714165747
tev_acc500m,5076.0,8756.28382319212
tev_acc500m,5238.0,8756.284932225943
tev_acc500m,5400.0,8756.286041259766
tev_acc500m,5562.0,8756.287150286138
tev_acc500m,5724.0,8756.288053765893
tev_acc500m,5886.0,8756.288414500654
tev_acc500m,6048.0,8756.288775235415
tev_acc500m,6210.0,8756.289135970175
tev_acc500m,6372.0,8756.289496704936
tev_acc500m,6534.0,8756.289857439697
tev_acc500m,6696.0,8756.290218174458
tev_acc500m,6858.0,8756.290578909218
tev_acc500m,7020.0,8756.290939643979
tev_acc500m,7182.0,8756.29130037874
tev_acc500m,7344.0,8756.2916611135
tev_acc500m,7506.0,8756.292021848261
tev_acc500m,7668.0,8756.292382583022
tev_acc500m,7830.0,8756.292743317783
tev_acc500m,7992.0,8756.293104052544
tev_acc500m,8154.0,8756.293464787304
tev_acc500m,8316.0,8756.293825522065
tev_acc500m,8478.0,8756.294186256826
tev_acc500m,8640.0,8756.294546991587
tev_acc500m,8802.0,8756.294907726347
tev_acc500m,8964.0,8756.295268461108
