Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.32916E-7,0.000013292,0.000585315,1,0,0
1.86246E-7,0.003394681,0.000819972,0.978336887,0,0
1.87342E-7,0.007361833,0.000824794,0.960170576,0,0
1.95303E-7,0.012608215,0.000859813,0.936289979,0,0
2.18449E-7,0.030221348,0.000961613,0.859957356,0,0
2.54031E-7,0.054677678,0.00111807,0.770575693,0,0
4.72302E-7,0.100008648,0.002076753,0.671812367,0,0
5.38728E-6,0.20253432,0.023187244,0.574413646,0.00057971,0
9.02257E-6,0.303267266,0.038235522,0.562302772,0.00057971,0
1.24148E-5,0.400083654,0.051865533,0.554712154,0.00173913,0
1.45124E-5,0.501140968,0.06010188,0.548230277,0.00173913,0
1.79359E-5,0.601346939,0.073241431,0.542942431,0.00173913,0
1.92726E-5,0.761686088,0.078272758,0.535692964,0.002318841,0
1.95734E-5,0.816322971,0.079397574,0.533219616,0.002318841,0
2.00677E-5,0.944519483,0.081239509,0.527761194,0.002898551,0
2.20203E-5,1.074159935,0.088445331,0.522729211,0.003478261,0
2.32203E-5,1.120083779,0.092817519,0.521023454,0.003478261,0
2.50169E-5,1.201178486,0.099286089,0.518208955,0.003478261,0
2.8285E-5,1.35110225,0.110819187,0.513603412,0.003478261,0
2.83964E-5,1.484053068,0.111207136,0.509594883,0.003478261,0
2.9487E-5,1.908556655,0.114986869,0.497228145,0.003478261,0
3.00082E-5,2.238512601,0.116781878,0.487846482,0.004637681,0
3.07249E-5,2.253847009,0.119238718,0.48750533,0.006376812,0
3.29815E-5,2.596907858,0.126885082,0.478464819,0.006376812,0
3.36091E-5,3.003365148,0.128988072,0.468144989,0.008115942,0
3.50546E-5,3.250936966,0.1337933,0.462089552,0.009275362,0
3.78103E-5,3.978402829,0.142809135,0.445458422,0.013333333,0
3.83532E-5,4.046948336,0.144563117,0.444008529,0.020289855,0
3.89048E-5,4.290882335,0.146337964,0.438635394,0.020289855,0
4.24626E-5,4.503858229,0.157611335,0.434200426,0.020869565,0
4.36378E-5,4.84122003,0.161269921,0.427462687,0.020869565,0
4.51465E-5,5.051069608,0.165920514,0.423454158,0.022608696,0
4.681E-5,5.254309353,0.170988773,0.41978678,0.024927536,0
4.84069E-5,5.501034004,0.175796297,0.415351812,0.030724638,0
4.98915E-5,5.752551795,0.180216399,0.411002132,0.033623188,0
5.15509E-5,6.002040799,0.185100841,0.406823028,0.035942029,0
5.40582E-5,6.25082728,0.192371654,0.402814499,0.037101449,0
5.60493E-5,6.503181249,0.198053871,0.398891258,0.03884058,0
5.63556E-5,6.751066213,0.198920867,0.395138593,0.03942029,0
5.73516E-5,7.002340873,0.201727484,0.391385928,0.042318841,0
5.98467E-5,7.343455889,0.208672194,0.386353945,0.043478261,0
6.07933E-5,7.572215124,0.211275544,0.383198294,0.044057971,0
6.20252E-5,7.756189522,0.214637723,0.380639659,0.045217391,0
6.28816E-5,8.213655486,0.216958351,0.374413646,0.045217391,0
6.29124E-5,8.251387511,0.217041583,0.373901919,0.045217391,0
6.38662E-5,8.702791282,0.219609633,0.367761194,0.046376812,0
6.39682E-5,8.753965677,0.219883095,0.367164179,0.047536232,0
6.42338E-5,9.004144607,0.220594608,0.363837953,0.048115942,0
6.50985E-5,9.256302866,0.222902417,0.360511727,0.049275362,0
6.58857E-5,9.511410521,0.224991476,0.357185501,0.050434783,0
6.68082E-5,9.76338974,0.227425189,0.353944563,0.051014493,0
6.84721E-5,10.005723993,0.231776565,0.3508742,0.054492754,0
6.91836E-5,10.288451719,0.233622311,0.347292111,0.054492754,0
7.0058E-5,10.505081132,0.235878544,0.344733475,0.058550725,0
7.04064E-5,10.786089183,0.236773815,0.341236674,0.058550725,0
7.13573E-5,11.006271034,0.239206654,0.338678038,0.060289855,0
7.15371E-5,11.449626356,0.239664981,0.333390192,0.060869565,0
7.16088E-5,11.506876545,0.239847474,0.332707889,0.061449275,0
