variable,x,y
tev_acc500m,-6750.0,0.0
tev_acc500m,-6588.0,189.33740234375
tev_acc500m,-6426.0,378.6748046875
tev_acc500m,-6264.0,568.0126953125
tev_acc500m,-6102.0,757.35009765625
tev_acc500m,-5940.0,946.6875
tev_acc500m,-5778.0,1136.02490234375
tev_acc500m,-5616.0,1325.3623046875
tev_acc500m,-5454.0,1514.69970703125
tev_acc500m,-5292.0,1704.037109375
tev_acc500m,-5130.0,1893.37451171875
tev_acc500m,-4968.0,2082.7119140625
tev_acc500m,-4806.0,2272.04931640625
tev_acc500m,-4644.0,2461.38671875
tev_acc500m,-4482.0,2650.72412109375
tev_acc500m,-4320.0,2840.0615234375
tev_acc500m,-4158.0,3029.39892578125
tev_acc500m,-3996.0,3218.73583984375
tev_acc500m,-3834.0,3408.0732421875
tev_acc500m,-3672.0,3597.41064453125
tev_acc500m,-3510.0,3786.748046875
tev_acc500m,-3348.0,3976.08544921875
tev_acc500m,-3186.0,4165.422607421875
tev_acc500m,-3024.0,4354.760009765625
tev_acc500m,-2862.0,4544.097412109375
tev_acc500m,-2700.0,4733.4345703125
tev_acc500m,-2538.0,4922.77197265625
tev_acc500m,-2376.0,5112.109130859375
tev_acc500m,-2214.0,5301.446533203125
tev_acc500m,-2052.0,5490.783935546875
tev_acc500m,-1890.0,5680.12109375
tev_acc500m,-1728.0,5869.4583740234375
tev_acc500m,-1566.0,6058.795654296875
tev_acc500m,-1404.0,6248.1328125
tev_acc500m,-1242.0,6437.4700927734375
tev_acc500m,-1080.0,6626.807373046875
tev_acc500m,-918.0,6816.14453125
tev_acc500m,-756.0,7005.4818115234375
tev_acc500m,-594.0,7194.819030761719
tev_acc500m,-432.0,7384.15625
tev_acc500m,-270.0,7573.493469238281
tev_acc500m,-108.0,7762.830657958984
tev_acc500m,54.0,7890.018694519997
tev_acc500m,216.0,7890.148398518562
tev_acc500m,378.0,7890.278096079826
tev_acc500m,540.0,7890.407787203789
tev_acc500m,702.0,7890.537472009659
tev_acc500m,864.0,7890.667150378227
tev_acc500m,1026.0,7890.796822428703
tev_acc500m,1188.0,7890.926487982273
tev_acc500m,1350.0,7891.023407280445
tev_acc500m,1512.0,7891.025762915611
tev_acc500m,1674.0,7891.025935292244
tev_acc500m,1836.0,7891.026101231575
tev_acc500m,1998.0,7891.026260793209
tev_acc500m,2160.0,7891.026413977146
tev_acc500m,2322.0,7891.026560783386
tev_acc500m,2484.0,7891.026701152325
tev_acc500m,2646.0,7891.026835143566
tev_acc500m,2808.0,7891.026962697506
tev_acc500m,2970.0,7891.027083873749
tev_acc500m,3132.0,7891.027198672295
tev_acc500m,3294.0,7891.027307033539
tev_acc500m,3456.0,7891.027409017086
tev_acc500m,3618.0,7891.027504622936
tev_acc500m,3780.0,7891.027593791485
tev_acc500m,3942.0,7891.027676582336
tev_acc500m,4104.0,7891.027752995491
tev_acc500m,4266.0,7891.027822971344
tev_acc500m,4428.0,7891.0278865695
tev_acc500m,4590.0,7891.027943730354
tev_acc500m,4752.0,7891.027994513512
tev_acc500m,4914.0,7891.028038918972
tev_acc500m,5076.0,7891.028076887131
tev_acc500m,5238.0,7891.0281084775925
tev_acc500m,5400.0,7891.028133690357
tev_acc500m,5562.0,7891.02815246582
tev_acc500m,5724.0,7891.028164863586
tev_acc500m,5886.0,7891.028170883656
tev_acc500m,6048.0,7891.028170466423
tev_acc500m,6210.0,7891.028163611889
tev_acc500m,6372.0,7891.028150439262
tev_acc500m,6534.0,7891.028130829334
tev_acc500m,6696.0,7891.028104841709
tev_acc500m,6858.0,7891.028072416782
tev_acc500m,7020.0,7891.028033614159
tev_acc500m,7182.0,7891.027988433838
tev_acc500m,7344.0,7891.0279368162155
tev_acc500m,7506.0,7891.027878820896
tev_acc500m,7668.0,7891.027814388275
tev_acc500m,7830.0,7891.027743577957
tev_acc500m,7992.0,7891.027666389942
tev_acc500m,8154.0,7891.02758282423
tev_acc500m,8316.0,7891.027492821217
tev_acc500m,8478.0,7891.027396380901
tev_acc500m,8640.0,7891.027293622494
tev_acc500m,8802.0,7891.0271844267845
tev_acc500m,8964.0,7891.027068793774
tev_acc500m,9126.0,7891.026946783066
tev_acc500m,9288.0,7891.026818394661
tev_acc500m,9450.0,7891.026683628559
tev_acc500m,9612.0,7891.026542425156
tev_acc500m,9774.0,7891.026394844055
tev_acc500m,9936.0,7891.026240825653
tev_acc500m,10098.0,7891.026080429554
tev_acc500m,10260.0,7891.025913655758
tev_acc500m,10422.0,7891.02574044466
tev_acc500m,10584.0,7891.0255608558655
tev_acc500m,10746.0,7891.025374889374
tev_acc500m,10908.0,7891.02518248558
tev_acc500m,11070.0,7891.02498370409
tev_acc500m,11232.0,7891.024778485298
tev_acc500m,11394.0,7891.024566948414
tev_acc500m,11556.0,7891.024348914623
tev_acc500m,11718.0,7891.02412456274
tev_acc500m,11880.0,7891.023893773556
tev_acc500m,12042.0,7891.023656606674
tev_acc500m,12204.0,7891.023413002491
tev_acc500m,12366.0,7891.023163020611
tev_acc500m,12528.0,7891.022906601429
tev_acc500m,12690.0,7891.022643864155
tev_acc500m,12852.0,7891.022374629974
tev_acc500m,13014.0,7891.022099077702
tev_acc500m,13176.0,7891.021817088127
tev_acc500m,13338.0,7891.021528720856
tev_acc500m,13500.0,7891.021233916283
tev_acc500m,13662.0,7891.020932734013
tev_acc500m,13824.0,7891.020625174046
tev_acc500m,13986.0,7891.020311176777
tev_acc500m,14148.0,7891.019990801811
tev_acc500m,14310.0,7891.019664049149
tev_acc500m,14472.0,7891.019330859184
tev_acc500m,14634.0,7891.018991291523
tev_acc500m,14796.0,7891.01864528656
tev_acc500m,14958.0,7891.018292963505
tev_acc500m,15120.0,7891.017934143543
tev_acc500m,15282.0,7891.017569005489
tev_acc500m,15444.0,7891.017197430134
tev_acc500m,15606.0,7891.016819417477
tev_acc500m,15768.0,7891.016435086727
tev_acc500m,15930.0,7891.016044318676
tev_acc500m,16092.0,7891.015647113323
tev_acc500m,16254.0,7891.015243530273
tev_acc500m,16416.0,7891.014833569527
tev_acc500m,16578.0,7891.014417231083
tev_acc500m,16740.0,7891.0139944553375
tev_acc500m,16902.0,7891.013565301895
tev_acc500m,17064.0,7891.013129711151
tev_acc500m,17226.0,7891.01268774271
tev_acc500m,17388.0,7891.012239396572
tev_acc500m,17550.0,7891.0117846131325
tev_acc500m,17712.0,7891.011323451996
tev_acc500m,17874.0,7891.010855913162
tev_acc500m,18036.0,7891.010381937027
tev_acc500m,18198.0,7891.009901583195
tev_acc500m,18360.0,7891.009414792061
tev_acc500m,18522.0,7891.00892162323
tev_acc500m,18684.0,7891.008422076702
tev_acc500m,18846.0,7891.007916092873
tev_acc500m,19008.0,7891.007403731346
tev_acc500m,19170.0,7891.006884992123
tev_acc500m,19332.0,7891.0063598155975
tev_acc500m,19494.0,7891.005828261375
tev_acc500m,19656.0,7891.005290329456
tev_acc500m,19818.0,7891.004745960236
tev_acc500m,19980.0,7891.004195213318
tev_acc500m,20142.0,7891.0036380290985
tev_acc500m,20304.0,7891.003074526787
tev_acc500m,20466.0,7891.002504527569
tev_acc500m,20628.0,7891.0019282102585
tev_acc500m,20790.0,7891.0013454556465
tev_acc500m,20952.0,7891.000756263733
tev_acc500m,21114.0,7891.000160753727
tev_acc500m,21276.0,7890.999558806419
tev_acc500m,21438.0,7890.99895042181
tev_acc500m,21600.0,7890.998335659504
tev_acc500m,21762.0,7890.997714519501
tev_acc500m,21924.0,7890.9970870018005
tev_acc500m,22086.0,7890.996453046799
tev_acc500m,22248.0,7890.995812654495
tev_acc500m,22410.0,7890.995165944099
tev_acc500m,22572.0,7890.994512796402
tev_acc500m,22734.0,7890.993853211403
tev_acc500m,22896.0,7890.9931873083115
tev_acc500m,23058.0,7890.992514967918
tev_acc500m,23220.0,7890.991742968559
tev_acc500m,23382.0,7890.988513410091
tev_acc500m,23544.0,7890.9852774739265
tev_acc500m,23706.0,7890.98203510046
tev_acc500m,23868.0,7890.978786408901
tev_acc500m,24030.0,7890.975531220436
tev_acc500m,24192.0,7890.972269713879
tev_acc500m,24354.0,7890.9690017700195
tev_acc500m,24516.0,7890.965727448463
tev_acc500m,24678.0,7890.962446689606
tev_acc500m,24840.0,7890.959159553051
tev_acc500m,25002.0,7890.955866038799
tev_acc500m,25164.0,7890.952566087246
tev_acc500m,25326.0,7890.949259757996
tev_acc500m,25488.0,7890.945947051048
tev_acc500m,25650.0,7890.942627906799
tev_acc500m,25812.0,7890.939302384853
tev_acc500m,25974.0,7890.935970425606
tev_acc500m,26136.0,7890.932632088661
tev_acc500m,26298.0,7890.92928737402
tev_acc500m,26460.0,7890.925936281681
tev_acc500m,26622.0,7890.922578752041
tev_acc500m,26784.0,7890.919214785099
tev_acc500m,26946.0,7890.915844500065
tev_acc500m,27108.0,7890.912467777729
tev_acc500m,27270.0,7890.909084618092
tev_acc500m,27432.0,7890.905695080757
tev_acc500m,27594.0,7890.902299165726
tev_acc500m,27756.0,7890.898896872997
tev_acc500m,27918.0,7890.895488142967
tev_acc500m,28080.0,7890.89207303524
tev_acc500m,28242.0,7890.8886514902115
tev_acc500m,28404.0,7890.885223567486
tev_acc500m,28566.0,7890.881789267063
tev_acc500m,28728.0,7890.878348529339
tev_acc500m,28890.0,7890.8749014139175
tev_acc500m,29052.0,7890.871447861195
tev_acc500m,29214.0,7890.867987990379
tev_acc500m,29376.0,7890.864521622658
tev_acc500m,29538.0,7890.861048936844
tev_acc500m,29700.0,7890.857569813728
tev_acc500m,29862.0,7890.854084312916
tev_acc500m,30024.0,7890.850592374802
tev_acc500m,30186.0,7890.8470940589905
tev_acc500m,30348.0,7890.843589365482
tev_acc500m,30510.0,7890.840078234673
tev_acc500m,30672.0,7890.836560726166
tev_acc500m,30834.0,7890.833036839962
tev_acc500m,30996.0,7890.829506516457
tev_acc500m,31158.0,7890.825969815254
tev_acc500m,31320.0,7890.82242667675
tev_acc500m,31482.0,7890.818877160549
tev_acc500m,31644.0,7890.815321266651
tev_acc500m,31806.0,7890.8117589354515
tev_acc500m,31968.0,7890.808190226555
tev_acc500m,32130.0,7890.804615139961
tev_acc500m,32292.0,7890.801033616066
tev_acc500m,32454.0,7890.797445714474
tev_acc500m,32616.0,7890.7938514351845
tev_acc500m,32778.0,7890.790250718594
tev_acc500m,32940.0,7890.786643624306
tev_acc500m,33102.0,7890.783030092716
tev_acc500m,33264.0,7890.77941018343
tev_acc500m,33426.0,7890.775783896446
tev_acc500m,33588.0,7890.772151172161
tev_acc500m,33750.0,7890.768512070179
tev_acc500m,33912.0,7890.7648665905
tev_acc500m,34074.0,7890.761214673519
tev_acc500m,34236.0,7890.757556378841
tev_acc500m,34398.0,7890.753891706467
tev_acc500m,34560.0,7890.75022059679
tev_acc500m,34722.0,7890.746543109417
tev_acc500m,34884.0,7890.742859244347
tev_acc500m,35046.0,7890.73916888237
tev_acc500m,35208.0,7890.735472202301
tev_acc500m,35370.0,7890.73176908493
tev_acc500m,35532.0,7890.7280596494675
tev_acc500m,35694.0,7890.724343776703
tev_acc500m,35856.0,7890.720621466637
tev_acc500m,36018.0,7890.716892719269
tev_acc500m,36180.0,7890.713157653809
tev_acc500m,36342.0,7890.709416151047
tev_acc500m,36504.0,7890.705668210983
tev_acc500m,36666.0,7890.701913952827
tev_acc500m,36828.0,7890.69815325737
tev_acc500m,36990.0,7890.69438624382
tev_acc500m,37152.0,7890.6906126737595
tev_acc500m,37314.0,7890.686832785606
tev_acc500m,37476.0,7890.683046579361
