variable,x,y
tev_acc500m,-6750.0,0.0
tev_acc500m,-6588.0,211.7763671875
tev_acc500m,-6426.0,423.5517578125
tev_acc500m,-6264.0,635.3271484375
tev_acc500m,-6102.0,847.10302734375
tev_acc500m,-5940.0,1058.87841796875
tev_acc500m,-5778.0,1270.654296875
tev_acc500m,-5616.0,1482.43017578125
tev_acc500m,-5454.0,1694.20556640625
tev_acc500m,-5292.0,1905.9814453125
tev_acc500m,-5130.0,2117.7568359375
tev_acc500m,-4968.0,2329.53271484375
tev_acc500m,-4806.0,2541.30859375
tev_acc500m,-4644.0,2753.083984375
tev_acc500m,-4482.0,2964.85986328125
tev_acc500m,-4320.0,3176.63525390625
tev_acc500m,-4158.0,3388.4111328125
tev_acc500m,-3996.0,3600.1865234375
tev_acc500m,-3834.0,3811.96240234375
tev_acc500m,-3672.0,4023.73828125
tev_acc500m,-3510.0,4235.513671875
tev_acc500m,-3348.0,4447.28955078125
tev_acc500m,-3186.0,4659.06494140625
tev_acc500m,-3024.0,4870.8408203125
tev_acc500m,-2862.0,5082.616455078125
tev_acc500m,-2700.0,5294.39208984375
tev_acc500m,-2538.0,5506.167724609375
tev_acc500m,-2376.0,5717.943603515625
tev_acc500m,-2214.0,5929.71923828125
tev_acc500m,-2052.0,6141.494873046875
tev_acc500m,-1890.0,6353.2705078125
tev_acc500m,-1728.0,6565.046142578125
tev_acc500m,-1566.0,6776.82177734375
tev_acc500m,-1404.0,6988.5975341796875
tev_acc500m,-1242.0,7200.3731689453125
tev_acc500m,-1080.0,7412.14892578125
tev_acc500m,-918.0,7623.924560546875
tev_acc500m,-756.0,7835.700256347656
tev_acc500m,-594.0,8047.475891113281
tev_acc500m,-432.0,8259.251586914062
tev_acc500m,-270.0,8471.027252197266
tev_acc500m,-108.0,8682.802932739258
tev_acc500m,54.0,8825.63241159916
tev_acc500m,216.0,8825.891653418541
tev_acc500m,378.0,8826.10064303875
tev_acc500m,540.0,8826.166356086731
tev_acc500m,702.0,8826.214297294617
tev_acc500m,864.0,8826.262238502502
tev_acc500m,1026.0,8826.310179769993
tev_acc500m,1188.0,8826.358120977879
tev_acc500m,1350.0,8826.406062185764
tev_acc500m,1512.0,8826.45400339365
tev_acc500m,1674.0,8826.501944601536
tev_acc500m,1836.0,8826.549885839224
tev_acc500m,1998.0,8826.59782704711
tev_acc500m,2160.0,8826.642583876848
tev_acc500m,2322.0,8826.684917777777
tev_acc500m,2484.0,8826.727251708508
tev_acc500m,2646.0,8826.769585609436
tev_acc500m,2808.0,8826.803632423282
tev_acc500m,2970.0,8826.823647260666
tev_acc500m,3132.0,8826.836773589253
tev_acc500m,3294.0,8826.842981934547
tev_acc500m,3456.0,8826.848543539643
tev_acc500m,3618.0,8826.85410514474
tev_acc500m,3780.0,8826.859666749835
tev_acc500m,3942.0,8826.865228369832
tev_acc500m,4104.0,8826.870789974928
tev_acc500m,4266.0,8826.876351580024
tev_acc500m,4428.0,8826.88191319257
tev_acc500m,4590.0,8826.887474797666
tev_acc500m,4752.0,8826.893036410213
tev_acc500m,4914.0,8826.898598015308
tev_acc500m,5076.0,8826.904159627855
tev_acc500m,5238.0,8826.90972123295
tev_acc500m,5400.0,8826.915282845497
tev_acc500m,5562.0,8826.920844450593
tev_acc500m,5724.0,8826.92640606314
tev_acc500m,5886.0,8826.931967668235
tev_acc500m,6048.0,8826.937529280782
tev_acc500m,6210.0,8826.943090889603
tev_acc500m,6372.0,8826.947550922632
tev_acc500m,6534.0,8826.95066794753
tev_acc500m,6696.0,8826.953784968704
tev_acc500m,6858.0,8826.956901993603
tev_acc500m,7020.0,8826.960019014776
tev_acc500m,7182.0,8826.963136035949
tev_acc500m,7344.0,8826.966253060848
tev_acc500m,7506.0,8826.968760371208
tev_acc500m,7668.0,8826.969596609473
tev_acc500m,7830.0,8826.969686858356
tev_acc500m,7992.0,8826.969777110964
tev_acc500m,8154.0,8826.969867363572
tev_acc500m,8316.0,8826.96995761618
tev_acc500m,8478.0,8826.970047868788
tev_acc500m,8640.0,8826.970138121396
tev_acc500m,8802.0,8826.970228374004
tev_acc500m,8964.0,8826.970318622887
tev_acc500m,9126.0,8826.970408875495
tev_acc500m,9288.0,8826.970499128103
tev_acc500m,9450.0,8826.970589380711
tev_acc500m,9612.0,8826.97067963332
tev_acc500m,9774.0,8826.970769885927
tev_acc500m,9936.0,8826.97086013481
tev_acc500m,10098.0,8826.970950387418
tev_acc500m,10260.0,8826.971040640026
tev_acc500m,10422.0,8826.971130892634
tev_acc500m,10584.0,8826.971221145242
tev_acc500m,10746.0,8826.97131139785
tev_acc500m,10908.0,8826.971401646733
tev_acc500m,11070.0,8826.971491899341
tev_acc500m,11232.0,8826.97158215195
tev_acc500m,11394.0,8826.971672404557
tev_acc500m,11556.0,8826.971762657166
tev_acc500m,11718.0,8826.971852907911
tev_acc500m,11880.0,8826.971943160519
tev_acc500m,12042.0,8826.972033413127
tev_acc500m,12204.0,8826.972123663872
tev_acc500m,12366.0,8826.97221391648
tev_acc500m,12528.0,8826.972304169089
tev_acc500m,12690.0,8826.972394421697
tev_acc500m,12852.0,8826.972484672442
tev_acc500m,13014.0,8826.97257492505
tev_acc500m,13176.0,8826.972665177658
tev_acc500m,13338.0,8826.972755428404
tev_acc500m,13500.0,8826.972845681012
tev_acc500m,13662.0,8826.97293593362
tev_acc500m,13824.0,8826.973026184365
tev_acc500m,13986.0,8826.973116436973
tev_acc500m,14148.0,8826.973206689581
tev_acc500m,14310.0,8826.973296940327
tev_acc500m,14472.0,8826.973387192935
tev_acc500m,14634.0,8826.973477445543
tev_acc500m,14796.0,8826.973567696288
tev_acc500m,14958.0,8826.973657948896
tev_acc500m,15120.0,8826.973748201504
tev_acc500m,15282.0,8826.97383845225
tev_acc500m,15444.0,8826.973928704858
tev_acc500m,15606.0,8826.974018957466
