species,dd long,dd lat
flood,261881.35259455,4830248.79613620
flood,261881.35259455,4829748.79613620
flood,261881.35259455,4829248.79613620
flood,262381.35259455,4829248.79613620
flood,262881.35259455,4829248.79613620
flood,262381.35259455,4828748.79613620
flood,262881.35259455,4828748.79613620
flood,263381.35259455,4828248.79613620
flood,263881.35259455,4828248.79613620
flood,264381.35259455,4828248.79613620
flood,264881.35259455,4828248.79613620
flood,265881.35259455,4828248.79613620
flood,266381.35259455,4828248.79613620
flood,266881.35259455,4827748.79613620
flood,267881.35259455,4827248.79613620
flood,267881.35259455,4826748.79613620
flood,268381.35259455,4826748.79613620
flood,267881.35259455,4826248.79613620
flood,268381.35259455,4826248.79613620
flood,268381.35259455,4825748.79613620
flood,267381.35259455,4825248.79613620
flood,267881.35259455,4825248.79613620
flood,268381.35259455,4825248.79613620
flood,267881.35259455,4824748.79613620
flood,268381.35259455,4824748.79613620
flood,268881.35259455,4824748.79613620
flood,268381.35259455,4824248.79613620
flood,268881.35259455,4824248.79613620
flood,269381.35259455,4824248.79613620
flood,269881.35259455,4824248.79613620
flood,270381.35259455,4824248.79613620
flood,269381.35259455,4823748.79613620
flood,269881.35259455,4823748.79613620
flood,270381.35259455,4823748.79613620
flood,270881.35259455,4823748.79613620
flood,269881.35259455,4823248.79613620
flood,270381.35259455,4823248.79613620
flood,270881.35259455,4823248.79613620
flood,271381.35259455,4823248.79613620
flood,269881.35259455,4822748.79613620
flood,270381.35259455,4822748.79613620
flood,270881.35259455,4822748.79613620
flood,271381.35259455,4822748.79613620
flood,270381.35259455,4822248.79613620
flood,270881.35259455,4822248.79613620
flood,271381.35259455,4822248.79613620
flood,271881.35259455,4822248.79613620
flood,270381.35259455,4821748.79613620
flood,270881.35259455,4821748.79613620
flood,271381.35259455,4821748.79613620
flood,271881.35259455,4821748.79613620
flood,270381.35259455,4821248.79613620
flood,270881.35259455,4821248.79613620
flood,271381.35259455,4821248.79613620
flood,271881.35259455,4821248.79613620
flood,269881.35259455,4820748.79613620
flood,270381.35259455,4820748.79613620
flood,270881.35259455,4820748.79613620
flood,271381.35259455,4820748.79613620
flood,271881.35259455,4820748.79613620
flood,270381.35259455,4820248.79613620
flood,270881.35259455,4820248.79613620
flood,271381.35259455,4820248.79613620
flood,271881.35259455,4820248.79613620
flood,272381.35259455,4820248.79613620
flood,271381.35259455,4819748.79613620
flood,271881.35259455,4819748.79613620
flood,272381.35259455,4819748.79613620
flood,272381.35259455,4819248.79613620
flood,272881.35259455,4819248.79613620
flood,272381.35259455,4818748.79613620
flood,272881.35259455,4818748.79613620
flood,273381.35259455,4818748.79613620
flood,273881.35259455,4818748.79613620
flood,272881.35259455,4818248.79613620
flood,273381.35259455,4818248.79613620
flood,273881.35259455,4818248.79613620
flood,274381.35259455,4818248.79613620
flood,274381.35259455,4817748.79613620
flood,274881.35259455,4817748.79613620
flood,275381.35259455,4817248.79613620
flood,275381.35259455,4816748.79613620
flood,275881.35259455,4816248.79613620
flood,275881.35259455,4815748.79613620
flood,276381.35259455,4815248.79613620
flood,276881.35259455,4814748.79613620
flood,276881.35259455,4812748.79613620
flood,277381.35259455,4812748.79613620
flood,276381.35259455,4812248.79613620
flood,276381.35259455,4811748.79613620
flood,276381.35259455,4811248.79613620
flood,276881.35259455,4811248.79613620
flood,276881.35259455,4810748.79613620
flood,276881.35259455,4810248.79613620
flood,276381.35259455,4809748.79613620
flood,276881.35259455,4809748.79613620
flood,276881.35259455,4809248.79613620
flood,276881.35259455,4808748.79613620
flood,277381.35259455,4808748.79613620
flood,276881.35259455,4808248.79613620
flood,276881.35259455,4807748.79613620
flood,276881.35259455,4807248.79613620
flood,276881.35259455,4806748.79613620
flood,276881.35259455,4806248.79613620
flood,276881.35259455,4805748.79613620
flood,276881.35259455,4805248.79613620
flood,276881.35259455,4804748.79613620
flood,277381.35259455,4804748.79613620
flood,277881.35259455,4804748.79613620
flood,278381.35259455,4804748.79613620
flood,276381.35259455,4804248.79613620
flood,276881.35259455,4804248.79613620
flood,277381.35259455,4804248.79613620
flood,277881.35259455,4804248.79613620
flood,278381.35259455,4804248.79613620
flood,278881.35259455,4804248.79613620
flood,277881.35259455,4803748.79613620
flood,278381.35259455,4803748.79613620
flood,278881.35259455,4803748.79613620
flood,279381.35259455,4803748.79613620
flood,279381.35259455,4803248.79613620
flood,279881.35259455,4803248.79613620
flood,281881.35259455,4802748.79613620
flood,281881.35259455,4802248.79613620
flood,281881.35259455,4801748.79613620
flood,281881.35259455,4801248.79613620
flood,282381.35259455,4801248.79613620
flood,281381.35259455,4800748.79613620
flood,281881.35259455,4800748.79613620
flood,281381.35259455,4800248.79613620
flood,281881.35259455,4800248.79613620
flood,280881.35259455,4799748.79613620
flood,281381.35259455,4799748.79613620
flood,281881.35259455,4799748.79613620
flood,281381.35259455,4799248.79613620
flood,281881.35259455,4798748.79613620
flood,282381.35259455,4798748.79613620
flood,282881.35259455,4798748.79613620
flood,283381.35259455,4797748.79613620
flood,283381.35259455,4797248.79613620
flood,284881.35259455,4796748.79613620
flood,285381.35259455,4796248.79613620
flood,285881.35259455,4795748.79613620
flood,286381.35259455,4795748.79613620
flood,286381.35259455,4795248.79613620
flood,286881.35259455,4795248.79613620
flood,286881.35259455,4794748.79613620
flood,287381.35259455,4794748.79613620
flood,286881.35259455,4794248.79613620
flood,287381.35259455,4794248.79613620
flood,287381.35259455,4793748.79613620
flood,287381.35259455,4793248.79613620
flood,287881.35259455,4793248.79613620
flood,287881.35259455,4792748.79613620
flood,288381.35259455,4792248.79613620
flood,288381.35259455,4791748.79613620
flood,288381.35259455,4791248.79613620
flood,288881.35259455,4791248.79613620
flood,288381.35259455,4790748.79613620
flood,288881.35259455,4790748.79613620
flood,288381.35259455,4790248.79613620
flood,288381.35259455,4789748.79613620
flood,288881.35259455,4789748.79613620
